side,stoch_k,stoch_sk,stoch_sd,stoch_os,exit_id,n_symbols,trades,win_rate,profit_factor,sharpe_ann,max_dd_pct,total_ret_pct,mean_ret_pct,avg_hold
long,14,5,3,35.0,X9_OR_X4,79,3711,28.56,0.98,-0.09,166.53,-44.69,-0.012,12.9
long,14,5,3,40.0,X9_OR_X4,79,4485,28.83,1.004,0.02,162.96,12.35,0.0028,13.3
long,14,5,3,30.0,X9_OR_X4,79,2922,28.37,0.954,-0.22,175.21,-80.04,-0.0274,12.6
long,14,3,3,30.0,X9_OR_X4,79,3635,27.68,0.947,-0.26,171.99,-109.97,-0.0303,12.1
long,14,5,3,35.0,X9_22_3.0,79,3711,32.39,0.997,-0.01,187.83,-8.09,-0.0022,18.0
