side,entry_variant,exit_variant,n_symbols,trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,total_ret_pct,mean_ret_pct,std_ret_pct,sharpe_per_trade,sharpe_ann,sortino_ann,max_dd_pct,avg_hold_candles
short,E0,X5,10,692,34.97,1.466,-0.773,1.019,6.66,0.0096,1.2362,0.008,0.13,0.31,23.6,11.3
short,E0,X6,10,692,34.54,1.412,-0.718,1.037,12.03,0.0174,1.4247,0.012,0.18,0.51,37.99,14.1
short,E0,X8,10,692,23.55,4.131,-1.12,1.136,80.54,0.1164,3.0472,0.038,0.31,1.02,71.65,44.3
short,E0,X9,10,692,35.12,1.257,-0.628,1.083,23.32,0.0337,1.5144,0.022,0.35,0.9,45.13,12.3
short,E0,X10,10,692,33.67,1.038,-0.476,1.107,23.37,0.0338,1.2901,0.026,0.5,1.32,21.86,8.2
short,E1,X1,10,348,31.61,3.656,-1.441,1.173,59.29,0.1704,3.1641,0.054,0.39,1.27,50.09,56.2
short,E1,X2,10,348,21.84,3.712,-0.806,1.287,62.88,0.1807,2.4818,0.073,0.66,3.29,28.59,36.5
short,E1,X3a,10,348,39.37,1.825,-0.955,1.241,48.5,0.1394,2.1685,0.064,0.74,2.3,20.24,22.6
short,E1,X3b,10,348,38.79,1.951,-0.948,1.304,61.43,0.1765,2.3002,0.077,0.87,2.87,21.89,23.4
short,E1,X4,10,348,29.31,2.011,-0.647,1.29,46.06,0.1324,1.773,0.075,1.01,3.53,15.74,16.5
short,E1,X5,10,348,33.05,1.642,-0.835,0.97,-5.85,-0.0168,1.3501,-0.012,-0.18,-0.48,24.49,13.8
short,E1,X6,10,348,36.49,1.305,-0.74,1.014,2.22,0.0064,1.3177,0.005,0.07,0.21,18.51,14.8
short,E1,X8,10,348,27.87,3.893,-1.275,1.18,57.5,0.1652,3.0847,0.054,0.4,1.21,51.8,52.5
short,E1,X9,10,348,31.03,1.653,-0.768,0.969,-5.68,-0.0163,1.5376,-0.011,-0.14,-0.37,23.04,16.8
short,E1,X10,10,348,27.59,1.498,-0.56,1.018,2.6,0.0075,1.273,0.006,0.09,0.25,18.64,11.5
short,E2,X1,10,561,29.06,3.981,-1.421,1.147,83.37,0.1486,3.3112,0.045,0.34,1.13,71.03,53.2
short,E2,X2,10,561,20.68,4.1,-0.828,1.291,107.34,0.1913,2.6832,0.071,0.66,3.24,36.9,35.5
short,E2,X3a,10,561,37.61,1.477,-0.87,1.024,7.27,0.013,1.9664,0.007,0.08,0.22,42.54,18.1
short,E2,X3b,10,561,36.9,1.54,-0.863,1.044,13.36,0.0238,2.0396,0.012,0.15,0.42,39.61,18.6
short,E2,X4,10,561,27.63,1.961,-0.606,1.235,57.8,0.103,1.7609,0.059,0.83,2.68,20.26,14.8
short,E2,X5,10,561,34.4,1.688,-0.872,1.015,4.89,0.0087,1.4379,0.006,0.09,0.22,27.57,13.9
short,E2,X6,10,561,34.94,1.35,-0.745,0.973,-7.28,-0.013,1.3528,-0.01,-0.14,-0.41,32.96,14.8
short,E2,X8,10,561,25.49,4.121,-1.254,1.124,65.23,0.1163,3.1392,0.037,0.29,0.9,65.64,49.4
short,E2,X9,10,561,31.91,1.582,-0.764,0.971,-8.58,-0.0153,1.6204,-0.009,-0.13,-0.34,46.46,16.3
short,E2,X10,10,561,26.74,1.473,-0.549,0.979,-4.64,-0.0083,1.3501,-0.006,-0.1,-0.26,23.47,10.5
