symbol,entry_date,exit_date,held_days,buy,sell,return_pct,exit_reason,status
POCL,2025-12-26,,5,580.00,,0.28,marked_to_year_end,open
SHRIRAMFIN,2025-12-18,,13,867.65,,14.82,marked_to_year_end,open
PFOCUS,2025-12-10,,21,195.60,,20.43,marked_to_year_end,open
HEROMOTOCO,2025-12-01,2025-12-18,13,6190.55,5748.50,-7.14,trail_50d,closed
KARURVYSYA,2025-12-01,,30,253.70,,3.99,marked_to_year_end,open
ACUTAAS,2025-11-24,2025-12-08,10,1834.30,1651.00,-9.99,stop_8pct,closed
FIEMIND,2025-11-14,,47,2192.40,,3.10,marked_to_year_end,open
SBC,2025-11-06,,55,24.56,,14.82,marked_to_year_end,open
CHOICEIN,2025-10-31,2025-11-06,3,822.60,798.85,-2.89,trail_50d,closed
CUMMINSIND,2025-10-24,2025-12-26,43,4134.00,4346.40,5.14,trail_50d,closed
ANANDRATHI,2025-10-14,2025-11-14,21,1532.80,1511.15,-1.41,trail_50d,closed
MCX,2025-10-14,,78,1812.10,,22.91,marked_to_year_end,open
SANDUMA,2025-10-10,2025-11-24,29,204.01,195.66,-4.09,trail_50d,closed
KLBRENG-B,2025-09-29,2025-10-14,10,570.15,539.95,-5.30,trail_50d,closed
ZYDUSWELL,2025-09-04,2025-10-14,27,479.56,447.95,-6.59,trail_50d,closed
M&M,2025-09-04,2025-10-31,39,3403.00,3487.20,2.47,trail_50d,closed
ECLERX,2025-08-04,2025-09-29,38,1917.43,2024.60,5.59,trail_50d,closed
RADICO,2025-08-01,2025-09-08,24,2762.10,2759.90,-0.08,trail_50d,closed
SIRCA,2025-07-31,2025-12-01,82,431.75,503.60,16.64,trail_50d,closed
SHARDACROP,2025-07-25,2025-09-04,27,918.40,903.55,-1.62,trail_50d,closed
VIMTALABS,2025-07-25,2025-10-10,52,577.50,708.95,22.76,trail_50d,closed
CUPID,2025-07-18,,166,27.33,,279.14,marked_to_year_end,open
MANORAMA,2025-07-14,2025-08-04,15,1495.30,1455.60,-2.65,trail_50d,closed
STAR,2025-07-14,2025-08-01,14,899.65,836.55,-7.01,trail_50d,closed
ASAHIINDIA,2025-07-02,2025-09-04,44,820.65,815.40,-0.64,trail_50d,closed
BHARTIARTL,2025-06-20,2025-07-18,20,1901.00,1901.00,0.00,trail_50d,closed
NH,2025-06-13,2025-07-31,34,1854.40,1915.20,3.28,trail_50d,closed
RADICO,2025-06-03,2025-07-02,21,2605.90,2519.00,-3.33,trail_50d,closed
BHARTIHEXA,2025-05-28,2025-07-14,33,1758.30,1761.90,0.20,trail_50d,closed
PARAS,2025-05-16,2025-07-14,41,780.20,793.50,1.70,trail_50d,closed
MAHSCOOTER,2025-05-16,2025-10-23,110,12533.15,16717.00,33.38,trail_50d,closed
GODFRYPHLP,2025-05-02,2025-06-19,34,2745.15,2683.33,-2.25,trail_50d,closed
NH,2025-04-11,2025-05-28,30,1692.05,1724.30,1.91,trail_50d,closed
INDIASHLTR,2025-04-11,2025-06-03,34,845.35,852.30,0.82,trail_50d,closed
INDIGO,2025-04-08,2025-06-13,44,5127.80,5262.00,2.62,trail_50d,closed
ABBOTINDIA,2025-02-28,2025-04-04,23,30195.85,29077.40,-3.70,trail_50d,closed
BAJFINANCE,2025-02-27,2025-04-30,39,850.95,863.45,1.47,trail_50d,closed
CHAMBLFERT,2025-02-25,2025-05-16,51,561.35,632.10,12.60,trail_50d,closed
NH,2025-02-25,2025-05-28,59,1416.95,1724.30,21.69,trail_50d,closed
TAJGVK,2025-02-19,2025-04-04,29,445.60,423.80,-4.89,trail_50d,closed
ASALCBR,2025-01-30,2025-02-14,12,1188.60,1140.80,-4.02,trail_50d,closed
ACUTAAS,2025-01-30,2025-02-14,12,1170.12,1082.10,-7.52,trail_50d,closed
BLUEJET,2025-01-29,2025-04-03,44,607.15,764.40,25.90,trail_50d,closed
ZENSARTECH,2025-01-29,2025-02-18,15,836.90,803.00,-4.05,trail_50d,closed
ZENSARTECH,2025-01-23,2025-02-18,19,794.10,803.00,1.12,trail_50d,closed
MONARCH,2025-01-20,2025-01-22,2,478.95,430.00,-10.22,stop_8pct,closed
WEL,2025-01-15,2025-02-17,24,167.35,161.07,-3.75,trail_50d,closed
NEWGEN,2025-01-15,2025-01-20,3,1718.80,1564.75,-8.96,stop_8pct,closed
HCLTECH,2025-01-10,2025-01-14,2,1972.20,1813.55,-8.04,stop_8pct,closed
PTCIL,2025-01-06,2025-01-30,18,14997.70,13582.70,-9.43,stop_8pct,closed
CEINSYS,2024-12-30,2025-01-23,18,1904.55,1687.25,-11.41,stop_8pct,closed
CAPACITE,2024-12-18,2025-01-09,15,441.30,407.15,-7.74,trail_50d,closed
SHAKTIPUMP,2024-12-13,2025-01-29,32,868.05,992.50,14.34,trail_50d,closed
NSIL,2024-11-14,2024-12-30,29,8169.90,7615.95,-6.78,trail_50d,closed
