,TN,OA,IPO (cash),IPO (E_gate_OA),IPO (CONT_OA_best_T1),Blend 40/40/20 (incumbent),Blend 40/40/20 (E_gate_OA),Blend 40/40/20 (CONT_OA_best_T1),NIFTYBEES (bench)
2006,8.25,46.22,52.17,48.99,61.49,21.49,19.38,21.47,40.81
2007,54.02,149.21,97.21,98.88,106.99,90.75,91.07,94.46,51.02
2008,-14.11,-9.08,4.24,3.22,-5.31,0.8,0.61,-0.59,-52.08
2009,68.34,58.34,3.06,17.61,38.12,49.37,53.35,57.78,71.16
2010,4.29,22.6,28.49,24.31,33.67,22.33,21.37,23.51,18.11
2011,-9.83,-1.6,13.29,11.42,-0.33,2.16,1.82,0.53,-24.4
2012,22.95,12.9,2.5,1.98,8.07,12.78,12.62,13.78,26.03
2013,0.78,15.26,5.06,4.72,11.49,8.65,8.63,10.04,5.86
2014,51.74,83.95,4.98,38.7,55.81,51.97,59.68,63.8,31.64
2015,-6.35,22.42,13.85,1.29,20.76,7.0,4.64,7.86,-4.18
2016,29.33,16.48,43.75,42.07,40.73,33.08,32.59,31.54,3.73
2017,33.24,111.08,58.17,58.49,72.84,68.21,68.3,71.12,29.88
2018,-8.04,-11.26,-1.92,-2.9,-16.04,-7.41,-7.6,-10.74,5.43
2019,0.14,7.57,14.24,11.33,10.26,7.09,6.52,6.97,13.29
2020,60.0,119.62,87.72,88.51,103.05,75.54,75.68,78.07,15.18
2021,54.82,179.66,41.23,41.23,52.77,96.3,96.3,98.48,25.55
2022,9.75,13.91,14.27,14.27,3.61,15.38,15.38,12.66,3.84
2023,46.53,54.01,72.38,72.38,52.69,62.77,62.77,59.26,20.22
2024,23.34,79.34,78.85,78.85,82.95,33.54,33.54,34.88,10.04
2025,2.78,21.77,-1.77,-1.77,-1.93,16.47,16.47,16.02,11.19
2026,5.7,36.62,65.11,65.11,65.59,26.68,26.68,26.61,-7.48
