cell,phase,arm,asset,settle,reserve,cadence,sell,tax,cost_bps,gateN,frictionless,path,oacol,tncol,seed,s_cagr,s_dd,s_calmar,s_invested,s_parked_pct,s_trades,s_final_x,b_cagr,b_dd,b_calmar,b_dd_0809,b_dd_1214,b_dd_1314,b_dd_2126,b_ret_0809,b_ret_1214,b_ret_1314,b_ret_2126,n_pull,pull_val_x,pull_cost_x,pull_tax_x,n_park,park_cost_x,n_missed,park_days_pct,corr_d_oa,corr_d_tn,corr_m_oa,corr_m_tn,secs
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,14,s15,off2,15,30.0251,-22.3393,1.344,32.688,0.0,677,213.1185,29.9391,-13.5439,2.2105,-13.265,-4.384,-3.043,-13.544,43.569,92.181,67.359,551.047,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2158,0.2269,0.3284,0.2969,0.14
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,15,s16,off3,16,30.9032,-19.9232,1.5511,32.843,0.0,672,244.521,29.8473,-13.2463,2.2533,-12.773,-4.837,-3.269,-12.688,45.926,93.429,69.052,634.188,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2135,0.2223,0.3412,0.3167,0.12
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,16,s17,off4,17,33.8339,-21.8966,1.5452,32.681,0.0,674,384.3136,30.0608,-13.055,2.3026,-13.055,-3.969,-3.969,-12.585,43.171,77.128,59.006,765.721,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2123,0.2208,0.3296,0.311,0.17
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,17,s18,off5,18,31.4478,-20.4372,1.5388,32.749,0.0,674,266.1544,28.9716,-15.452,1.8749,-12.45,-3.609,-3.368,-15.452,49.421,83.527,64.218,648.436,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2291,0.2161,0.3617,0.2437,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,18,s19,off6,19,32.0804,-20.3775,1.5743,32.601,0.0,680,293.5729,29.1763,-13.639,2.1392,-11.594,-4.875,-4.875,-13.639,57.392,86.374,64.118,601.691,0,0.0,0.0,0.0,0,0.0,0,0.0,0.225,0.2128,0.3442,0.2571,0.16
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,19,s20,off7,20,30.486,-20.6306,1.4777,32.932,0.0,670,229.0868,28.4522,-12.8809,2.2089,-11.789,-5.145,-5.145,-12.687,53.253,75.781,63.638,584.874,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2204,0.2187,0.352,0.2729,0.13
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,20,s21,off8,21,32.5303,-19.8442,1.6393,32.681,0.0,685,314.6841,27.1047,-12.4451,2.1779,-11.703,-5.086,-3.984,-11.645,50.776,78.79,66.256,459.733,0,0.0,0.0,0.0,0,0.0,0,0.0,0.1972,0.2175,0.3295,0.2617,0.16
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,21,s22,off9,22,30.4795,-21.58,1.4124,32.604,0.0,675,228.857,26.4803,-14.4865,1.8279,-14.486,-4.201,-4.049,-11.351,52.801,84.733,69.987,481.16,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2065,0.2182,0.3422,0.2219,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,22,s23,off10,23,31.4049,-21.287,1.4753,32.759,0.0,675,264.389,28.2371,-14.4344,1.9562,-12.576,-4.258,-3.859,-13.973,57.546,93.743,79.857,523.658,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2128,0.2184,0.3613,0.2122,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,23,s24,off11,24,30.8153,-21.701,1.42,32.767,0.0,666,241.1892,26.2932,-14.5347,1.809,-11.356,-4.34,-4.34,-12.107,61.388,77.437,68.914,426.599,0,0.0,0.0,0.0,0,0.0,0,0.0,0.1985,0.2226,0.3409,0.2231,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,24,s25,off0,25,32.0816,-21.1875,1.5142,32.747,0.0,669,293.6265,28.5956,-13.0912,2.1843,-12.531,-4.719,-4.268,-13.091,45.582,85.428,63.655,567.083,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2144,0.2108,0.3635,0.2813,0.14
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,25,s26,off1,26,30.3054,-21.3842,1.4172,32.761,0.0,674,222.699,30.6761,-13.8667,2.2122,-12.883,-4.44,-4.44,-13.867,49.693,92.996,64.397,659.973,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2228,0.231,0.3565,0.2734,0.13
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,26,s27,off2,27,31.6905,-20.4356,1.5508,32.648,0.0,671,276.3754,31.1904,-13.6841,2.2793,-13.227,-4.34,-2.853,-13.684,42.713,101.518,72.473,644.559,0,0.0,0.0,0.0,0,0.0,0,0.0,0.214,0.2262,0.3964,0.3007,0.13
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,27,s28,off3,28,32.5636,-20.9655,1.5532,32.702,0.0,674,316.3012,30.6265,-13.0742,2.3425,-13.074,-4.469,-3.648,-11.514,45.243,102.136,79.23,686.068,0,0.0,0.0,0.0,0,0.0,0,0.0,0.1908,0.2265,0.347,0.2987,0.14
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,28,s29,off4,29,31.9363,-20.0364,1.5939,32.708,0.0,676,287.0998,29.0233,-14.26,2.0353,-12.528,-4.028,-4.028,-12.903,44.046,74.613,56.963,719.367,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2134,0.2175,0.3649,0.2972,0.13
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,29,s30,off5,30,30.0034,-20.0788,1.4943,32.63,0.0,673,212.3923,29.12,-13.2982,2.1898,-12.269,-4.04,-3.361,-13.298,49.582,89.308,67.947,629.927,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2085,0.2172,0.3152,0.2441,0.15
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,0,s1,off0,1,21.9019,-35.6327,0.6147,8.736,87.797,193,57.0784,26.4234,-18.9209,1.3965,-18.921,-9.168,-4.143,-14.641,52.521,114.538,89.858,405.421,1201,5421.93,13.55482,22.81908,792,13.54562,1201,98.75,0.9013,0.4396,0.8951,0.5599,0.69
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,1,s2,off1,2,22.6155,-38.7372,0.5838,9.051,87.477,189,64.304,27.9434,-19.4728,1.435,-19.473,-7.724,-4.98,-15.7,57.383,116.839,84.782,504.505,1201,5053.549,12.63386,20.93064,795,12.66915,1201,98.73,0.9016,0.4529,0.909,0.5456,0.68
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,2,s3,off2,3,23.2097,-38.4689,0.6033,8.369,88.165,180,70.9771,28.4601,-19.9212,1.4286,-19.511,-9.791,-3.955,-12.741,51.326,131.716,97.762,463.556,1205,6462.104,16.15526,26.39694,800,16.17143,1205,98.81,0.9043,0.4572,0.8914,0.6001,0.7
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,3,s4,off3,4,22.0426,-38.0336,0.5796,8.58,87.942,184,58.439,26.9317,-22.0225,1.2229,-18.924,-10.14,-4.454,-15.814,53.742,119.443,89.699,456.479,1202,5274.176,13.18543,22.09038,794,13.19309,1202,98.89,0.8946,0.4577,0.8841,0.5745,0.78
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,4,s5,off4,5,25.4901,-38.0218,0.6704,9.012,87.537,184,103.2209,28.1734,-22.1224,1.2735,-18.962,-8.958,-4.626,-14.782,51.263,106.355,81.102,548.529,1210,7823.145,19.55786,32.07217,800,19.61885,1210,98.89,0.8997,0.4403,0.9017,0.5547,0.77
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,5,s6,off5,6,20.9878,-34.8025,0.6031,8.753,87.805,181,48.9464,26.708,-18.8263,1.4187,-18.826,-8.848,-4.222,-16.637,57.627,107.397,84.649,467.446,1199,4796.776,11.99194,20.27047,796,11.98817,1199,98.65,0.9017,0.457,0.9045,0.5109,0.83
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,6,s7,off6,7,21.8816,-35.2382,0.621,8.322,88.172,184,56.8851,27.1295,-17.3039,1.5678,-17.304,-6.979,-5.622,-14.705,64.663,106.782,80.7,493.155,1217,5066.82,12.66704,21.98175,804,12.67157,1217,98.91,0.9014,0.454,0.881,0.5038,0.87
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,7,s8,off7,8,22.2239,-36.3557,0.6113,8.535,87.971,186,60.2375,25.7223,-18.8327,1.3658,-18.092,-7.806,-5.693,-16.986,60.164,99.069,84.075,433.697,1208,5933.405,14.83352,24.07725,796,14.84144,1208,98.85,0.9001,0.4642,0.896,0.5549,0.77
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,8,s9,off8,9,21.6245,-36.4109,0.5939,8.453,88.06,183,54.4843,24.3674,-19.2757,1.2641,-17.891,-10.094,-4.913,-14.746,58.504,105.584,87.463,349.97,1206,5223.959,13.0599,22.2495,794,13.0608,1206,98.79,0.9055,0.4409,0.8981,0.4961,0.75
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,9,s10,off9,10,22.166,-34.6483,0.6397,8.767,87.759,191,59.6583,24.5405,-20.5403,1.1947,-20.54,-9.04,-4.648,-17.954,61.58,107.402,88.954,361.689,1198,5412.098,13.53026,22.80572,792,13.53655,1198,98.83,0.8964,0.4603,0.8919,0.5247,0.66
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,10,s11,off10,11,24.6706,-36.6721,0.6727,8.31,88.219,175,90.2935,26.7558,-20.4042,1.3113,-18.94,-9.359,-4.658,-15.901,65.844,119.449,101.286,444.87,1216,6834.15,17.08536,27.13516,796,17.15365,1216,98.81,0.9056,0.4538,0.9059,0.5304,0.88
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,11,s12,off11,12,22.0864,-38.1319,0.5792,8.611,87.917,189,58.8695,24.7575,-23.1025,1.0716,-17.86,-7.4,-4.902,-14.626,69.389,100.265,88.895,347.822,1196,5501.304,13.75326,23.93591,795,13.74789,1196,98.75,0.9076,0.4544,0.8974,0.5323,0.72
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,12,s13,off0,13,22.4751,-37.8479,0.5938,8.471,88.066,182,62.8178,26.9044,-19.6234,1.371,-18.897,-10.157,-4.941,-16.215,52.656,105.595,80.921,448.783,1210,5689.182,14.22295,24.3628,795,14.22284,1210,98.89,0.9015,0.4141,0.8954,0.5848,0.79
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,13,s14,off1,14,24.0109,-38.9505,0.6164,8.566,87.988,183,81.0221,29.1419,-19.6566,1.4826,-19.657,-8.375,-5.264,-16.054,57.863,118.16,84.973,565.881,1206,7113.35,17.78338,29.01054,796,17.81514,1206,98.79,0.8949,0.4455,0.8917,0.5407,0.81
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,14,s15,off2,15,20.8774,-37.9492,0.5501,8.422,88.048,187,48.0417,27.8708,-19.6099,1.4213,-19.61,-9.633,-3.902,-16.197,51.347,117.31,87.784,432.898,1213,4963.846,12.4096,20.46468,794,12.39995,1213,98.97,0.9037,0.4414,0.8909,0.5696,0.68
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,15,s16,off3,16,23.8842,-38.4056,0.6219,8.826,87.734,184,79.3483,28.214,-21.3755,1.3199,-19.139,-9.953,-4.131,-14.866,53.69,119.784,89.302,519.189,1213,7335.886,18.33971,31.14412,794,18.31832,1213,98.93,0.9056,0.4357,0.9014,0.5914,0.7
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,16,s17,off4,17,23.364,-34.8408,0.6706,8.624,87.943,183,72.8147,27.7448,-19.352,1.4337,-19.352,-8.295,-4.488,-14.434,50.745,102.247,80.271,576.85,1200,6639.48,16.5987,28.66543,801,16.60597,1200,98.77,0.8999,0.4532,0.8975,0.5489,0.66
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,17,s18,off5,18,21.7424,-37.5985,0.5783,8.424,88.073,178,55.5724,26.8218,-19.1161,1.4031,-19.116,-8.251,-4.253,-17.313,56.911,109.362,85.519,500.594,1220,5080.421,12.70105,20.93669,805,12.71318,1220,98.99,0.9037,0.4602,0.8999,0.4856,0.76
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,18,s19,off6,19,22.2182,-34.232,0.649,8.441,88.088,180,60.1801,26.9848,-18.0526,1.4948,-18.053,-7.338,-5.464,-16.907,65.904,113.496,85.654,470.699,1209,4969.632,12.42408,21.25766,794,12.43233,1209,98.85,0.903,0.466,0.9023,0.513,0.67
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,19,s20,off7,20,23.1317,-38.303,0.6039,8.72,87.809,177,70.0645,26.7712,-20.6192,1.2984,-18.323,-6.965,-6.213,-15.41,61.225,101.997,85.818,470.932,1207,5789.44,14.47359,24.91136,796,14.48749,1207,98.89,0.8991,0.4575,0.9027,0.5465,0.65
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,20,s21,off8,21,22.4283,-37.6586,0.5956,8.582,87.984,180,62.3291,24.8994,-19.2969,1.2903,-17.988,-9.933,-4.59,-16.265,58.658,103.669,87.404,331.941,1200,5636.385,14.09096,22.64831,797,14.10591,1200,98.77,0.9085,0.451,0.8996,0.495,0.66
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,21,s22,off9,22,22.4118,-37.2224,0.6021,9.264,87.302,192,62.1572,24.6555,-20.6937,1.1914,-20.694,-9.539,-4.502,-13.722,60.968,112.03,92.513,381.425,1197,5373.62,13.43405,22.09437,791,13.45573,1197,98.75,0.8983,0.4568,0.9,0.5621,0.65
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,22,s23,off10,23,22.754,-38.866,0.5854,8.724,87.858,185,65.8038,26.2904,-21.9348,1.1986,-18.958,-9.382,-4.83,-15.437,65.662,119.65,101.549,421.214,1196,5684.424,14.21107,23.94622,796,14.22808,1196,98.77,0.9074,0.4462,0.8879,0.5307,0.7
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,23,s24,off11,24,23.5334,-36.0787,0.6523,9.011,87.533,190,74.8833,24.6725,-21.3711,1.1545,-17.72,-7.785,-5.199,-13.42,69.826,102.523,91.301,349.739,1196,6140.661,15.35165,24.89924,789,15.37454,1196,98.71,0.8949,0.4673,0.8818,0.5207,0.66
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,24,s25,off0,25,22.0859,-37.0919,0.5954,8.841,87.708,185,58.8641,26.3778,-19.0396,1.3854,-18.962,-9.916,-4.847,-14.168,53.808,111.64,84.563,428.899,1207,5238.518,13.0963,22.21966,787,13.10945,1207,98.79,0.9052,0.4263,0.8995,0.5759,0.73
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,25,s26,off1,26,22.9951,-36.6282,0.6278,8.479,88.073,189,68.4948,28.9897,-19.2769,1.5039,-19.277,-8.608,-5.318,-15.605,57.714,121.444,86.163,551.756,1197,6582.204,16.4555,27.3133,789,16.4629,1197,98.67,0.9042,0.4448,0.9065,0.5446,0.73
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,26,s27,off2,27,23.6578,-37.3251,0.6338,8.408,88.111,178,76.4386,29.3479,-19.4966,1.5053,-19.497,-9.6,-3.618,-16.034,50.106,133.208,96.338,521.933,1211,6833.74,17.08434,29.90185,794,17.0748,1211,98.77,0.8967,0.4671,0.8974,0.6166,0.67
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,27,s28,off3,28,24.0612,-34.4354,0.6987,8.532,88.0,181,81.6964,28.7076,-19.464,1.4749,-19.464,-9.592,-4.696,-16.147,52.841,134.697,106.535,536.77,1206,7001.638,17.50409,28.12936,801,17.5415,1206,98.99,0.8991,0.4568,0.9033,0.5664,0.66
