,cagr,maxdd
TN,20.42,-24.98
OA,34.9,-26.43
IPO (cash),31.03,-20.88
IPO (E_gate_OA),32.0,-20.88
IPO (CONT_OA_best_T1),32.09,-29.87
Blend 40/40/20 (incumbent),28.92,-13.59
Blend 40/40/20 (E_gate_OA),29.02,-13.66
Blend 40/40/20 (CONT_OA_best_T1),28.94,-15.75
NIFTYBEES (bench),11.5,-59.71
