path,arm,cagr,dd,calmar,dd0809,dd1214,dd1314,ret1314
0,pair,27.300002734878092,-16.50495674340663,1.6540487296813937,-16.50495674340663,-8.613120056048118,-4.857732445010276,84.0538197648699
0,blend,28.06844051054771,-12.340405041493563,2.2745153352884255,-12.340405041493563,-4.265856161607728,-3.798702249593089,66.74192980959741
1,pair,29.035512075671612,-17.331150510542304,1.67533667531245,-17.331150510542304,-6.66369661334315,-5.362440114355749,79.66609373923774
1,blend,29.97490679939152,-14.189905952335613,2.1124105332394922,-13.043991143449373,-4.214420477401548,-4.214420477401548,63.560202496514506
2,pair,29.502821360823674,-17.36145733286092,1.699328621738578,-17.36145733286092,-8.807922024438364,-3.9404992504278535,93.14788795066573
2,blend,30.51008347069637,-13.072370387544153,2.33393658274612,-13.072370387544153,-4.437970161459459,-3.076867786259252,73.38368802603232
3,pair,27.886488035780623,-18.070057142410246,1.5432429358693787,-16.785003590514446,-9.46019104009178,-4.651460534385199,87.5073246741236
3,blend,28.662930987227675,-14.37149451571994,1.9944293863018467,-12.729342588254466,-4.9306866350608995,-3.4853107262457717,69.26892428106974
4,pair,28.54110475393774,-18.204534103656865,1.5678019877588902,-16.976660317126314,-8.012813716064038,-4.90716564036191,74.28047421458785
4,blend,29.585978616724983,-14.491208190860306,2.041650235581119,-12.75528487656149,-3.7198495935333975,-3.701356898819508,59.51971222269883
5,pair,27.876315814265062,-16.371809492435354,1.7027021861661291,-16.371809492435354,-8.090302600189903,-4.687549409833913,79.87265492981592
5,blend,28.827625542762636,-14.65108776278865,1.9676099146699575,-12.247221100021088,-3.9555779800191093,-3.662555821451996,63.71955509703042
6,pair,28.163665900815115,-14.849331121016029,1.8966285869237245,-14.849331121016029,-5.996018273973148,-5.8960758278438945,76.33191632761451
6,blend,29.22013304350559,-12.396440268262342,2.3571390182321665,-11.144745694015178,-4.629376955859977,-4.629376955859977,61.11760316663057
7,pair,26.321680568961693,-15.658395645212108,1.6809947305814892,-15.658395645212108,-6.602286249051836,-6.272395761993743,78.25817639097276
7,blend,27.7717945479667,-13.067961675503048,2.1251818177602386,-11.794147114129071,-4.7958842288250985,-4.7958842288250985,62.6237632047842
8,pair,24.747413265322237,-15.440369496049955,1.6027733838657983,-15.440369496049955,-9.82227722026322,-5.272180107032176,83.30132153260377
8,blend,26.51660501147408,-12.104859480889175,2.1905752027388488,-11.61259093732,-5.268572506729086,-4.130260379210582,66.32478392319373
9,pair,24.836001411780128,-18.926172875739912,1.3122569245690234,-18.926172875739912,-8.091095960701555,-4.994747101879815,85.46619033747223
9,blend,26.377442722302114,-14.398553640105627,1.8319508598996066,-14.398553640105627,-3.9083139750887064,-3.9083139750887064,67.8455987045406
10,pair,26.98254238077793,-16.624510054054966,1.623057900235471,-16.624510054054966,-8.635540443452616,-4.968897560719466,101.88304039154792
10,blend,28.275736711116917,-13.530351110845295,2.0898006621906813,-12.568300958768052,-4.266902486998059,-3.7431101713988224,79.73402254563489
11,pair,25.140233054379244,-19.528949934804295,1.2873315328426633,-15.371144830699013,-6.38945846776301,-5.272439267058271,84.960368690012
11,blend,27.043848832212692,-15.98188722611481,1.6921561546262418,-11.535317021844282,-4.142419799563591,-4.142419799563591,67.4298500088295
12,pair,27.749464576042172,-16.499591505359056,1.6818273693036077,-16.499591505359056,-9.331776493513233,-5.522357972214486,76.81056246669662
12,blend,28.86524848479981,-13.031817085205311,2.2149826302864386,-12.336050795658227,-4.865549428576621,-4.33040267135647,61.4219548899003
13,pair,30.155825706034854,-17.443225295778085,1.7287987281419621,-17.443225295778085,-7.0786196217973,-5.598312820335183,79.85396060318288
13,blend,30.955428629775604,-14.013353191867761,2.2089951067343168,-13.134847856244159,-4.4031186421851,-4.4031186421851,63.70893371620816
14,pair,29.38121509934508,-17.44466596317936,1.6842520895132254,-17.44466596317936,-8.741047059142225,-3.8982336208126744,84.98525413297473
14,blend,29.939122184638233,-13.54391475340494,2.2105220484433086,-13.265477224677202,-4.383691884763829,-3.0430552825671087,67.35925852143303
