arm,cagr,dd,calmar,d_cagr,d_calmar,d_dd,win_cagr,win_calmar,dd0809,dd1214,d_dd0809,d_dd1214,corr_oa,corr_tn
A_incumbent,28.9184,-13.5915,2.1811,0.0,0.0,0.0,0,0,-12.5496,-4.3621,0.0,0.0,0.2117,0.2184
E_gate_OA,29.0247,-13.6616,2.1261,0.1047,0.0064,-0.0001,30,21,-12.5499,-4.9596,-0.0003,-0.5523,0.3087,0.273
CONT_OA_best_T1,28.9448,-15.7493,1.8431,-0.0654,-0.3581,-2.5816,12,0,-14.9269,-6.7939,-2.3796,-2.4038,0.6294,0.3788
CONT_OA_T0,30.4389,-17.0287,1.7708,1.5394,-0.3746,-3.853,30,0,-15.4736,-6.7469,-2.7924,-2.5073,0.5995,0.3887
E_gate_NB_null,29.324,-13.6685,2.1482,0.3996,0.0278,-0.0003,30,21,-12.5501,-5.3556,-0.0003,-1.0197,0.2507,0.287
