series,window,dow_filter,outcome,signal,n,spearman,p,pearson,hyp_sign,sign_ok
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,280,0.3055,0.0,0.2802,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,279,0.1171,0.050638,0.1334,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,280,0.1742,0.00345,0.2232,-1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,279,0.0655,0.275717,0.0971,-1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,280,0.1913,0.001298,0.3203,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,280,-0.2401,4.9e-05,-0.3127,0,
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,280,0.4307,0.0,0.3886,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,275,0.2222,0.000204,0.1566,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,277,0.4217,0.0,0.3913,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_open,280,0.4495,0.0,0.4096,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pct,280,-0.1521,0.01084,-0.0363,1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pts,280,-0.1521,0.010793,-0.0331,1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,279,0.1149,0.055294,0.1777,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,279,0.093,0.121278,0.169,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,280,0.2434,3.8e-05,0.4014,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,280,0.555,0.0,0.5987,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,280,0.2403,4.8e-05,0.1637,1,YES
