cell,signal,side,n,skipped,total_all,total_kept,pnl_retained_pct,median_all,median_kept,worst_all,worst_kept,rand_total_mean,rand_total_pctile,rand_worst_mean,rand_worst_pctile
FRI_NIFTY_DTE2,oi_atm_share,skip_high,14,4,55920,50840,90.9,3575,5330,-3440,1300,39942,97.5,-2032,93.4
FRI_NIFTY_DTE2,oi_atm_share,skip_low,14,4,55920,38430,68.7,3575,3575,-3440,-3440,39942,41.1,-2032,71.4
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_high,14,4,55920,29400,52.6,3575,3010,-3440,-3440,39942,1.8,-2032,71.4
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_low,14,4,55920,53570,95.8,3575,5330,-3440,2860,39942,100.0,-2032,100.0
FRI_NIFTY_DTE2,dist_pe_wall_bp,skip_high,14,4,55920,39600,70.8,3575,4535,-3440,-3440,39942,49.4,-2032,71.4
FRI_NIFTY_DTE2,dist_pe_wall_bp,skip_low,14,4,55920,37130,66.4,3575,3010,-3440,-3440,39942,32.5,-2032,71.4
FRI_NIFTY_DTE2,wall_span_bp,skip_high,14,4,55920,39600,70.8,3575,4535,-3440,-3440,39942,49.4,-2032,71.4
FRI_NIFTY_DTE2,wall_span_bp,skip_low,14,4,55920,50550,90.4,3575,4825,-3440,2020,39942,97.4,-2032,98.9
FRI_NIFTY_DTE2,maxpain_drift_bp,skip_high,14,4,55920,42260,75.6,3575,4535,-3440,-3440,39942,67.2,-2032,71.4
FRI_NIFTY_DTE2,maxpain_drift_bp,skip_low,14,4,55920,38400,68.7,3575,3575,-3440,-3440,39942,40.9,-2032,71.4
FRI_NIFTY_DTE2,d_pcr_oi_all,skip_high,14,4,55920,44760,80.0,3575,4535,-3440,1300,39942,80.3,-2032,93.4
FRI_NIFTY_DTE2,d_pcr_oi_all,skip_low,14,4,55920,39240,70.2,3575,3575,-3440,-3440,39942,46.7,-2032,71.4
FRI_NIFTY_DTE2,d_oi_total_pct,skip_high,14,4,55920,40890,73.1,3575,3575,-3440,1300,39942,57.8,-2032,93.4
FRI_NIFTY_DTE2,d_oi_total_pct,skip_low,14,4,55920,36650,65.5,3575,3575,-3440,-3440,39942,29.5,-2032,71.4
FRI_NIFTY_DTE2,d_oi_atm_pct,skip_high,14,4,55920,41770,74.7,3575,3575,-3440,1300,39942,63.5,-2032,93.4
FRI_NIFTY_DTE2,d_oi_atm_pct,skip_low,14,4,55920,41850,74.8,3575,4535,-3440,-3440,39942,64.6,-2032,71.4
FRI_NIFTY_DTE2,d_oi_wing_pct,skip_high,14,4,55920,47000,84.0,3575,4535,-3440,1300,39942,88.8,-2032,93.4
FRI_NIFTY_DTE2,d_oi_wing_pct,skip_low,14,4,55920,42360,75.8,3575,4370,-3440,-3440,39942,67.7,-2032,71.4
FRI_NIFTY_DTE2,placebo_noise,skip_high,14,4,55920,32030,57.3,3575,2880,-3440,-3440,39942,6.4,-2032,71.4
FRI_NIFTY_DTE2,placebo_noise,skip_low,14,4,55920,36580,65.4,3575,3575,-3440,-3440,39942,28.9,-2032,71.4
FRI_NIFTY_DTE2,placebo_prepath,skip_high,14,4,55920,41610,74.4,3575,3575,-3440,1300,39942,63.0,-2032,93.4
FRI_NIFTY_DTE2,placebo_prepath,skip_low,14,4,55920,38140,68.2,3575,3575,-3440,-3440,39942,38.8,-2032,71.4
FRI_NIFTY_DTE2,cpr_today,skip_high,14,5,55920,23740,42.5,3575,2860,-3440,-3440,35948,1.0,-1653,64.3
FRI_NIFTY_DTE2,cpr_today,skip_low,14,5,55920,35180,62.9,3575,3120,-3440,-3440,35948,46.1,-1653,64.3
FRI_NIFTY_DTE2,cpr_prev,skip_high,14,5,55920,21600,38.6,3575,2860,-3440,-3440,35948,0.2,-1653,64.3
FRI_NIFTY_DTE2,cpr_prev,skip_low,14,5,55920,48850,87.4,3575,5620,-3440,1300,35948,99.2,-1653,89.0
FRI_NIFTY_DTE2,wcpr_this,skip_high,14,5,55920,32580,58.3,3575,4030,-3440,-3440,35948,29.9,-1653,64.3
FRI_NIFTY_DTE2,wcpr_this,skip_low,14,5,55920,43690,78.1,3575,5040,-3440,1300,35948,89.9,-1653,89.0
FRI_NIFTY_DTE2,wcpr_prev,skip_high,14,5,55920,41710,74.6,3575,3120,-3440,1300,35948,83.0,-1653,89.0
FRI_NIFTY_DTE2,wcpr_prev,skip_low,14,5,55920,28750,51.4,3575,2900,-3440,-3440,35948,10.6,-1653,64.3
FRI_NIFTY_DTE2,gap_abs,skip_high,14,5,55920,34370,61.5,3575,4030,-3440,-3440,35948,41.3,-1653,64.3
FRI_NIFTY_DTE2,gap_abs,skip_low,14,5,55920,35010,62.6,3575,3120,-3440,-3440,35948,45.1,-1653,64.3
FRI_NIFTY_DTE2,gap_pct,skip_high,14,5,55920,33650,60.2,3575,2900,-3440,1300,35948,36.5,-1653,89.0
FRI_NIFTY_DTE2,gap_pct,skip_low,14,5,55920,39150,70.0,3575,5040,-3440,-3440,35948,70.6,-1653,64.3
FRI_NIFTY_DTE2,pdr_pct,skip_high,14,5,55920,24810,44.4,3575,2860,-3440,-3440,35948,1.9,-1653,64.3
FRI_NIFTY_DTE2,pdr_pct,skip_low,14,5,55920,43400,77.6,3575,5040,-3440,1300,35948,89.0,-1653,89.0
FRI_NIFTY_DTE2,pdr_rel,skip_high,14,5,55920,30270,54.1,3575,3120,-3440,-3440,35948,17.1,-1653,64.3
FRI_NIFTY_DTE2,pdr_rel,skip_low,14,5,55920,46130,82.5,3575,5040,-3440,2020,35948,96.0,-1653,97.3
FRI_NIFTY_DTE2,atr14_pct,skip_high,14,5,55920,31440,56.2,3575,3120,-3440,-3440,35948,23.1,-1653,64.3
FRI_NIFTY_DTE2,atr14_pct,skip_low,14,5,55920,41610,74.4,3575,5040,-3440,1300,35948,82.4,-1653,89.0
FRI_NIFTY_DTE2,vix_open,skip_high,14,5,55920,27930,49.9,3575,2860,-3440,-3440,35948,8.0,-1653,64.3
FRI_NIFTY_DTE2,vix_open,skip_low,14,5,55920,42980,76.9,3575,5620,-3440,-3440,35948,87.6,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_oc_pct,skip_high,14,5,55920,26630,47.6,3575,2860,-3440,-3440,35948,4.5,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_oc_pct,skip_low,14,5,55920,26630,47.6,3575,2860,-3440,-3440,35948,4.5,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_oc_pts,skip_high,14,5,55920,26630,47.6,3575,2860,-3440,-3440,35948,4.5,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_oc_pts,skip_low,14,5,55920,26630,47.6,3575,2860,-3440,-3440,35948,4.5,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_cc_pct,skip_high,14,5,55920,37420,66.9,3575,4030,-3440,-3440,35948,60.6,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_cc_pct,skip_low,14,5,55920,33030,59.1,3575,4030,-3440,-3440,35948,32.5,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_cc_pts,skip_high,14,5,55920,37420,66.9,3575,4030,-3440,-3440,35948,60.6,-1653,64.3
FRI_NIFTY_DTE2,vix_chg_cc_pts,skip_low,14,5,55920,28710,51.3,3575,2860,-3440,-3440,35948,10.4,-1653,64.3
FRI_NIFTY_DTE2,pre_move_bp,skip_high,14,5,55920,36570,65.4,3575,3120,-3440,1300,35948,55.2,-1653,89.0
FRI_NIFTY_DTE2,pre_move_bp,skip_low,14,5,55920,39600,70.8,3575,5040,-3440,-3440,35948,73.1,-1653,64.3
FRI_NIFTY_DTE2,pre_range_bp,skip_high,14,5,55920,42450,75.9,3575,4030,-3440,1300,35948,85.5,-1653,89.0
FRI_NIFTY_DTE2,pre_range_bp,skip_low,14,5,55920,37780,67.6,3575,5040,-3440,-3440,35948,62.7,-1653,64.3
FRI_NIFTY_DTE2,pcr_oi_all,skip_high,14,5,55920,35790,64.0,3575,4030,-3440,1300,35948,50.2,-1653,89.0
FRI_NIFTY_DTE2,pcr_oi_all,skip_low,14,5,55920,35280,63.1,3575,3120,-3440,-3440,35948,47.1,-1653,64.3
FRI_NIFTY_DTE2,pcr_oi_atm,skip_high,14,5,55920,42810,76.6,3575,5040,-3440,1300,35948,87.0,-1653,89.0
FRI_NIFTY_DTE2,pcr_oi_atm,skip_low,14,5,55920,35600,63.7,3575,3120,-3440,-3440,35948,49.0,-1653,64.3
FRI_NIFTY_DTE2,pcr_vol_all,skip_high,14,5,55920,31540,56.4,3575,2900,-3440,-3440,35948,23.7,-1653,64.3
FRI_NIFTY_DTE2,pcr_vol_all,skip_low,14,5,55920,38490,68.8,3575,4030,-3440,1300,35948,66.9,-1653,89.0
FRI_NIFTY_DTE2,oi_atm_share,skip_high,14,5,55920,47720,85.3,3575,5620,-3440,1300,35948,98.4,-1653,89.0
FRI_NIFTY_DTE2,oi_atm_share,skip_low,14,5,55920,30110,53.8,3575,3120,-3440,-3440,35948,16.3,-1653,64.3
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_high,14,5,55920,23780,42.5,3575,2900,-3440,-3440,35948,1.0,-1653,64.3
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_low,14,5,55920,48530,86.8,3575,5620,-3440,2860,35948,99.1,-1653,100.0
FRI_NIFTY_DTE2,dist_pe_wall_bp,skip_high,14,5,55920,36700,65.6,3575,5040,-3440,-3440,35948,55.9,-1653,64.3
