cell,n,arm,total_rs_10lot,mean_rs_10lot,median_rs_10lot,worst_rs_10lot,win_pct,fire_pct,RR_observed,pnl_vs_SL20_pct
FRI_NIFTY_DTE2,14,NOSTOP,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL25,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL20,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL15,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL12,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL10,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL8,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,SL6,44150,3153,3575,-15210,92.9,7.1,4.25,-21.0
FRI_NIFTY_DTE2,14,RC2500,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,RC2000,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,RC1600,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,RC1400,55920,3994,3575,-3440,92.9,0.0,0.96,0.0
FRI_NIFTY_DTE2,14,RC1200,44150,3153,3575,-15210,92.9,7.1,4.25,-21.0
FRI_NIFTY_DTE2,14,RC1000,44150,3153,3575,-15210,92.9,7.1,4.25,-21.0
FRI_NIFTY_DTE2,14,RC800,44150,3153,3575,-15210,92.9,7.1,4.25,-21.0
MON_NIFTY_DTE1,17,NOSTOP,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL25,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL20,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL15,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL12,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL10,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL8,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,SL6,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC2500,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC2000,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC1600,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC1400,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC1200,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC1000,16980,998,1240,-4840,70.6,0.0,3.9,0.0
MON_NIFTY_DTE1,17,RC800,16980,998,1240,-4840,70.6,0.0,3.9,0.0
WED_SENSEX_DTE1,17,NOSTOP,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,SL25,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,SL20,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,SL15,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,SL12,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,SL10,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,SL8,24060,1415,3830,-15620,70.6,11.8,4.08,-26.4
WED_SENSEX_DTE1,17,SL6,19110,1124,3830,-12630,70.6,23.5,3.3,-41.5
WED_SENSEX_DTE1,17,RC2500,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,RC2000,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,RC1600,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,RC1400,32690,1922,3830,-11440,70.6,0.0,2.99,0.0
WED_SENSEX_DTE1,17,RC1200,26180,1540,3830,-15620,70.6,5.9,4.08,-19.9
WED_SENSEX_DTE1,17,RC1000,24990,1470,3830,-15620,70.6,11.8,4.08,-23.6
WED_SENSEX_DTE1,17,RC800,30330,1784,3830,-12630,70.6,11.8,3.3,-7.2
