series,window,dow_filter,outcome,signal,quintile,lo,hi,n,mean,median,p90,p95,max,pct_gt_p80all
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,Q1,0.0001,0.0657,56,18.18,13.77,31.7,40.77,70.31,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,Q2,0.0657,0.1343,56,22.59,20.28,35.84,39.51,89.58,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,Q3,0.1343,0.2096,56,25.4,19.92,48.31,73.86,86.01,12.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,Q4,0.2096,0.3172,56,24.01,18.07,45.69,51.92,72.04,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,Q5,0.3172,0.8298,56,31.46,28.54,50.18,58.76,97.03,17.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,Q1,0.0009,0.0705,56,26.55,21.91,41.62,76.74,97.03,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,Q2,0.0705,0.1304,56,20.59,16.72,34.72,52.32,72.04,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,Q3,0.1304,0.2143,55,19.2,15.42,30.45,37.21,67.84,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,Q4,0.2143,0.2953,56,26.93,25.19,47.14,51.92,70.31,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,Q5,0.2953,1.044,56,28.28,22.76,48.58,69.24,89.58,16.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,Q1,0.0029,0.1975,56,23.32,18.94,40.8,48.04,89.58,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,Q2,0.1975,0.3515,56,20.09,16.67,31.66,33.15,67.87,1.8
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,Q3,0.3515,0.5326,56,22.46,18.56,40.03,44.17,80.75,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,Q4,0.5326,0.7863,56,23.67,21.18,42.34,52.37,59.16,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,Q5,0.7863,2.6857,56,32.11,25.32,63.88,77.57,97.03,23.2
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,Q1,0.0029,0.1983,56,21.88,18.44,37.99,47.88,67.87,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,Q2,0.1983,0.3536,56,23.56,21.56,43.68,52.27,70.31,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,Q3,0.3536,0.5265,55,25.21,19.57,44.07,55.84,86.01,10.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,Q4,0.5265,0.7749,56,24.43,17.6,46.45,60.13,97.03,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,Q5,0.7749,2.6769,56,26.57,21.18,42.12,61.33,84.04,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,Q1,0.0012,0.0897,56,21.64,16.6,40.19,42.76,89.58,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,Q2,0.0897,0.22,56,22.84,17.52,43.58,50.34,67.87,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,Q3,0.22,0.3624,56,22.81,20.09,36.33,46.89,75.41,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,Q4,0.3624,0.6966,56,21.82,16.58,35.58,52.58,97.03,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,Q5,0.6966,5.2454,56,32.53,28.98,54.24,74.22,86.01,19.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,Q1,-5.2454,-0.2792,56,31.77,26.61,52.29,74.22,86.01,17.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,Q2,-0.2792,0.0014,56,25.12,20.74,42.4,51.86,89.58,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,Q3,0.0014,0.1593,56,21.23,16.7,37.48,43.33,67.87,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,Q4,0.1593,0.3914,56,20.82,16.92,36.52,52.84,73.35,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,Q5,0.3914,3.4657,56,22.72,18.2,40.44,52.53,97.03,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,Q1,0.2934,0.6171,56,16.79,12.42,25.74,30.97,80.75,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,Q2,0.6171,0.8506,56,22.94,18.22,38.58,46.08,89.58,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,Q3,0.8506,1.0539,56,21.12,19.24,33.97,41.58,47.89,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,Q4,1.0539,1.4198,56,27.26,22.83,48.0,61.34,75.41,12.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,Q5,1.4198,3.5128,56,33.54,29.94,54.76,76.02,97.03,21.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,Q1,0.2893,0.6451,55,19.07,16.0,31.01,45.07,67.84,7.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,Q2,0.6451,0.8316,55,24.81,20.11,44.84,54.87,89.58,10.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,Q3,0.8316,1.0838,55,22.16,19.74,39.76,43.25,59.16,5.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,Q4,1.0838,1.3513,55,26.57,19.05,50.44,73.05,86.01,12.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,Q5,1.3513,3.6646,55,27.39,23.97,47.38,54.72,73.35,12.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,Q1,0.5911,0.8404,56,16.53,14.38,28.94,31.32,39.73,0.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,Q2,0.8404,0.9868,55,19.02,15.09,30.1,39.4,70.31,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,Q3,0.9868,1.1678,55,23.59,20.11,37.53,48.97,80.75,7.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,Q4,1.1678,1.4158,55,28.04,22.25,54.33,69.12,75.41,16.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,Q5,1.4158,2.4937,56,34.23,30.43,52.11,84.53,97.03,23.2
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_open,Q1,9.15,11.94,55,16.76,14.78,27.95,31.32,39.73,0.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_open,Q2,11.94,13.546,57,19.7,14.07,32.38,51.77,70.31,7.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_open,Q3,13.546,15.224,56,23.96,17.07,44.13,54.71,80.75,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_open,Q4,15.224,18.794,56,26.18,22.76,41.62,51.56,84.04,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_open,Q5,18.794,28.14,56,34.99,30.57,54.24,78.06,97.03,23.2
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pct,Q1,-3.547,0.0,7,33.12,29.83,48.05,49.76,51.47,28.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pct,Q5,0.0,2.515,273,24.1,19.57,42.78,54.74,97.03,9.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pts,Q1,-0.51,0.0,7,33.12,29.83,48.05,49.76,51.47,28.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pts,Q5,0.0,0.39,273,24.1,19.57,42.78,54.74,97.03,9.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,Q1,-16.553,-4.149,56,24.15,22.5,37.65,46.3,70.31,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,Q2,-4.149,-2.0336,56,21.45,16.68,43.17,46.24,73.35,8.9
