cell,signal,cut,skip_pct,p90_all,p90_kept,rand_pctile,max_all,max_kept
MON_NIFTY_DTE1,vix_gap_pts,80,21.1,0.4311,0.4265,22.1,1.081,1.081
MON_NIFTY_DTE1,vix_gap_pts,90,10.4,0.4311,0.4274,22.7,1.081,1.081
MON_NIFTY_DTE1,vix_gap_pts,95,5.3,0.4311,0.4277,16.8,1.081,1.081
MON_NIFTY_DTE1,vix_gap_pct,80,20.1,0.4311,0.4268,24.1,1.081,1.081
MON_NIFTY_DTE1,vix_gap_pct,90,10.1,0.4311,0.4182,2.4,1.081,1.081
MON_NIFTY_DTE1,vix_gap_pct,95,5.1,0.4311,0.4207,0.5,1.081,1.081
MON_NIFTY_DTE1,vix_cc_pts,80,20.1,0.4311,0.4204,10.5,1.081,1.081
MON_NIFTY_DTE1,vix_cc_pts,90,10.1,0.4311,0.4265,10.0,1.081,1.081
MON_NIFTY_DTE1,vix_cc_pts,95,5.1,0.4311,0.4275,15.3,1.081,1.081
MON_NIFTY_DTE1,vix_cc_pct,80,20.1,0.4311,0.4204,10.8,1.081,1.081
MON_NIFTY_DTE1,vix_cc_pct,90,10.1,0.4311,0.4265,11.1,1.081,1.081
MON_NIFTY_DTE1,vix_cc_pct,95,5.1,0.4311,0.4275,15.4,1.081,1.081
WED_SENSEX_DTE1,vix_gap_pts,80,20.2,0.5525,0.5783,90.4,1.2766,1.0171
WED_SENSEX_DTE1,vix_gap_pts,90,10.3,0.5525,0.5604,78.5,1.2766,1.0171
WED_SENSEX_DTE1,vix_gap_pts,95,5.1,0.5525,0.5462,41.2,1.2766,1.0171
WED_SENSEX_DTE1,vix_gap_pct,80,20.2,0.5525,0.5472,47.8,1.2766,1.0171
WED_SENSEX_DTE1,vix_gap_pct,90,10.3,0.5525,0.5604,77.2,1.2766,1.0171
WED_SENSEX_DTE1,vix_gap_pct,95,5.1,0.5525,0.5462,42.0,1.2766,1.0171
WED_SENSEX_DTE1,vix_cc_pts,80,20.6,0.5525,0.5425,34.4,1.2766,1.0171
WED_SENSEX_DTE1,vix_cc_pts,90,10.3,0.5525,0.5504,55.0,1.2766,1.0171
WED_SENSEX_DTE1,vix_cc_pts,95,5.1,0.5525,0.5462,40.8,1.2766,1.0171
WED_SENSEX_DTE1,vix_cc_pct,80,20.2,0.5525,0.5354,21.0,1.2766,1.0171
WED_SENSEX_DTE1,vix_cc_pct,90,10.3,0.5525,0.5427,31.3,1.2766,1.0171
WED_SENSEX_DTE1,vix_cc_pct,95,5.1,0.5525,0.5422,16.7,1.2766,1.0171
FRI_NIFTY_DTE2,vix_gap_pts,80,20.4,0.6904,0.6859,34.6,5.2129,5.2129
FRI_NIFTY_DTE2,vix_gap_pts,90,10.7,0.6904,0.6844,14.1,5.2129,5.2129
FRI_NIFTY_DTE2,vix_gap_pts,95,5.9,0.6904,0.6859,21.9,5.2129,5.2129
FRI_NIFTY_DTE2,vix_gap_pct,80,20.1,0.6904,0.6895,45.0,5.2129,5.2129
FRI_NIFTY_DTE2,vix_gap_pct,90,10.1,0.6904,0.6875,33.7,5.2129,5.2129
FRI_NIFTY_DTE2,vix_gap_pct,95,5.2,0.6904,0.6859,14.4,5.2129,5.2129
FRI_NIFTY_DTE2,vix_cc_pts,80,20.4,0.6904,0.6764,8.0,5.2129,1.5944
FRI_NIFTY_DTE2,vix_cc_pts,90,10.1,0.6904,0.6886,47.5,5.2129,5.2129
FRI_NIFTY_DTE2,vix_cc_pts,95,5.2,0.6904,0.7087,76.2,5.2129,5.2129
FRI_NIFTY_DTE2,vix_cc_pct,80,20.1,0.6904,0.6796,10.8,5.2129,1.5944
FRI_NIFTY_DTE2,vix_cc_pct,90,10.1,0.6904,0.6864,30.5,5.2129,5.2129
FRI_NIFTY_DTE2,vix_cc_pct,95,5.2,0.6904,0.7087,77.9,5.2129,5.2129
