scope,outcome,signal,n,spearman,p
MON_NIFTY_DTE1,pnl_pct_credit,wcpr_this,17,0.0147,0.95533
MON_NIFTY_DTE1,pnl_pct_credit,wcpr_prev,17,-0.0711,0.78633
MON_NIFTY_DTE1,pnl_pct_credit,gap_abs,17,0.4093,0.10278
MON_NIFTY_DTE1,pnl_pct_credit,gap_pct,17,0.3897,0.12203
MON_NIFTY_DTE1,pnl_pct_credit,pdr_pct,17,0.1275,0.62593
MON_NIFTY_DTE1,pnl_pct_credit,pdr_rel,17,-0.0025,0.99255
MON_NIFTY_DTE1,pnl_pct_credit,atr14_pct,17,0.2304,0.37366
MON_NIFTY_DTE1,pnl_pct_credit,vix_open,17,0.0956,0.71516
MON_NIFTY_DTE1,pnl_pct_credit,vix_chg_oc_pct,17,-0.3062,0.23199
MON_NIFTY_DTE1,pnl_pct_credit,vix_chg_oc_pts,17,-0.3062,0.23199
MON_NIFTY_DTE1,pnl_pct_credit,vix_chg_cc_pct,17,-0.3162,0.21633
MON_NIFTY_DTE1,pnl_pct_credit,vix_chg_cc_pts,17,-0.3162,0.21633
MON_NIFTY_DTE1,pnl_pct_credit,pre_move_bp,17,0.2941,0.25184
MON_NIFTY_DTE1,pnl_pct_credit,pre_range_bp,17,0.152,0.56042
MON_NIFTY_DTE1,pnl_pct_credit,pcr_oi_all,17,0.0294,0.91078
MON_NIFTY_DTE1,pnl_pct_credit,pcr_oi_atm,17,-0.0931,0.72219
MON_NIFTY_DTE1,pnl_pct_credit,pcr_vol_all,17,-0.0417,0.87384
MON_NIFTY_DTE1,pnl_pct_credit,oi_atm_share,17,-0.3995,0.11212
MON_NIFTY_DTE1,pnl_pct_credit,dist_ce_wall_bp,17,0.4167,0.09616
MON_NIFTY_DTE1,pnl_pct_credit,dist_pe_wall_bp,17,-0.0809,0.75763
MON_NIFTY_DTE1,pnl_pct_credit,wall_span_bp,17,0.2383,0.35706
MON_NIFTY_DTE1,pnl_pct_credit,maxpain_drift_bp,17,-0.038,0.88483
MON_NIFTY_DTE1,pnl_pct_credit,d_pcr_oi_all,16,-0.0471,0.8626
MON_NIFTY_DTE1,pnl_pct_credit,d_oi_total_pct,16,0.2765,0.29994
MON_NIFTY_DTE1,pnl_pct_credit,d_oi_atm_pct,16,0.1971,0.46446
MON_NIFTY_DTE1,pnl_pct_credit,d_oi_wing_pct,16,0.3324,0.2085
MON_NIFTY_DTE1,pnl_pct_credit,placebo_noise,17,-0.027,0.91819
MON_NIFTY_DTE1,pnl_pct_credit,placebo_prepath,17,0.0809,0.75763
MON_NIFTY_DTE1,exc_over_credit,cpr_today,17,0.2108,0.41675
MON_NIFTY_DTE1,exc_over_credit,cpr_prev,17,-0.1324,0.61259
MON_NIFTY_DTE1,exc_over_credit,wcpr_this,17,0.1961,0.4507
MON_NIFTY_DTE1,exc_over_credit,wcpr_prev,17,0.1397,0.5928
MON_NIFTY_DTE1,exc_over_credit,gap_abs,17,0.2059,0.42791
MON_NIFTY_DTE1,exc_over_credit,gap_pct,17,-0.3137,0.2201
MON_NIFTY_DTE1,exc_over_credit,pdr_pct,17,0.4118,0.10054
MON_NIFTY_DTE1,exc_over_credit,pdr_rel,17,0.2132,0.41123
MON_NIFTY_DTE1,exc_over_credit,atr14_pct,17,0.3309,0.19454
MON_NIFTY_DTE1,exc_over_credit,vix_open,17,0.3725,0.14084
MON_NIFTY_DTE1,exc_over_credit,vix_chg_oc_pct,17,-0.2552,0.32296
MON_NIFTY_DTE1,exc_over_credit,vix_chg_oc_pts,17,-0.2552,0.32296
MON_NIFTY_DTE1,exc_over_credit,vix_chg_cc_pct,17,0.3358,0.18761
MON_NIFTY_DTE1,exc_over_credit,vix_chg_cc_pts,17,0.3358,0.18761
MON_NIFTY_DTE1,exc_over_credit,pre_move_bp,17,0.1814,0.48601
MON_NIFTY_DTE1,exc_over_credit,pre_range_bp,17,0.3211,0.2089
MON_NIFTY_DTE1,exc_over_credit,pcr_oi_all,17,-0.3064,0.23169
MON_NIFTY_DTE1,exc_over_credit,pcr_oi_atm,17,-0.027,0.91819
MON_NIFTY_DTE1,exc_over_credit,pcr_vol_all,17,0.2721,0.2908
MON_NIFTY_DTE1,exc_over_credit,oi_atm_share,17,-0.3186,0.21259
MON_NIFTY_DTE1,exc_over_credit,dist_ce_wall_bp,17,0.3162,0.21633
MON_NIFTY_DTE1,exc_over_credit,dist_pe_wall_bp,17,0.1005,0.70117
MON_NIFTY_DTE1,exc_over_credit,wall_span_bp,17,0.3395,0.18245
MON_NIFTY_DTE1,exc_over_credit,maxpain_drift_bp,17,-0.4537,0.06736
MON_NIFTY_DTE1,exc_over_credit,d_pcr_oi_all,16,-0.1824,0.49907
MON_NIFTY_DTE1,exc_over_credit,d_oi_total_pct,16,0.0176,0.94828
MON_NIFTY_DTE1,exc_over_credit,d_oi_atm_pct,16,0.2618,0.32741
MON_NIFTY_DTE1,exc_over_credit,d_oi_wing_pct,16,-0.1324,0.62511
MON_NIFTY_DTE1,exc_over_credit,placebo_noise,17,0.1152,0.65975
MON_NIFTY_DTE1,exc_over_credit,placebo_prepath,17,-0.0711,0.78633
WED_SENSEX_DTE1,pnl_pct_credit,cpr_today,17,-0.0613,0.81528
WED_SENSEX_DTE1,pnl_pct_credit,cpr_prev,17,0.2745,0.2863
WED_SENSEX_DTE1,pnl_pct_credit,wcpr_this,17,0.2696,0.29534
WED_SENSEX_DTE1,pnl_pct_credit,wcpr_prev,17,-0.1275,0.62593
WED_SENSEX_DTE1,pnl_pct_credit,gap_abs,17,0.201,0.43923
WED_SENSEX_DTE1,pnl_pct_credit,gap_pct,17,0.0515,0.84447
WED_SENSEX_DTE1,pnl_pct_credit,pdr_pct,17,0.0686,0.79354
WED_SENSEX_DTE1,pnl_pct_credit,pdr_rel,17,-0.1324,0.61259
WED_SENSEX_DTE1,pnl_pct_credit,atr14_pct,17,0.3211,0.2089
WED_SENSEX_DTE1,pnl_pct_credit,vix_open,17,0.2304,0.37366
WED_SENSEX_DTE1,pnl_pct_credit,vix_chg_oc_pct,17,,
WED_SENSEX_DTE1,pnl_pct_credit,vix_chg_oc_pts,17,,
WED_SENSEX_DTE1,pnl_pct_credit,vix_chg_cc_pct,17,0.2525,0.32829
WED_SENSEX_DTE1,pnl_pct_credit,vix_chg_cc_pts,17,0.2502,0.33286
