cell,series,outcome,signal,n,spearman,p
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_open5,546,0.492,0.0
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_gap_pct,546,-0.0209,0.62523
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_gap_pts,546,-0.0058,0.89305
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_cc_pct,546,-0.0034,0.93667
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_cc_pts,546,-0.024,0.57542
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_at_entry_MON_NIFTY_DTE1,546,0.5313,0.0
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_bp,vix_intraday_pct_MON_NIFTY_DTE1,546,0.1844,1e-05
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_open5,546,0.0637,0.13723
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_gap_pct,546,-0.0256,0.55116
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_gap_pts,546,-0.0266,0.53457
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_cc_pct,546,-0.0144,0.73758
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_cc_pts,546,-0.0108,0.80138
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_at_entry_MON_NIFTY_DTE1,546,0.1166,0.00636
MON_NIFTY_DTE1,NIFTY50_5MIN,exc_norm,vix_intraday_pct_MON_NIFTY_DTE1,546,0.2366,0.0
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_open5,272,0.3105,0.0
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_gap_pct,272,0.0237,0.69699
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_gap_pts,272,0.0333,0.58446
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_cc_pct,272,0.0513,0.39976
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_cc_pts,272,0.0398,0.51318
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_at_entry_WED_SENSEX_DTE1,272,0.3168,0.0
WED_SENSEX_DTE1,SENSEX_1MIN,exc_bp,vix_intraday_pct_WED_SENSEX_DTE1,272,0.0328,0.59009
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_open5,272,-0.1374,0.0234
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_gap_pct,272,0.0333,0.58409
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_gap_pts,272,0.0128,0.83311
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_cc_pct,272,0.0292,0.63109
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_cc_pts,272,0.0342,0.57482
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_at_entry_WED_SENSEX_DTE1,272,-0.1284,0.03427
WED_SENSEX_DTE1,SENSEX_1MIN,exc_norm,vix_intraday_pct_WED_SENSEX_DTE1,272,0.0968,0.11123
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_open5,543,0.3616,0.0
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_gap_pct,543,-0.1388,0.00119
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_gap_pts,543,-0.1201,0.00509
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_cc_pct,543,0.1061,0.01337
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_cc_pts,543,0.0716,0.09549
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_at_entry_FRI_NIFTY_DTE2,543,0.3707,0.0
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_bp,vix_intraday_pct_FRI_NIFTY_DTE2,543,0.0588,0.17149
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_open5,543,-0.082,0.05624
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_gap_pct,543,-0.0835,0.05188
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_gap_pts,543,-0.0891,0.03786
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_cc_pct,543,0.0855,0.04633
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_cc_pts,543,0.0973,0.02332
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_at_entry_FRI_NIFTY_DTE2,543,-0.0662,0.12361
FRI_NIFTY_DTE2,NIFTY50_5MIN,exc_norm,vix_intraday_pct_FRI_NIFTY_DTE2,543,0.1141,0.00776
