cell,combo,outcome,n,skipped,skip_pct,p90_all,p90_kept,max_all,max_kept,rand_pctile
MON_NIFTY_DTE1,wide_daily_cpr_AND_big_prev_range,exc_bp,548,114,20.8,49.404,45.769,141.39,124.95,0.6
MON_NIFTY_DTE1,wide_daily_cpr_AND_big_prev_range,exc_norm,548,114,20.8,0.435,0.418,1.081,1.081,3.8
MON_NIFTY_DTE1,wide_daily_cpr_AND_narrow_weekly,exc_bp,548,32,5.8,49.404,48.46,141.39,141.39,11.0
MON_NIFTY_DTE1,wide_daily_cpr_AND_narrow_weekly,exc_norm,548,32,5.8,0.435,0.439,1.081,1.081,84.2
MON_NIFTY_DTE1,big_gap_AND_high_vix,exc_bp,548,83,15.1,49.404,44.736,141.39,110.51,0.0
MON_NIFTY_DTE1,big_gap_AND_high_vix,exc_norm,548,83,15.1,0.435,0.432,1.081,1.068,45.6
MON_NIFTY_DTE1,hot_preopen_range_AND_wide_cpr,exc_bp,548,75,13.7,49.404,43.622,141.39,124.95,0.0
MON_NIFTY_DTE1,hot_preopen_range_AND_wide_cpr,exc_norm,548,75,13.7,0.435,0.416,1.081,1.081,0.5
MON_NIFTY_DTE1,hot_preopen_range_OR_big_gap,exc_bp,548,178,32.5,49.404,41.981,141.39,110.51,0.0
MON_NIFTY_DTE1,hot_preopen_range_OR_big_gap,exc_norm,548,178,32.5,0.435,0.398,1.081,1.068,0.1
MON_NIFTY_DTE1,vix_shock_up_AND_big_prev_range,exc_bp,548,161,29.4,49.404,45.48,141.39,124.95,1.3
MON_NIFTY_DTE1,vix_shock_up_AND_big_prev_range,exc_norm,548,161,29.4,0.435,0.411,1.081,1.081,1.4
WED_SENSEX_DTE1,wide_daily_cpr_AND_big_prev_range,exc_bp,272,58,21.3,52.016,50.969,215.13,96.87,38.3
WED_SENSEX_DTE1,wide_daily_cpr_AND_big_prev_range,exc_norm,272,58,21.3,0.552,0.547,1.277,1.017,38.0
WED_SENSEX_DTE1,wide_daily_cpr_AND_narrow_weekly,exc_bp,272,21,7.7,52.016,49.91,215.13,215.13,6.3
WED_SENSEX_DTE1,wide_daily_cpr_AND_narrow_weekly,exc_norm,272,21,7.7,0.552,0.542,1.277,1.277,18.0
WED_SENSEX_DTE1,big_gap_AND_high_vix,exc_bp,272,45,16.5,52.016,51.546,215.13,96.87,46.5
WED_SENSEX_DTE1,big_gap_AND_high_vix,exc_norm,272,45,16.5,0.552,0.578,1.277,1.017,93.2
WED_SENSEX_DTE1,hot_preopen_range_AND_wide_cpr,exc_bp,272,40,14.7,52.016,49.718,215.13,96.87,3.8
WED_SENSEX_DTE1,hot_preopen_range_AND_wide_cpr,exc_norm,272,40,14.7,0.552,0.543,1.277,1.017,39.9
WED_SENSEX_DTE1,hot_preopen_range_OR_big_gap,exc_bp,272,94,34.6,52.016,48.323,215.13,96.87,1.1
WED_SENSEX_DTE1,hot_preopen_range_OR_big_gap,exc_norm,272,94,34.6,0.552,0.534,1.277,1.017,28.0
WED_SENSEX_DTE1,vix_shock_up_AND_big_prev_range,exc_bp,272,81,29.8,52.016,52.19,215.13,96.87,70.9
WED_SENSEX_DTE1,vix_shock_up_AND_big_prev_range,exc_norm,272,81,29.8,0.552,0.553,1.277,1.017,58.7
FRI_NIFTY_DTE2,wide_daily_cpr_AND_big_prev_range,exc_bp,543,112,20.6,72.114,71.97,1304.49,456.83,46.6
FRI_NIFTY_DTE2,wide_daily_cpr_AND_big_prev_range,exc_norm,543,112,20.6,0.69,0.728,5.213,1.594,86.5
FRI_NIFTY_DTE2,wide_daily_cpr_AND_narrow_weekly,exc_bp,543,43,7.9,72.114,71.988,1304.49,1304.49,43.0
FRI_NIFTY_DTE2,wide_daily_cpr_AND_narrow_weekly,exc_norm,543,43,7.9,0.69,0.721,5.213,5.213,82.1
FRI_NIFTY_DTE2,big_gap_AND_high_vix,exc_bp,543,83,15.3,72.114,67.811,1304.49,510.64,0.2
FRI_NIFTY_DTE2,big_gap_AND_high_vix,exc_norm,543,83,15.3,0.69,0.723,5.213,5.213,83.8
FRI_NIFTY_DTE2,hot_preopen_range_AND_wide_cpr,exc_bp,543,69,12.7,72.114,67.208,1304.49,510.64,0.1
FRI_NIFTY_DTE2,hot_preopen_range_AND_wide_cpr,exc_norm,543,69,12.7,0.69,0.712,5.213,5.213,69.0
FRI_NIFTY_DTE2,hot_preopen_range_OR_big_gap,exc_bp,543,179,33.0,72.114,61.295,1304.49,510.64,0.0
FRI_NIFTY_DTE2,hot_preopen_range_OR_big_gap,exc_norm,543,179,33.0,0.69,0.676,5.213,5.213,10.5
FRI_NIFTY_DTE2,vix_shock_up_AND_big_prev_range,exc_bp,543,160,29.5,72.114,73.698,1304.49,456.83,72.8
FRI_NIFTY_DTE2,vix_shock_up_AND_big_prev_range,exc_norm,543,160,29.5,0.69,0.728,5.213,1.594,86.1
