symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
AXISBANK,B,5min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_5min_off_l,long,T_STEP_TRAIL,12,0.4444,66.67,2.653,0.3313,12,False
EICHERMOT,B,5min,t0.0050_ctxW_w0.0050_n0.0070_5min_off_l,long,T_NO,22,0.3974,72.73,1.165,0.32696,48,False
POWERGRID,B,10min,t0.0040_ctxW_OR_N_w0.0065_n0.0090_10min_off_s,short,T_STEP_TRAIL,11,0.28,72.73,1.006,0.30953,4,False
TRENT,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_vm1.5_s,short,T_CHANDELIER_1.0,11,0.9782,63.64,1.72,0.29874,0,False
JINDALSTEL,B,10min,t0.0040_ctxW_w0.0080_n0.0070_10min_off_l,long,T_NO,10,0.4193,70.0,1.355,0.29861,0,False
PNB,B,10min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_10min_off_s,short,T_ATR_SL_0.3,13,0.4095,61.54,2.142,0.29705,0,False
FEDERALBNK,B,10min,t0.0050_ctxW_OR_N_w0.0080_n0.0090_10min_off_s,short,T_R_TARGET_1.0R,11,0.3336,63.64,2.016,0.29528,0,False
SBIN,A,15min,t0.0040_ctxW_w0.0050_n0.0070_15min_vm2.0_l,long,T_R_TARGET_1.0R,27,0.5965,59.26,2.521,0.2809,0,False
COFORGE,B,5min,t0.0040_ctxW_w0.0050_n0.0070_5min_vm1.5_l,long,T_R_TARGET_1.5R,10,0.3738,70.0,1.284,0.27555,0,False
CIPLA,B,15min,t0.0050_ctxW_OR_N_w0.0065_n0.0070_15min_off_l,long,T_CHANDELIER_1.0,10,0.3577,60.0,2.88,0.26928,0,False
PAYTM,B,5min,t0.0050_ctxW_w0.0080_n0.0070_5min_off_l,long,T_R_TARGET_1.5R,14,0.8575,71.43,1.085,0.2671,0,False
LT,B,10min,t0.0050_ctxW_w0.0050_n0.0070_10min_vm1.5_l,long,T_R_TARGET_1.5R,10,0.3284,60.0,2.141,0.25825,0,False
BEL,B,5min,t0.0050_ctxW_w0.0080_n0.0070_5min_off_s,short,T_R_TARGET_1.0R,10,0.5451,60.0,1.852,0.24734,0,False
HINDALCO,B,5min,t0.0030_ctxW_w0.0065_n0.0070_5min_off_l,long,T_STEP_TRAIL,13,0.3895,53.85,2.69,0.24172,0,False
CHOLAFIN,B,10min,t0.0030_ctxW_w0.0065_n0.0070_10min_off_l,long,T_NO,10,0.3495,60.0,2.596,0.23167,0,False
TATASTEEL,B,10min,t0.0030_ctxW_w0.0050_n0.0070_10min_off_s,short,T_NO,11,0.3635,54.55,2.114,0.21595,0,False
BAJAJ-AUTO,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_vm1.5_l,long,T_R_TARGET_2.0R,11,0.7304,54.55,3.881,0.20451,0,False
