symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,pnl_inr,shares,seed
TITAN,2007-01-04,45.25,2007-03-01,41.4,"SuperTrend(14,4) trail",37,-8.96,-9004,2214,20
DCBBANK,2007-05-14,91.3,2007-08-22,99.5,"SuperTrend(14,4) trail",71,8.44,9947,1288,20
TITAN,2007-05-17,53.35,2007-07-30,56.51,"SuperTrend(14,4) trail",52,5.39,6460,2239,20
FEDERALBNK,2007-05-17,20.65,2007-08-22,23.05,"SuperTrend(14,4) trail",68,11.07,13250,5784,20
BALAJITELE,2007-05-17,195.27,2008-01-23,273.98,"SuperTrend(14,4) trail",175,39.61,47375,611,20
BHEL,2007-05-23,181.67,2007-08-20,213.33,"SuperTrend(14,4) trail",62,16.84,20551,670,20
BANKINDIA,2007-05-23,206.03,2007-06-14,180.21,"SuperTrend(14,4) trail",16,-12.97,-15830,591,20
AXISBANK,2007-06-18,120.8,2007-08-17,109.21,"SuperTrend(14,4) trail",43,-10.05,-12068,992,20
APOLLOTYRE,2007-07-17,38.0,2008-01-23,40.0,"SuperTrend(14,4) trail",132,4.74,6141,3402,20
CHAMBLFERT,2007-08-23,52.3,2007-10-19,46.0,"SuperTrend(14,4) trail",40,-12.48,-14839,2267,20
INDIACEM,2007-09-04,251.0,2008-01-21,250.0,"SuperTrend(14,4) trail",96,-0.9,-1099,488,20
IDBI,2007-09-04,132.75,2007-10-19,128.0,"SuperTrend(14,4) trail",32,-4.06,-4981,922,20
DEEPAKFERT,2007-09-05,114.65,2008-01-22,100.0,"SuperTrend(14,4) trail",96,-13.21,-16235,1069,20
VEDL,2007-09-06,38.4,2008-01-21,66.65,"SuperTrend(14,4) trail",94,72.7,89923,3213,20
EMKAY,2007-09-11,156.55,2008-01-31,265.0,"SuperTrend(14,4) trail",99,68.43,84413,786,20
UPL,2007-09-12,111.5,2007-11-13,100.7,"SuperTrend(14,4) trail",43,-10.14,-12475,1101,20
UCOBANK,2007-09-12,38.1,2007-10-09,40.0,"SuperTrend(14,4) trail",18,4.46,5496,3224,20
NLCINDIA,2007-09-14,97.0,2008-01-22,163.0,"SuperTrend(14,4) trail",89,67.2,81491,1247,20
NCC,2007-09-20,149.95,2008-01-22,172.11,"SuperTrend(14,4) trail",85,14.21,17703,829,20
AMBUJACEM,2007-10-11,152.0,2008-01-14,138.55,"SuperTrend(14,4) trail",65,-9.3,-12220,862,20
HCC,2007-10-25,76.77,2008-01-21,78.79,"SuperTrend(14,4) trail",60,2.12,2881,1766,20
INDUSINDBK,2007-10-25,85.5,2008-01-22,89.0,"SuperTrend(14,4) trail",61,3.57,4859,1586,20
GLENMARK,2008-04-29,628.0,2008-09-18,538.0,"SuperTrend(14,4) trail",98,-14.76,-19791,213,20
BOMDYEING,2008-04-30,200.0,2008-06-05,149.0,"SuperTrend(14,4) trail",24,-25.87,-34910,673,20
VEDL,2008-04-30,90.3,2008-06-05,75.45,"SuperTrend(14,4) trail",24,-16.86,-22759,1491,20
NATIONALUM,2008-05-22,130.96,2008-06-23,103.05,"SuperTrend(14,4) trail",22,-21.7,-29122,1022,20
LUPIN,2008-08-04,148.0,2008-10-13,129.8,"SuperTrend(14,4) trail",46,-12.73,-16646,881,20
BAJAJ-AUTO,2008-09-05,297.0,2008-10-13,223.0,"SuperTrend(14,4) trail",24,-25.29,-33283,442,20
HEROMOTOCO,2009-02-16,809.7,2009-08-18,1279.9,"SuperTrend(14,4) trail",122,57.28,73931,159,20
BAJAJ-AUTO,2009-04-02,309.5,2010-12-20,1419.0,"SuperTrend(14,4) trail",425,356.19,467491,423,20
SUZLON,2009-05-06,67.1,2009-07-09,80.8,"SuperTrend(14,4) trail",46,19.82,26567,1993,20
RECLTD,2009-05-08,47.65,2010-02-08,89.25,"SuperTrend(14,4) trail",188,86.37,116264,2818,20
LUPIN,2009-05-11,157.0,2010-09-01,360.95,"SuperTrend(14,4) trail",329,128.76,172054,849,20
LICHSGFIN,2009-05-13,71.4,2009-11-04,134.25,"SuperTrend(14,4) trail",120,87.09,117129,1879,20
SUNPHARMA,2009-05-19,141.1,2009-06-29,113.3,"SuperTrend(14,4) trail",29,-20.1,-28493,1002,20
MPHASIS,2009-05-29,281.4,2010-01-28,574.6,"SuperTrend(14,4) trail",165,103.17,151060,519,20
COLPAL,2009-06-05,260.23,2010-05-26,347.45,"SuperTrend(14,4) trail",240,32.85,50478,589,20
UNIONBANK,2009-06-15,217.72,2009-08-18,204.43,"SuperTrend(14,4) trail",46,-6.57,-9999,697,20
APOLLOHOSP,2009-06-29,302.5,2010-05-21,332.5,"SuperTrend(14,4) trail",221,9.37,14632,515,20
