month,modal_expiry_weekday,expiries,weekdays_seen
2024-01,Fri,4,Fri|Fri|Fri|Thu
2024-02,Fri,4,Fri|Fri|Fri|Fri
2024-03,Fri,5,Fri|Thu|Fri|Fri|Thu
2024-04,Fri,4,Fri|Fri|Fri|Fri
2024-05,Fri,5,Fri|Fri|Fri|Fri|Fri
2024-06,Fri,4,Fri|Fri|Fri|Fri
2024-07,Fri,4,Fri|Fri|Fri|Fri
2024-08,Fri,5,Fri|Fri|Fri|Fri|Fri
2024-09,Fri,4,Fri|Fri|Fri|Fri
2024-10,Fri,5,Fri|Fri|Fri|Fri|Thu
2024-11,Fri,4,Fri|Thu|Fri|Fri
2024-12,Fri,4,Fri|Fri|Fri|Fri
2025-01,Tue,5,Fri|Tue|Tue|Tue|Tue
2025-02,Tue,4,Tue|Tue|Tue|Tue
2025-03,Tue,4,Tue|Tue|Tue|Tue
2025-04,Tue,5,Tue|Tue|Tue|Tue|Tue
2025-05,Tue,4,Tue|Tue|Tue|Tue
2025-06,Tue,4,Tue|Tue|Tue|Tue
2025-07,Tue,5,Tue|Tue|Tue|Tue|Tue
2025-08,Tue,4,Tue|Tue|Tue|Tue
2025-09,Thu,4,Thu|Thu|Thu|Thu
2025-10,Thu,5,Wed|Thu|Thu|Thu|Thu
2025-11,Thu,4,Thu|Thu|Thu|Thu
2025-12,Thu,4,Thu|Thu|Thu|Wed
2026-01,Thu,4,Thu|Thu|Thu|Thu
2026-02,Thu,4,Thu|Thu|Thu|Thu
2026-03,Thu,4,Thu|Thu|Thu|Wed
2026-04,Thu,5,Thu|Thu|Thu|Thu|Thu
2026-05,Thu,4,Thu|Thu|Thu|Wed
2026-06,Thu,4,Thu|Thu|Thu|Thu
2026-07,Thu,5,Thu|Thu|Thu|Thu|Thu
