symbol,months,n_young,n_young_liq,first
EKC,12,249,90,2005-12-15
EKC,24,498,310,2005-12-15
EKC,36,741,327,2005-12-15
ELANTAS,3,62,0,2026-04-20
ELANTAS,6,93,0,2026-04-20
ELANTAS,12,93,0,2026-04-20
ELANTAS,24,93,0,2026-04-20
ELANTAS,36,93,0,2026-04-20
ELCIDIN,3,62,0,2026-04-20
ELCIDIN,6,93,0,2026-04-20
ELCIDIN,12,93,0,2026-04-20
ELCIDIN,24,93,0,2026-04-20
ELCIDIN,36,93,0,2026-04-20
ELDEHSG,3,62,0,2022-04-12
ELDEHSG,6,123,0,2022-04-12
ELDEHSG,12,247,0,2022-04-12
ELDEHSG,24,492,0,2022-04-12
ELDEHSG,36,740,0,2022-04-12
ELECON,3,61,0,2006-09-29
ELECON,6,121,0,2006-09-29
ELECON,12,247,7,2006-09-29
ELECON,24,495,7,2006-09-29
ELECON,36,736,7,2006-09-29
ELECTCAST,3,62,2,2005-01-03
ELECTCAST,6,126,8,2005-01-03
ELECTCAST,12,250,8,2005-01-03
ELECTCAST,24,497,8,2005-01-03
ELECTCAST,36,747,43,2005-01-03
ELECTHERM,3,64,0,2007-08-20
ELECTHERM,6,127,0,2007-08-20
ELECTHERM,12,250,0,2007-08-20
ELECTHERM,24,492,0,2007-08-20
ELECTHERM,36,738,0,2007-08-20
ELGIEQUIP,3,62,0,2005-01-03
ELGIEQUIP,6,126,0,2005-01-03
ELGIEQUIP,12,250,0,2005-01-03
ELGIEQUIP,24,497,0,2005-01-03
ELGIEQUIP,36,747,0,2005-01-03
ELGIRUBCO,3,62,0,2005-01-03
ELGIRUBCO,6,126,0,2005-01-03
ELGIRUBCO,12,250,0,2005-01-03
ELGIRUBCO,24,497,0,2005-01-03
ELGIRUBCO,36,747,0,2005-01-03
ELIN,3,62,0,2022-12-30
ELIN,6,122,12,2022-12-30
ELIN,12,245,66,2022-12-30
ELIN,24,489,151,2022-12-30
ELIN,36,738,161,2022-12-30
ELITECON,3,62,10,2026-04-20
ELITECON,6,93,20,2026-04-20
ELITECON,12,93,20,2026-04-20
ELITECON,24,93,20,2026-04-20
ELITECON,36,93,20,2026-04-20
ELLEN,3,63,44,2025-07-01
ELLEN,6,124,76,2025-07-01
ELLEN,12,214,110,2025-07-01
ELLEN,24,214,110,2025-07-01
ELLEN,36,214,110,2025-07-01
ELM250,3,62,0,2025-09-09
ELM250,6,124,0,2025-09-09
ELM250,12,242,0,2025-09-09
ELM250,24,242,0,2025-09-09
ELM250,36,242,0,2025-09-09
ELPROINTL,3,62,0,2026-04-20
ELPROINTL,6,93,0,2026-04-20
ELPROINTL,12,93,0,2026-04-20
ELPROINTL,24,93,0,2026-04-20
ELPROINTL,36,93,0,2026-04-20
EMAMILTD,3,61,0,2006-08-03
EMAMILTD,6,122,0,2006-08-03
EMAMILTD,12,248,0,2006-08-03
EMAMILTD,24,497,0,2006-08-03
EMAMILTD,36,737,0,2006-08-03
EMAMIPAP,3,62,0,2019-05-31
EMAMIPAP,6,121,0,2019-05-31
EMAMIPAP,12,242,0,2019-05-31
EMAMIPAP,24,490,0,2019-05-31
EMAMIPAP,36,737,4,2019-05-31
EMAMIPAP-BE,3,62,0,2019-05-30
EMAMIPAP-BE,6,121,0,2019-05-30
EMAMIPAP-BE,12,244,0,2019-05-30
EMAMIPAP-BE,24,494,0,2019-05-30
EMAMIPAP-BE,36,742,4,2019-05-30
EMAMIREAL,3,61,0,2015-01-01
EMAMIREAL,6,123,0,2015-01-01
EMAMIREAL,12,247,0,2015-01-01
EMAMIREAL,24,492,0,2015-01-01
EMAMIREAL,36,739,7,2015-01-01
EMBDL,3,61,42,2007-03-23
EMBDL,6,125,106,2007-03-23
EMBDL,12,249,230,2007-03-23
EMBDL,24,491,472,2007-03-23
EMBDL,36,734,715,2007-03-23
EMCURE,3,62,43,2024-07-10
EMCURE,6,124,105,2024-07-10
EMCURE,12,249,230,2024-07-10
EMCURE,24,495,476,2024-07-10
EMCURE,36,535,516,2024-07-10
EMIL,3,63,44,2022-10-17
EMIL,6,122,54,2022-10-17
EMIL,12,248,129,2022-10-17
EMIL,24,492,348,2022-10-17
EMIL,36,741,590,2022-10-17
EMKAY,3,64,0,2006-04-28
EMKAY,6,125,0,2006-04-28
EMKAY,12,248,0,2006-04-28
EMKAY,24,497,0,2006-04-28
EMKAY,36,738,0,2006-04-28
EMMBI,3,61,0,2010-02-24
EMMBI,6,126,0,2010-02-24
EMMBI,12,252,0,2010-02-24
EMMBI,24,498,0,2010-02-24
EMMBI,36,744,0,2010-02-24
EMMBI-BE,3,61,0,2010-02-24
EMMBI-BE,6,126,0,2010-02-24
EMMBI-BE,12,253,0,2010-02-24
EMMBI-BE,24,499,0,2010-02-24
EMMBI-BE,36,747,0,2010-02-24
EMMVEE,3,63,44,2025-11-18
EMMVEE,6,122,103,2025-11-18
EMMVEE,12,197,178,2025-11-18
EMMVEE,24,197,178,2025-11-18
EMMVEE,36,197,178,2025-11-18
EMPOWER,3,62,0,2026-04-20
EMPOWER,6,93,0,2026-04-20
EMPOWER,12,93,0,2026-04-20
EMPOWER,24,93,0,2026-04-20
EMPOWER,36,93,0,2026-04-20
EMSLIMITED,3,61,42,2023-09-21
EMSLIMITED,6,122,103,2023-09-21
EMSLIMITED,12,244,225,2023-09-21
EMSLIMITED,24,492,473,2023-09-21
EMSLIMITED,36,728,686,2023-09-21
EMUDHRA,3,62,15,2022-06-01
EMUDHRA,6,124,42,2022-06-01
EMUDHRA,12,248,54,2022-06-01
EMUDHRA,24,496,240,2022-06-01
EMUDHRA,36,743,487,2022-06-01
EMULTIMQ,3,63,0,2024-11-07
EMULTIMQ,6,121,0,2024-11-07
EMULTIMQ,12,247,0,2024-11-07
EMULTIMQ,24,451,0,2024-11-07
EMULTIMQ,36,451,0,2024-11-07
ENDURANCE,3,63,27,2016-10-19
ENDURANCE,6,123,53,2016-10-19
ENDURANCE,12,248,105,2016-10-19
ENDURANCE,24,495,241,2016-10-19
ENDURANCE,36,738,290,2016-10-19
ENERGY,3,62,0,2025-11-13
ENERGY,6,121,3,2025-11-13
ENERGY,12,122,3,2025-11-13
ENERGY,24,122,3,2025-11-13
ENERGY,36,122,3,2025-11-13
ENERGYDEV,3,63,0,2007-11-02
ENERGYDEV,6,122,0,2007-11-02
ENERGYDEV,12,246,0,2007-11-02
ENERGYDEV,24,486,0,2007-11-02
ENERGYDEV,36,736,0,2007-11-02
ENEXT50,3,63,0,2026-05-25
ENEXT50,6,69,0,2026-05-25
ENEXT50,12,69,0,2026-05-25
ENEXT50,24,69,0,2026-05-25
ENEXT50,36,69,0,2026-05-25
ENGINERSIN,3,62,0,2005-01-03
ENGINERSIN,6,126,0,2005-01-03
ENGINERSIN,12,250,0,2005-01-03
ENGINERSIN,24,497,0,2005-01-03
ENGINERSIN,36,747,0,2005-01-03
ENIFTY,3,63,0,2025-11-27
ENIFTY,6,121,0,2025-11-27
ENIFTY,12,188,0,2025-11-27
ENIFTY,24,188,0,2025-11-27
ENIFTY,36,188,0,2025-11-27
ENIL,3,60,8,2006-02-15
ENIL,6,124,8,2006-02-15
ENIL,12,248,8,2006-02-15
ENIL,24,500,21,2006-02-15
ENIL,36,742,21,2006-02-15
ENRIN,3,63,44,2025-06-19
ENRIN,6,125,106,2025-06-19
ENRIN,12,247,228,2025-06-19
ENRIN,24,301,282,2025-06-19
ENRIN,36,301,282,2025-06-19
ENTERO,3,59,40,2024-02-16
ENTERO,6,120,70,2024-02-16
ENTERO,12,247,177,2024-02-16
ENTERO,24,492,417,2024-02-16
ENTERO,36,629,554,2024-02-16
EPACK,3,60,41,2024-01-30
EPACK,6,121,102,2024-01-30
EPACK,12,247,228,2024-01-30
EPACK,24,494,475,2024-01-30
EPACK,36,642,623,2024-01-30
EPACKPEB,3,60,41,2025-10-01
EPACKPEB,6,120,101,2025-10-01
EPACKPEB,12,149,130,2025-10-01
EPACKPEB,24,149,130,2025-10-01
EPACKPEB,36,149,130,2025-10-01
EPIGRAL,3,60,0,2023-08-31
EPIGRAL,6,121,40,2023-08-31
EPIGRAL,12,241,160,2023-08-31
EPIGRAL,24,487,406,2023-08-31
EPIGRAL,36,733,520,2023-08-31
EPL,3,62,0,2005-01-03
EPL,6,126,0,2005-01-03
EPL,12,250,0,2005-01-03
EPL,24,497,0,2005-01-03
EPL,36,747,0,2005-01-03
EQUAL200,3,60,0,2025-03-17
EQUAL200,6,123,0,2025-03-17
EQUAL200,12,248,0,2025-03-17
EQUAL200,24,364,0,2025-03-17
EQUAL200,36,364,0,2025-03-17
EQUAL50,3,63,0,2025-05-15
EQUAL50,6,122,0,2025-05-15
EQUAL50,12,245,0,2025-05-15
EQUAL50,24,323,0,2025-05-15
EQUAL50,36,323,0,2025-05-15
EQUAL50ADD,3,63,0,2021-11-12
EQUAL50ADD,6,123,0,2021-11-12
EQUAL50ADD,12,247,0,2021-11-12
EQUAL50ADD,24,496,0,2021-11-12
EQUAL50ADD,36,744,0,2021-11-12
EQUIPPP-BE,3,63,0,2021-05-20
EQUIPPP-BE,6,125,0,2021-05-20
EQUIPPP-BE,12,249,0,2021-05-20
EQUIPPP-BE,24,423,0,2021-05-20
EQUIPPP-BE,36,631,0,2021-05-20
EQUITASBNK,3,62,43,2020-11-02
EQUITASBNK,6,122,89,2020-11-02
EQUITASBNK,12,248,128,2020-11-02
EQUITASBNK,24,496,186,2020-11-02
EQUITASBNK,36,744,425,2020-11-02
ERIS,3,63,34,2017-06-29
ERIS,6,124,51,2017-06-29
ERIS,12,249,70,2017-06-29
ERIS,24,492,70,2017-06-29
ERIS,36,736,89,2017-06-29
ESABINDIA,3,62,0,2005-01-03
ESABINDIA,6,126,3,2005-01-03
ESABINDIA,12,250,3,2005-01-03
ESABINDIA,24,497,3,2005-01-03
ESABINDIA,36,747,3,2005-01-03
ESAFSFB,3,60,41,2023-11-10
ESAFSFB,6,119,92,2023-11-10
ESAFSFB,12,244,111,2023-11-10
ESAFSFB,24,490,111,2023-11-10
ESAFSFB,36,616,111,2023-11-10
ESAFSFB-BE,3,62,43,2023-11-10
ESAFSFB-BE,6,122,95,2023-11-10
ESAFSFB-BE,12,248,122,2023-11-10
ESAFSFB-BE,24,494,122,2023-11-10
ESAFSFB-BE,36,699,148,2023-11-10
ESCORTS,3,62,26,2005-01-03
ESCORTS,6,126,38,2005-01-03
ESCORTS,12,250,150,2005-01-03
ESCORTS,24,497,319,2005-01-03
ESCORTS,36,747,467,2005-01-03
ESG,3,60,0,2023-08-29
ESG,6,121,0,2023-08-29
ESG,12,241,0,2023-08-29
ESG,24,488,0,2023-08-29
ESG,36,735,0,2023-08-29
ESILVER,3,62,0,2023-11-24
ESILVER,6,122,0,2023-11-24
ESILVER,12,246,0,2023-11-24
ESILVER,24,494,16,2023-11-24
ESILVER,36,689,105,2023-11-24
ESSARSHPNG,3,63,0,2011-11-15
ESSARSHPNG,6,123,0,2011-11-15
ESSARSHPNG,12,246,0,2011-11-15
ESSARSHPNG,24,494,0,2011-11-15
ESSARSHPNG,36,737,0,2011-11-15
ESSENTIA,3,60,0,2013-08-20
ESSENTIA,6,124,0,2013-08-20
ESSENTIA,12,247,0,2013-08-20
ESSENTIA,24,492,0,2013-08-20
ESSENTIA,36,736,0,2013-08-20
ESTER,3,62,0,2011-06-20
ESTER,6,121,0,2011-06-20
ESTER,12,246,0,2011-06-20
ESTER,24,492,0,2011-06-20
ESTER,36,739,0,2011-06-20
ETERNAL,3,62,43,2021-07-23
ETERNAL,6,125,106,2021-07-23
ETERNAL,12,247,228,2021-07-23
ETERNAL,24,483,464,2021-07-23
ETERNAL,36,720,701,2021-07-23
ETHOSLTD,3,63,17,2022-05-30
ETHOSLTD,6,124,45,2022-05-30
ETHOSLTD,12,248,67,2022-05-30
ETHOSLTD,24,492,260,2022-05-30
ETHOSLTD,36,740,508,2022-05-30
EUREKAFORB,3,60,41,2024-09-11
EUREKAFORB,6,124,105,2024-09-11
EUREKAFORB,12,247,228,2024-09-11
EUREKAFORB,24,489,458,2024-09-11
EUREKAFORB,36,489,458,2024-09-11
EUROBOND,3,62,0,2022-01-07
EUROBOND,6,124,0,2022-01-07
EUROBOND,12,248,0,2022-01-07
EUROBOND,24,493,0,2022-01-07
EUROBOND,36,737,0,2022-01-07
EUROPRATIK,3,62,38,2025-09-23
EUROPRATIK,6,123,56,2025-09-23
EUROPRATIK,12,156,89,2025-09-23
EUROPRATIK,24,156,89,2025-09-23
EUROPRATIK,36,156,89,2025-09-23
EUROTEXIND-BE,3,62,0,2005-01-03
EUROTEXIND-BE,6,126,0,2005-01-03
EUROTEXIND-BE,12,250,0,2005-01-03
EUROTEXIND-BE,24,497,0,2005-01-03
EUROTEXIND-BE,36,747,0,2005-01-03
EVEREADY,3,62,0,2005-01-03
EVEREADY,6,126,38,2005-01-03
EVEREADY,12,250,88,2005-01-03
EVEREADY,24,497,97,2005-01-03
EVEREADY,36,747,97,2005-01-03
EVERESTIND-BE,3,62,0,2005-01-03
EVERESTIND-BE,6,126,0,2005-01-03
EVERESTIND-BE,12,250,0,2005-01-03
EVERESTIND-BE,24,497,0,2005-01-03
EVERESTIND-BE,36,747,0,2005-01-03
EVINDIA,3,61,0,2024-07-16
EVINDIA,6,121,0,2024-07-16
EVINDIA,12,246,0,2024-07-16
EVINDIA,24,491,0,2024-07-16
EVINDIA,36,527,0,2024-07-16
EXCELINDUS,3,62,0,2005-01-03
EXCELINDUS,6,126,0,2005-01-03
EXCELINDUS,12,250,0,2005-01-03
EXCELINDUS,24,497,0,2005-01-03
EXCELINDUS,36,747,0,2005-01-03
EXCELSOFT,3,62,43,2025-11-26
EXCELSOFT,6,113,77,2025-11-26
EXCELSOFT,12,113,77,2025-11-26
EXCELSOFT,24,113,77,2025-11-26
EXCELSOFT,36,113,77,2025-11-26
EXICOM,3,58,39,2024-03-05
EXICOM,6,120,101,2024-03-05
EXICOM,12,247,228,2024-03-05
EXICOM,24,493,344,2024-03-05
EXICOM,36,617,443,2024-03-05
EXIDEIND,3,62,0,2005-01-03
EXIDEIND,6,126,0,2005-01-03
EXIDEIND,12,250,0,2005-01-03
EXIDEIND,24,497,12,2005-01-03
EXIDEIND,36,747,21,2005-01-03
EXPLEOSOL,3,61,42,2009-10-26
EXPLEOSOL,6,120,69,2009-10-26
EXPLEOSOL,12,250,69,2009-10-26
EXPLEOSOL,24,499,69,2009-10-26
EXPLEOSOL,36,745,69,2009-10-26
EXXARO,3,61,32,2021-08-16
EXXARO,6,124,32,2021-08-16
EXXARO,12,248,32,2021-08-16
EXXARO,24,496,32,2021-08-16
EXXARO,36,743,32,2021-08-16
FABTECH,3,62,43,2025-10-07
FABTECH,6,121,67,2025-10-07
FABTECH,12,147,67,2025-10-07
FABTECH,24,147,67,2025-10-07
FABTECH,36,147,67,2025-10-07
FACT,3,62,0,2005-01-03
FACT,6,126,0,2005-01-03
FACT,12,250,0,2005-01-03
FACT,24,497,0,2005-01-03
FACT,36,747,0,2005-01-03
FAIRCHEMOR,3,62,0,2020-12-24
FAIRCHEMOR,6,122,2,2020-12-24
FAIRCHEMOR,12,247,30,2020-12-24
FAIRCHEMOR,24,495,133,2020-12-24
FAIRCHEMOR,36,741,133,2020-12-24
FAIRCHEMOR-BE,3,62,0,2020-12-24
FAIRCHEMOR-BE,6,122,2,2020-12-24
FAIRCHEMOR-BE,12,247,35,2020-12-24
FAIRCHEMOR-BE,24,495,138,2020-12-24
FAIRCHEMOR-BE,36,742,138,2020-12-24
FAZE3Q,3,64,0,2022-11-18
FAZE3Q,6,123,0,2022-11-18
FAZE3Q,12,248,0,2022-11-18
FAZE3Q,24,495,3,2022-11-18
FAZE3Q,36,743,22,2022-11-18
FCL,3,59,0,2015-01-15
FCL,6,123,0,2015-01-15
FCL,12,246,0,2015-01-15
FCL,24,491,0,2015-01-15
FCL,36,739,0,2015-01-15
FCSSOFT,3,61,0,2015-01-01
FCSSOFT,6,123,0,2015-01-01
FCSSOFT,12,247,0,2015-01-01
FCSSOFT,24,492,0,2015-01-01
FCSSOFT,36,645,0,2015-01-01
FDC,3,62,0,2005-01-03
FDC,6,126,0,2005-01-03
FDC,12,250,0,2005-01-03
FDC,24,497,0,2005-01-03
FDC,36,747,0,2005-01-03
FEDDERSHOL,3,62,0,2026-04-20
FEDDERSHOL,6,93,7,2026-04-20
FEDDERSHOL,12,93,7,2026-04-20
FEDDERSHOL,24,93,7,2026-04-20
FEDDERSHOL,36,93,7,2026-04-20
FEDERALBNK,3,62,11,2005-01-03
FEDERALBNK,6,127,11,2005-01-03
FEDERALBNK,12,252,105,2005-01-03
FEDERALBNK,24,502,176,2005-01-03
FEDERALBNK,36,752,274,2005-01-03
FEDFINA,3,62,37,2023-11-30
FEDFINA,6,120,75,2023-11-30
FEDFINA,12,245,82,2023-11-30
FEDFINA,24,493,194,2023-11-30
FEDFINA,36,682,383,2023-11-30
FERMENTA,3,62,2,2026-04-20
FERMENTA,6,93,33,2026-04-20
FERMENTA,12,93,33,2026-04-20
FERMENTA,24,93,33,2026-04-20
FERMENTA,36,93,33,2026-04-20
FIBERWEB,3,60,0,2022-02-16
FIBERWEB,6,123,0,2022-02-16
FIBERWEB,12,249,0,2022-02-16
FIBERWEB,24,494,0,2022-02-16
FIBERWEB,36,741,0,2022-02-16
FIEMIND,3,61,0,2006-10-19
FIEMIND,6,121,0,2006-10-19
FIEMIND,12,248,0,2006-10-19
FIEMIND,24,495,0,2006-10-19
FIEMIND,36,735,0,2006-10-19
FILATEX,3,58,0,2011-08-29
FILATEX,6,120,0,2011-08-29
FILATEX,12,245,0,2011-08-29
FILATEX,24,491,0,2011-08-29
FILATEX,36,738,0,2011-08-29
FILATFASH,3,62,27,2024-05-06
FILATFASH,6,123,59,2024-05-06
FILATFASH,12,244,59,2024-05-06
FILATFASH,24,491,59,2024-05-06
FILATFASH,36,576,59,2024-05-06
FINCABLES,3,62,0,2005-01-03
FINCABLES,6,126,0,2005-01-03
FINCABLES,12,250,0,2005-01-03
FINCABLES,24,497,0,2005-01-03
FINCABLES,36,747,2,2005-01-03
FINEORG,3,61,16,2018-07-02
FINEORG,6,120,16,2018-07-02
FINEORG,12,244,16,2018-07-02
FINEORG,24,489,18,2018-07-02
FINEORG,36,740,206,2018-07-02
FINKURVE,3,61,0,2025-10-01
FINKURVE,6,121,0,2025-10-01
FINKURVE,12,150,0,2025-10-01
FINKURVE,24,150,0,2025-10-01
FINKURVE,36,150,0,2025-10-01
FINOPB,3,63,31,2021-11-12
FINOPB,6,123,31,2021-11-12
FINOPB,12,247,36,2021-11-12
FINOPB,24,495,104,2021-11-12
FINOPB,36,740,222,2021-11-12
FINPIPE,3,62,7,2005-01-03
FINPIPE,6,126,7,2005-01-03
FINPIPE,12,250,16,2005-01-03
FINPIPE,24,497,55,2005-01-03
FINPIPE,36,747,60,2005-01-03
FIRSTCRY,3,63,44,2024-08-13
FIRSTCRY,6,126,107,2024-08-13
FIRSTCRY,12,250,231,2024-08-13
FIRSTCRY,24,496,477,2024-08-13
FIRSTCRY,36,512,493,2024-08-13
FISCHER,3,62,16,2025-07-10
FISCHER,6,124,52,2025-07-10
FISCHER,12,207,66,2025-07-10
FISCHER,24,207,66,2025-07-10
FISCHER,36,207,66,2025-07-10
FIVESTAR,3,64,24,2022-11-21
FIVESTAR,6,123,24,2022-11-21
FIVESTAR,12,248,147,2022-11-21
FIVESTAR,24,492,391,2022-11-21
FIVESTAR,36,741,640,2022-11-21
FLAIR,3,63,44,2023-12-01
FLAIR,6,123,56,2023-12-01
FLAIR,12,247,56,2023-12-01
FLAIR,24,495,71,2023-12-01
FLAIR,36,685,71,2023-12-01
FLEXIADD,3,61,0,2025-10-17
FLEXIADD,6,120,0,2025-10-17
FLEXIADD,12,139,0,2025-10-17
FLEXIADD,24,139,0,2025-10-17
FLEXIADD,36,139,0,2025-10-17
FLEXITUFF,3,60,16,2011-10-19
FLEXITUFF,6,120,16,2011-10-19
FLEXITUFF,12,246,16,2011-10-19
FLEXITUFF,24,491,16,2011-10-19
FLEXITUFF,36,736,16,2011-10-19
FLEXITUFF-BE,3,60,16,2011-10-19
FLEXITUFF-BE,6,120,16,2011-10-19
FLEXITUFF-BE,12,246,16,2011-10-19
FLEXITUFF-BE,24,493,16,2011-10-19
FLEXITUFF-BE,36,736,16,2011-10-19
FLUOROCHEM,3,62,0,2019-10-16
FLUOROCHEM,6,121,0,2019-10-16
FLUOROCHEM,12,249,5,2019-10-16
FLUOROCHEM,24,497,146,2019-10-16
FLUOROCHEM,36,745,393,2019-10-16
FMCGADD,3,63,0,2026-05-22
FMCGADD,6,70,0,2026-05-22
FMCGADD,12,70,0,2026-05-22
FMCGADD,24,70,0,2026-05-22
FMCGADD,36,70,0,2026-05-22
FMGOETZE,3,62,0,2005-01-03
FMGOETZE,6,126,0,2005-01-03
FMGOETZE,12,250,0,2005-01-03
FMGOETZE,24,497,0,2005-01-03
FMGOETZE,36,747,0,2005-01-03
FMNL,3,63,0,2010-12-31
FMNL,6,125,0,2010-12-31
FMNL,12,246,0,2010-12-31
FMNL,24,490,0,2010-12-31
FMNL,36,738,0,2010-12-31
FOCUS,3,61,0,2017-07-27
FOCUS,6,125,0,2017-07-27
FOCUS,12,250,0,2017-07-27
FOCUS,24,492,0,2017-07-27
FOCUS,36,734,0,2017-07-27
FOCUS-BE,3,57,0,2017-04-13
FOCUS-BE,6,93,0,2017-04-13
FOCUS-BE,12,150,0,2017-04-13
FOCUS-BE,24,236,0,2017-04-13
FOCUS-BE,36,372,0,2017-04-13
FOODSIN,3,63,0,2021-11-16
FOODSIN,6,123,0,2021-11-16
FOODSIN,12,248,0,2021-11-16
FOODSIN,24,496,68,2021-11-16
FOODSIN,36,741,108,2021-11-16
FORCEMOT,3,59,0,2019-08-20
FORCEMOT,6,124,25,2019-08-20
FORCEMOT,12,247,46,2019-08-20
FORCEMOT,24,496,142,2019-08-20
FORCEMOT,36,745,255,2019-08-20
FORTIS,3,65,9,2007-05-09
FORTIS,6,128,9,2007-05-09
FORTIS,12,251,36,2007-05-09
FORTIS,24,491,36,2007-05-09
FORTIS,36,736,185,2007-05-09
FOSECOIND,3,62,0,2005-01-03
FOSECOIND,6,126,0,2005-01-03
FOSECOIND,12,250,0,2005-01-03
FOSECOIND,24,497,0,2005-01-03
FOSECOIND,36,747,0,2005-01-03
FRACTAL,3,59,40,2026-02-16
FRACTAL,6,122,103,2026-02-16
FRACTAL,12,135,116,2026-02-16
FRACTAL,24,135,116,2026-02-16
FRACTAL,36,135,116,2026-02-16
FRONTSP,3,62,0,2026-04-20
FRONTSP,6,93,0,2026-04-20
FRONTSP,12,93,0,2026-04-20
FRONTSP,24,93,0,2026-04-20
FRONTSP,36,93,0,2026-04-20
FSL,3,61,31,2007-02-22
FSL,6,125,67,2007-02-22
FSL,12,253,82,2007-02-22
FSL,24,495,96,2007-02-22
FSL,36,735,317,2007-02-22
FUSION,3,59,0,2016-02-22
FUSION,6,122,0,2016-02-22
FUSION,12,122,0,2016-02-22
FUSION,24,122,0,2016-02-22
FUSION,36,122,0,2016-02-22
GABRIEL,3,65,0,2005-04-20
GABRIEL,6,126,0,2005-04-20
GABRIEL,12,247,0,2005-04-20
GABRIEL,24,496,0,2005-04-20
GABRIEL,36,745,0,2005-04-20
GAEL,3,62,0,2005-01-03
GAEL,6,126,0,2005-01-03
GAEL,12,250,0,2005-01-03
GAEL,24,497,0,2005-01-03
GAEL,36,747,0,2005-01-03
GAIL,3,62,43,2005-01-03
GAIL,6,126,102,2005-01-03
GAIL,12,250,211,2005-01-03
GAIL,24,497,405,2005-01-03
GAIL,36,747,590,2005-01-03
GALAPREC,3,62,43,2024-09-09
GALAPREC,6,126,107,2024-09-09
GALAPREC,12,249,122,2024-09-09
GALAPREC,24,493,145,2024-09-09
GALAPREC,36,493,145,2024-09-09
GALAXYSURF,3,60,6,2018-02-08
GALAXYSURF,6,125,6,2018-02-08
GALAXYSURF,12,246,6,2018-02-08
GALAXYSURF,24,491,6,2018-02-08
GALAXYSURF,36,739,61,2018-02-08
GALLANTT,3,61,0,2006-04-04
GALLANTT,6,124,0,2006-04-04
GALLANTT,12,247,0,2006-04-04
GALLANTT,24,498,0,2006-04-04
GALLANTT,36,740,0,2006-04-04
GANDHAR,3,62,43,2023-11-30
GANDHAR,6,120,101,2023-11-30
GANDHAR,12,245,223,2023-11-30
GANDHAR,24,493,263,2023-11-30
GANDHAR,36,682,361,2023-11-30
GANDHITUBE,3,60,0,2007-01-31
GANDHITUBE,6,125,0,2007-01-31
GANDHITUBE,12,252,0,2007-01-31
GANDHITUBE,24,495,0,2007-01-31
GANDHITUBE,36,736,0,2007-01-31
GANECOS,3,61,0,2015-03-09
GANECOS,6,126,0,2015-03-09
GANECOS,12,247,0,2015-03-09
GANECOS,24,493,0,2015-03-09
GANECOS,36,741,0,2015-03-09
GANESHBE,3,62,0,2021-09-16
GANESHBE,6,125,0,2021-09-16
GANESHBE,12,249,0,2021-09-16
GANESHBE,24,497,19,2021-09-16
GANESHBE,36,739,63,2021-09-16
GANESHCP,3,61,14,2025-09-29
GANESHCP,6,122,14,2025-09-29
GANESHCP,12,152,14,2025-09-29
GANESHCP,24,152,14,2025-09-29
GANESHCP,36,152,14,2025-09-29
GANESHHOU,3,62,0,2025-09-10
GANESHHOU,6,123,0,2025-09-10
GANESHHOU,12,165,0,2025-09-10
GANESHHOU,24,165,0,2025-09-10
GANESHHOU,36,165,0,2025-09-10
GANGAFORGE,3,59,0,2018-07-25
GANGAFORGE,6,121,0,2018-07-25
GANGAFORGE,12,243,0,2018-07-25
GANGAFORGE,24,486,0,2018-07-25
GANGAFORGE,36,735,0,2018-07-25
GANGESSECU,3,61,0,2017-07-31
GANGESSECU,6,124,0,2017-07-31
GANGESSECU,12,250,0,2017-07-31
GANGESSECU,24,493,0,2017-07-31
GANGESSECU,36,737,0,2017-07-31
GARFIBRES,3,62,0,2007-04-03
GARFIBRES,6,125,0,2007-04-03
GARFIBRES,12,251,0,2007-04-03
GARFIBRES,24,494,0,2007-04-03
GARFIBRES,36,735,0,2007-04-03
GARUDA,3,62,27,2024-10-15
GARUDA,6,123,83,2024-10-15
GARUDA,12,249,183,2024-10-15
GARUDA,24,468,384,2024-10-15
GARUDA,36,468,384,2024-10-15
GATECH,3,60,0,2016-07-25
GATECH,6,123,0,2016-07-25
GATECH,12,247,86,2016-07-25
GATECH,24,496,86,2016-07-25
GATECH,36,714,86,2016-07-25
GATECH-BE,3,60,0,2016-07-25
GATECH-BE,6,123,0,2016-07-25
GATECH-BE,12,247,86,2016-07-25
GATECH-BE,24,496,86,2016-07-25
GATECH-BE,36,714,86,2016-07-25
GATECHDVR,3,53,0,2023-07-07
GATECHDVR,6,114,0,2023-07-07
GATECHDVR,12,233,0,2023-07-07
GATECHDVR,24,478,0,2023-07-07
GATECHDVR,36,689,0,2023-07-07
GATECHDVR-BE,3,61,0,2017-10-10
GATECHDVR-BE,6,118,0,2017-10-10
GATECHDVR-BE,12,231,0,2017-10-10
GATECHDVR-BE,24,472,0,2017-10-10
GATECHDVR-BE,36,722,0,2017-10-10
GATEWAY,3,62,8,2022-03-22
GATEWAY,6,124,8,2022-03-22
GATEWAY,12,250,8,2022-03-22
GATEWAY,24,495,148,2022-03-22
GATEWAY,36,742,328,2022-03-22
GAUDIUMIVF-BE,3,58,25,2026-02-27
GAUDIUMIVF-BE,6,122,25,2026-02-27
GAUDIUMIVF-BE,12,124,25,2026-02-27
GAUDIUMIVF-BE,24,124,25,2026-02-27
GAUDIUMIVF-BE,36,124,25,2026-02-27
GAYAHWS,3,61,0,2018-06-28
GAYAHWS,6,121,0,2018-06-28
GAYAHWS,12,243,0,2018-06-28
