symbol,months,n_young,n_young_liq,first
AAATECH,6,101,0,2020-10-13
AAATECH,12,192,0,2020-10-13
AAATECH,24,367,0,2020-10-13
AAATECH,36,602,0,2020-10-13
AADHARHFC,3,63,44,2024-05-15
AADHARHFC,6,126,107,2024-05-15
AADHARHFC,12,248,229,2024-05-15
AADHARHFC,24,496,477,2024-05-15
AADHARHFC,36,574,555,2024-05-15
AAKASH,3,65,0,2018-05-15
AAKASH,6,123,0,2018-05-15
AAKASH,12,244,0,2018-05-15
AAKASH,24,488,0,2018-05-15
AAKASH,36,737,0,2018-05-15
AAREYDRUGS,3,61,0,2021-08-06
AAREYDRUGS,6,124,0,2021-08-06
AAREYDRUGS,12,249,0,2021-08-06
AAREYDRUGS,24,495,0,2021-08-06
AAREYDRUGS,36,738,0,2021-08-06
AARNAV-BE,3,59,0,2026-02-25
AARNAV-BE,6,122,0,2026-02-25
AARNAV-BE,12,126,0,2026-02-25
AARNAV-BE,24,126,0,2026-02-25
AARNAV-BE,36,126,0,2026-02-25
AARON,3,60,0,2018-09-18
AARON,6,122,0,2018-09-18
AARON,12,242,0,2018-09-18
AARON,24,490,0,2018-09-18
AARON,36,737,0,2018-09-18
AARTECH,3,62,0,2023-07-10
AARTECH,6,123,0,2023-07-10
AARTECH,12,244,0,2023-07-10
AARTECH,24,493,0,2023-07-10
AARTECH,36,701,0,2023-07-10
AARTECH-BE,3,62,0,2023-07-10
AARTECH-BE,6,124,0,2023-07-10
AARTECH-BE,12,248,0,2023-07-10
AARTECH-BE,24,497,0,2023-07-10
AARTECH-BE,36,743,0,2023-07-10
AARTIDRUGS,3,62,0,2005-01-03
AARTIDRUGS,6,126,0,2005-01-03
AARTIDRUGS,12,250,0,2005-01-03
AARTIDRUGS,24,497,0,2005-01-03
AARTIDRUGS,36,747,0,2005-01-03
AARTIIND,3,62,0,2005-01-03
AARTIIND,6,126,0,2005-01-03
AARTIIND,12,250,0,2005-01-03
AARTIIND,24,497,0,2005-01-03
AARTIIND,36,747,0,2005-01-03
AARTIPHARM,3,59,26,2023-01-30
AARTIPHARM,6,123,73,2023-01-30
AARTIPHARM,12,245,174,2023-01-30
AARTIPHARM,24,492,421,2023-01-30
AARTIPHARM,36,739,668,2023-01-30
AARTISURF,3,64,0,2020-07-14
AARTISURF,6,127,2,2020-07-14
AARTISURF,12,251,2,2020-07-14
AARTISURF,24,500,13,2020-07-14
AARTISURF,36,747,13,2020-07-14
AARTISURF-BE,3,64,0,2020-07-14
AARTISURF-BE,6,127,2,2020-07-14
AARTISURF-BE,12,251,2,2020-07-14
AARTISURF-BE,24,500,13,2020-07-14
AARTISURF-BE,36,747,13,2020-07-14
AARVI,3,63,0,2017-10-06
AARVI,6,123,0,2017-10-06
AARVI,12,247,0,2017-10-06
AARVI,24,489,0,2017-10-06
AARVI,36,736,0,2017-10-06
AASTHA,3,41,22,2026-07-06
AASTHA,6,41,22,2026-07-06
