tag,cagr,cagr_lo,cagr_hi,dd,calmar,tpy,win,mean,note
cost 25bps (headline),31.03,28.82,33.44,-20.88,1.499,32.6,49.0,5.39,
cost 40bps,28.77,26.83,30.02,-22.32,1.284,32.7,48.7,5.32,(10 seeds)
cost 60bps,25.76,24.15,27.75,-23.93,1.067,32.6,48.5,5.28,(10 seeds)
gate ON,25.74,24.77,27.02,-18.73,1.354,27.7,48.0,5.27,
fill at signal-day CLOSE,16.98,15.1,19.01,-32.67,0.518,31.9,40.7,3.25,
REAL signal (close fill),16.98,15.1,19.01,-32.67,0.518,31.9,40.7,3.25,
"NULL random young+liquid, date-matched",15.25,13.82,16.3,-36.3,0.42,42.6,41.7,2.29,
