symbol,date,prev,now,ratio
ABSLLIQUID,2023-03-16,3.85,1000.01,259.74285714285713
ARIHANT,2026-04-20,39.65,907.55,22.8890290037831
CCAVENUE,2018-09-28,44.05,12.86,0.2919409761634506
CCCL,2024-09-03,1.5,11.44,7.626666666666666
COHANCE,2020-03-09,0.3,337.05,1123.5
DCMSRIND,2025-12-26,172.16,54.52,0.316682156133829
DELHIVERY,2022-05-24,5.75,536.35,93.27826086956522
DIACABS,2023-09-18,19.5,2.33,0.11948717948717949
FUSION,2022-11-15,3.24,314.5,97.0679012345679
GILT5YBEES,2021-04-08,10.0,47.7,4.7700000000000005
GLOBE,2021-08-20,2.76,8.64,3.1304347826086962
GOLDETF,2015-12-31,3.05,36.9,12.098360655737705
GOYALALUM,2022-11-04,1.5,143.05,95.36666666666667
GVPTECH,2022-09-22,6.67,36.55,5.479760119940029
HARDWYN,2022-06-21,80.84,5.99,0.07409698169223157
HEALTHADD,2026-05-18,158.41,15.9,0.10037245123413926
INFIBEAM,2018-09-28,41.45,12.09,0.2916767189384801
IRISDOREME,2018-11-16,8.72,2.32,0.2660550458715596
JLHL,2026-05-18,1326.5,267.6,0.20173388616660387
KINGFA,2016-11-15,268.78,877.94,3.2663888682193623
KRISHANA,2026-05-18,669.65,133.1,0.19876054655417008
KRITI,2021-11-01,7.67,118.29,15.422425032594525
LATENTVIEW,2021-11-23,65.06,488.75,7.512296341838303
LATTEYS,2018-06-20,25.0,5.3,0.212
LEMERITE,2026-05-18,470.05,92.25,0.19625571747686416
LIQUID1,2023-02-01,30.95,999.99,32.309854604200325
LIQUIDIETF,2018-09-26,11.0,1000.0,90.9090909090909
MAZDOCK,2020-10-12,0.0,86.0,86000000000.0
MOLOWVOL,2022-03-30,3.2,22.45,7.015624999999999
MOM30IETF,2022-08-12,186.62,18.89,0.1012217340049298
MWL,2026-05-18,355.1,36.55,0.10292875246409461
PARASPETRO,2022-12-23,0.1,1.5,15.0
POCL,2023-03-06,30.17,167.16,5.540603248259861
PVP,2021-07-22,1.7,5.75,3.3823529411764706
RAINBOW,2022-05-10,0.75,450.2,600.2666666666667
ROSSELLIND,2024-09-20,621.65,170.85,0.2748331054451862
SEJALLTD,2021-12-13,1010.44,13.65,0.01350896639087922
SHANKARA,2025-09-24,990.5,242.25,0.24457344775365977
SHEKHAWATI,2024-09-10,9.0,86.43,9.603333333333333
SIGIND,2015-03-13,9.93,109.0,10.976837865055389
TEMBO,2026-05-18,576.1,56.2,0.09755250824509634
UEL,2024-05-27,14.6,53.65,3.6746575342465753
