,IPO,OA,TN,TN+OA 50-50,TN+OA+IPO 45/45/10,TN+OA+IPO 40/40/20
2006,-11.41,-12.47,-11.55,-3.82,-3.7,-3.88
2007,-12.13,-13.42,-15.56,-7.11,-6.58,-6.07
2008,-12.47,-14.91,-19.61,-2.64,-2.15,-1.66
2009,-3.77,-11.22,-9.93,-3.96,-3.47,-3.0
2010,-8.95,-9.08,-15.36,-3.85,-2.71,-2.67
2011,-6.91,-11.32,-13.93,-4.53,-3.63,-3.36
2012,-3.93,-7.84,-6.79,-4.7,-4.18,-3.67
2013,0.0,-7.5,-10.82,-1.87,-1.64,-1.42
2014,0.0,-9.99,-11.94,-4.94,-4.4,-3.87
2015,-6.68,-10.9,-12.38,-7.05,-6.22,-5.39
2016,-9.27,-11.73,-6.25,-1.91,-1.7,-1.49
2017,-7.51,-17.15,-8.52,-0.5,-0.37,-0.27
2018,-18.28,-18.54,-22.67,-11.26,-10.61,-9.82
2019,-8.04,-9.2,-8.57,-6.44,-5.84,-5.25
2020,-7.29,-11.54,-6.42,-1.98,-1.75,-2.14
2021,-12.22,-7.63,-12.48,0.0,0.0,0.0
2022,-15.1,-18.81,-9.13,-9.07,-8.86,-8.75
2023,-16.29,-11.31,-8.97,-1.7,-2.37,-3.16
2024,-13.75,-12.02,-18.17,-8.71,-7.67,-6.78
2025,-20.17,-19.0,-10.76,-4.05,-4.16,-4.54
2026,-9.24,-21.76,-6.23,-5.45,-4.2,-3.04
