tag,cagr,cagr_lo,cagr_hi,dd,calmar,tpy,win,mean,note
cost 25bps (headline),35.99,32.4,42.29,-33.34,1.079,61.7,44.0,3.69,
cost 40bps,31.63,28.56,33.98,-36.27,0.878,61.7,43.9,3.68,(10 seeds)
cost 60bps,26.67,23.67,28.58,-39.35,0.686,61.6,44.0,3.69,(10 seeds)
gate ON,31.75,29.35,34.18,-27.92,1.134,49.4,45.2,4.01,
fill at signal-day CLOSE,13.44,9.28,16.83,-48.91,0.256,61.2,37.3,1.87,
REAL signal (close fill),13.44,9.28,16.83,-48.91,0.256,61.2,37.3,1.87,
"NULL random young+liquid, date-matched",6.74,3.53,9.66,-46.2,0.145,96.2,39.3,0.89,
