symbol,last_close,peak,from_peak,first,tot
SPECTRUM,1444.3,2445.1,-40.93084127438551,60.26,2296.7806173249255
REGAAL,85.95,131.58,-34.67852257181943,131.58,-34.67852257181943
ZEELEARN,5.9,49.8,-88.15261044176707,19.47,-69.6969696969697
CHEMCON,163.63,578.96,-71.73725300538898,578.96,-71.73725300538898
GANESHCP,195.77,302.95,-35.37877537547449,291.79,-32.907227800815654
LOTUSDEV,138.9,209.77,-33.784621251847256,195.67,-29.013134358869518
KALPATARU,330.95,432.95,-23.55930245986835,432.95,-23.55930245986835
OCCLLTD,92.51,151.17,-38.803995501752986,92.13,0.412460653424529
MGEL,13.57,24.03,-43.52892218060758,3.27,314.9847094801223
MBEL,309.2,514.25,-39.873602333495384,408.65,-24.33622904686161
ESENSEX,75.18,87.59,-14.168284050690716,87.59,-14.168284050690716
WAKEFIT,143.25,215.8,-33.61909175162188,192.29,-25.503146289458623
EMAMIPAP,77.93,195.75,-60.18901660280971,142.37,-45.26234459506918
MOPSE,106.96,109.14,-1.9974344878138206,99.28,7.735697018533427
PANACHE,337.8,466.7,-27.619455753160484,54.78,516.6484118291347
ABMINTLLTD,46.01,243.12,-81.07518920697598,19.33,138.02379720641488
VETO,109.4,249.64,-56.1768947284089,72.87,50.13036915054205
GTECJAINX,19.61,134.6,-85.43090638930163,70.0,-71.98571428571428
UNIVPHOTO,282.28,938.07,-69.90842900849617,59.11,377.55032989341896
RHETAN,26.61,29.7,-10.404040404040405,21.29,24.988257397839362
EXCELSOFT,88.62,125.97,-29.649916646820664,125.97,-29.649916646820664
UNIDT,216.59,568.71,-61.915563292363416,249.73,-13.270331958515191
CANHLIFE,135.43,153.87,-11.984142457919022,111.42,21.549093520014374
TIRUPATIFL,37.67,72.88,-48.31229418221734,2.43,1450.2057613168724
CHEMBONDCH,191.0,217.18,-12.054516990514784,177.24,7.763484540735721
SADBHIN,2.82,152.28,-98.14814814814815,104.96,-97.31326219512195
TRANSWORLD,150.51,468.68,-67.88640436971922,350.68,-57.08052925744269
KRONOX,131.55,220.73,-40.40230145426539,158.33,-16.914040295585163
EBGNG,419.15,453.25,-7.523441809156095,333.39,25.723626983412817
SMARTWORKS,437.4,606.65,-27.89911810764032,445.05,-1.7189079878665359
PPL,186.73,639.32,-70.79240442970656,92.76,101.30444156964207
UTLSOLAR,274.5,305.94,-10.276524808786036,208.44,31.692573402417956
DBEIL,77.3,203.06,-61.93243376341968,160.96,-51.97564612326045
BRIGHOTEL,60.93,90.83,-32.91863921611802,85.32,-28.586497890295348
ARROWGREEN,482.95,1078.32,-55.21273833370428,393.4,22.76309100152516
PRITIKAUTO,13.9,52.0,-73.26923076923077,18.15,-23.4159779614325
MAHESHWARI,52.22,152.09,-65.66506673680058,40.5,28.938271604938272
ASAHISONG,241.12,569.14,-57.63432547352145,74.02,225.74979735206702
GROWWRLTY,8.49,10.85,-21.751152073732715,9.94,-14.587525150905423
GROWWPOWER,12.04,12.52,-3.833865814696491,9.91,21.49344096871846
BYKE,48.6,210.64,-76.92745917204708,51.66,-5.923344947735187
COFFEEDAY,24.37,359.55,-93.22208315950493,270.45,-90.98909225365132
CAPILLARY,526.45,732.15,-28.095335655261888,606.5,-13.198680956306674
AKSHARCHEM,198.5,885.05,-77.57188859386474,686.09,-71.0679356935679
BMWVENTLTD,61.91,72.31,-14.382519706817876,72.31,-14.382519706817876
AARTECH,40.09,100.15,-59.9700449326011,38.8,3.3247422680412475
ORBTEXP,160.19,278.45,-42.47082061411385,45.3,253.62030905077268
FISCHER,34.87,117.71,-70.3763486534704,77.58,-55.05284867233824
KAVDEFENCE,73.03,155.12,-52.92031975244972,48.37,50.98201364482118
UMAEXPORTS,30.91,141.33,-78.12920116040473,79.8,-61.265664160401
PROSTARM,140.27,239.61,-41.45903760277116,126.0,11.325396825396838
GROWWSLVR,25.47,35.72,-28.695408734602466,9.79,160.16343207354447
BLUSPRING,67.94,94.95,-28.446550816219062,84.55,-19.645180366646954
ARFIN,91.48,99.77,-8.30911095519694,38.33,138.66423167231937
PRUDMOULI,14.84,75.83,-80.42990900698932,29.9,-50.367892976588635
MOENERGY,39.93,41.21,-3.1060422227614737,35.53,12.383900928792556
UCAL,103.72,235.3,-55.92010199745007,140.38,-26.114831172531694
SIGIND,49.19,641.48,-92.33179522354556,22.44,119.2067736185383
VALIANTORG,296.6,1850.65,-83.97319860589522,1462.14,-79.71466480637969
CPEDU,186.07,328.13,-43.29381647517753,233.41,-20.28190737329163
