tag,cagr,cagr_lo,cagr_hi,dd,calmar,tpy,win,mean,note
cost 25bps (headline),24.1,22.97,24.87,-13.8,1.744,19.4,55.2,6.53,
cost 40bps,23.02,22.42,23.69,-14.21,1.62,19.5,55.3,6.57,(10 seeds)
cost 60bps,21.46,20.8,22.03,-14.76,1.432,19.5,55.2,6.57,(10 seeds)
gate ON,20.72,19.81,21.77,-14.16,1.474,17.0,54.0,6.41,
fill at signal-day CLOSE,14.03,13.03,15.33,-20.25,0.705,19.1,45.5,3.8,
REAL signal (close fill),14.03,13.03,15.33,-20.25,0.705,19.1,45.5,3.8,
"NULL random young+liquid, date-matched",8.2,8.01,8.4,-28.63,0.285,23.3,39.6,1.72,
