label,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,fill_close,n_signals,w1_cagr,w1_cagr_lo,w1_cagr_hi,w1_cagr_worst,w1_dd,w1_dd_worst,w1_calmar,w1_n,w1_tpy,w1_win,w1_mean,w1_netexp,w1_avg_win,w1_avg_loss,w1_hold,w1_inv,w1_streak,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_cagr_worst,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,secs
g1b_a6_L25_d30_s8_t50_notp_n5,6,25,25,0.3,off,70.0,,close,0.08,50,,5,0.3,,pct,0.0025,False,False,1541,42.21,32.71,52.82,32.71,-34.38,-38.43,1.228,95,15.8,42.8,10.541,10.041,32.61,-5.85,52.0,74.2,9,22.27,21.55,24.68,21.55,-36.45,-39.11,0.611,204,9.9,48.0,9.138,8.638,25.79,-5.99,57.0,49.5,10,1.8
g1b_a6_L25_d30_s8_t50_notp_n8,6,25,25,0.3,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,1541,37.41,34.03,45.81,34.03,-29.96,-36.37,1.249,143,23.9,46.4,9.356,8.856,28.01,-5.89,53.0,72.3,11,22.24,21.07,24.86,21.07,-33.61,-36.27,0.662,299,14.5,47.9,9.546,9.046,26.28,-5.94,58.0,46.9,12,2.4
g1b_a6_L25_d30_s8_t50_notp_n10,6,25,25,0.3,off,70.0,,close,0.08,50,,10,0.15,,pct,0.0025,False,False,1541,45.83,39.27,48.16,39.27,-27.61,-28.03,1.66,182,30.4,45.6,11.601,11.101,32.1,-5.83,52.0,73.0,12,24.61,22.84,27.11,22.84,-36.13,-37.73,0.681,368,17.8,47.5,10.806,10.306,29.32,-5.91,58.0,46.3,12,3.0
g1b_a6_L25_d30_s8_t50_notp_n16,6,25,25,0.3,off,70.0,,close,0.08,50,,16,0.0625,,pct,0.0025,False,False,1541,38.69,36.61,40.91,36.61,-25.26,-26.42,1.531,387,64.6,44.0,11.186,10.686,33.04,-6.1,54.0,67.4,18,20.04,19.69,20.38,19.69,-29.27,-29.99,0.685,705,34.1,46.4,10.439,9.939,29.62,-6.1,58.0,38.3,18,3.8
g1b_a6_L25_d30_s8_t50_tp25_n5,6,25,25,0.3,off,70.0,,close,0.08,50,0.25,5,0.3,,pct,0.0025,False,False,1541,45.21,37.31,57.78,37.31,-33.44,-38.37,1.352,164,27.4,45.9,6.487,5.987,21.48,-6.17,30.0,68.9,11,31.36,30.33,34.04,30.33,-33.77,-38.39,0.928,323,15.7,49.5,7.361,6.861,21.02,-6.04,34.0,44.1,12,1.8
g1b_a6_L25_d30_s8_t50_tp25_n8,6,25,25,0.3,off,70.0,,close,0.08,50,0.25,8,0.1875,,pct,0.0025,False,False,1541,43.73,39.78,50.66,39.78,-28.28,-31.04,1.547,257,42.8,45.2,6.252,5.752,21.36,-6.09,30.0,67.7,16,29.59,27.41,31.42,27.41,-27.57,-29.36,1.073,492,23.8,48.8,7.167,6.667,21.2,-6.17,34.0,42.0,15,2.1
g1b_a6_L25_d30_s8_t50_tp25_n10,6,25,25,0.3,off,70.0,,close,0.08,50,0.25,10,0.15,,pct,0.0025,False,False,1541,39.8,36.86,47.13,36.86,-26.96,-29.37,1.476,309,51.5,44.3,5.931,5.431,21.36,-6.15,30.0,64.6,18,27.27,26.21,29.29,26.21,-27.26,-29.99,1.0,576,27.9,49.0,7.003,6.503,20.78,-6.12,34.0,39.4,18,2.5
g1b_a6_L25_d30_s8_t50_tp25_n16,6,25,25,0.3,off,70.0,,close,0.08,50,0.25,16,0.0625,,pct,0.0025,False,False,1541,29.69,28.12,33.62,28.12,-19.09,-21.33,1.556,621,103.6,43.4,5.164,4.664,20.06,-6.28,31.0,56.1,20,19.48,18.76,20.12,18.76,-19.24,-20.58,1.013,1041,50.4,46.9,6.202,5.702,20.4,-6.27,34.0,30.2,20,4.4
g1b_a6_L25_d30_s8_t150_notp_n5,6,25,25,0.3,off,70.0,,close,0.08,150,,5,0.3,,pct,0.0025,False,False,1541,20.57,16.19,24.27,16.19,-40.48,-45.22,0.508,48,8.0,39.6,11.924,11.424,42.73,-9.04,110.0,80.9,7,13.07,8.86,13.35,8.86,-45.91,-59.1,0.285,91,4.4,37.9,12.375,11.875,46.87,-9.17,143.0,57.6,10,2.2
g1b_a6_L25_d30_s8_t150_notp_n8,6,25,25,0.3,off,70.0,,close,0.08,150,,8,0.1875,,pct,0.0025,False,False,1541,17.75,14.72,21.11,14.72,-40.62,-40.62,0.437,73,12.3,34.7,9.447,8.947,44.3,-8.77,108.0,79.5,9,14.8,13.78,15.76,13.78,-41.31,-41.31,0.358,142,6.9,37.9,13.672,13.172,50.76,-9.36,143.0,56.7,14,2.2
g1b_a6_L25_d30_s8_t150_notp_n10,6,25,25,0.3,off,70.0,,close,0.08,150,,10,0.15,,pct,0.0025,False,False,1541,21.64,19.35,26.95,19.35,-35.35,-35.35,0.612,91,15.2,38.8,11.465,10.965,44.29,-8.69,113.0,81.8,11,15.54,14.55,17.35,14.55,-41.47,-41.47,0.375,179,8.7,39.0,14.062,13.562,50.28,-8.98,142.0,56.9,17,2.7
g1b_a6_L25_d30_s8_t150_notp_n16,6,25,25,0.3,off,70.0,,close,0.08,150,,16,0.0625,,pct,0.0025,False,False,1541,21.87,19.83,22.91,19.83,-28.73,-29.45,0.761,198,33.1,41.8,12.838,12.338,42.92,-9.19,123.0,80.0,16,13.54,12.94,14.81,12.94,-38.77,-38.77,0.349,395,19.1,37.6,12.198,11.698,47.71,-9.19,137.0,51.6,29,4.2
g1b_a6_L25_d30_s8_t150_tp25_n5,6,25,25,0.3,off,70.0,,close,0.08,150,0.25,5,0.3,,pct,0.0025,False,False,1541,32.31,25.99,40.45,25.99,-38.79,-41.77,0.833,111,18.5,46.0,7.289,6.789,26.54,-8.75,48.0,74.8,13,19.51,18.26,21.9,18.26,-36.69,-44.14,0.532,230,11.1,46.1,7.0,6.5,25.98,-9.04,54.0,50.2,13,1.9
g1b_a6_L25_d30_s8_t150_tp25_n8,6,25,25,0.3,off,70.0,,close,0.08,150,0.25,8,0.1875,,pct,0.0025,False,False,1541,33.9,31.37,40.28,31.37,-31.85,-35.86,1.065,176,29.3,45.3,7.268,6.768,26.87,-8.81,49.0,74.2,14,21.22,19.77,22.54,19.77,-32.47,-38.85,0.653,358,17.3,46.0,7.304,6.804,26.45,-8.96,54.0,48.6,14,2.7
g1b_a6_L25_d30_s8_t150_tp25_n10,6,25,25,0.3,off,70.0,,close,0.08,150,0.25,10,0.15,,pct,0.0025,False,False,1541,30.67,23.94,34.36,23.94,-31.71,-34.84,0.967,212,35.3,44.7,6.956,6.456,26.48,-8.8,49.0,72.2,18,21.21,19.63,23.13,19.63,-31.37,-38.1,0.676,425,20.6,46.7,7.602,7.102,26.54,-8.89,54.0,46.1,18,2.9
g1b_a6_L25_d30_s8_t150_tp25_n16,6,25,25,0.3,off,70.0,,close,0.08,150,0.25,16,0.0625,,pct,0.0025,False,False,1541,25.46,23.88,27.58,23.88,-27.29,-28.1,0.933,457,76.2,45.6,6.436,5.936,24.93,-9.13,53.0,69.2,23,18.13,17.74,18.69,17.74,-26.56,-28.25,0.683,835,40.4,46.9,7.389,6.889,25.82,-8.87,55.0,39.0,23,4.6
g1b_a6_L25_d30_s10_t20_notp_n5,6,25,25,0.3,off,70.0,,close,0.1,20,,5,0.3,,pct,0.0025,False,False,1541,45.44,40.11,48.92,40.11,-35.85,-40.07,1.267,202,33.7,42.2,5.29,4.79,18.56,-4.44,22.0,65.7,10,31.04,28.91,32.57,28.91,-32.6,-39.02,0.952,372,18.0,49.4,6.452,5.952,17.3,-4.28,26.0,40.0,10,1.8
g1b_a6_L25_d30_s10_t20_notp_n8,6,25,25,0.3,off,70.0,,close,0.1,20,,8,0.1875,,pct,0.0025,False,False,1541,48.14,42.02,53.21,42.02,-22.71,-23.89,2.12,297,49.6,43.9,5.764,5.264,18.93,-4.46,23.0,61.9,13,28.72,27.28,30.08,27.28,-24.3,-29.19,1.182,540,26.1,50.2,6.501,6.001,17.08,-4.18,26.0,36.8,13,2.4
g1b_a6_L25_d30_s10_t20_notp_n10,6,25,25,0.3,off,70.0,,close,0.1,20,,10,0.15,,pct,0.0025,False,False,1541,46.14,40.1,49.23,40.1,-21.56,-23.07,2.14,360,60.1,44.7,5.62,5.12,17.98,-4.47,23.0,60.3,14,26.06,24.82,27.06,24.82,-22.6,-29.9,1.153,644,31.2,49.4,6.004,5.504,16.51,-4.22,25.0,34.8,14,2.4
g1b_a6_L25_d30_s10_t20_notp_n16,6,25,25,0.3,off,70.0,,close,0.1,20,,16,0.0625,,pct,0.0025,False,False,1541,30.11,29.0,31.21,29.0,-16.18,-16.65,1.861,688,114.8,44.8,4.619,4.119,15.78,-4.39,22.0,47.4,18,17.45,17.25,17.95,17.25,-21.31,-23.32,0.819,1126,54.5,47.6,5.116,4.616,15.34,-4.19,25.0,25.1,18,3.7
g1b_a6_L25_d30_s10_t20_tp25_n5,6,25,25,0.3,off,70.0,,close,0.1,20,0.25,5,0.3,,pct,0.0025,False,False,1541,42.91,40.38,49.99,40.38,-27.42,-28.4,1.565,242,40.3,42.8,4.13,3.63,15.81,-4.49,18.0,60.1,10,32.32,30.96,34.35,30.96,-28.24,-30.18,1.145,453,21.9,48.2,5.35,4.85,15.65,-4.26,19.0,35.5,11,2.1
g1b_a6_L25_d30_s10_t20_tp25_n8,6,25,25,0.3,off,70.0,,close,0.1,20,0.25,8,0.1875,,pct,0.0025,False,False,1541,44.7,41.32,51.53,41.32,-21.2,-22.74,2.109,373,62.2,44.6,4.335,3.835,15.36,-4.44,18.0,58.0,13,31.01,28.78,32.3,28.78,-22.31,-24.0,1.39,673,32.6,48.9,5.376,4.876,15.41,-4.18,19.0,32.8,13,2.7
g1b_a6_L25_d30_s10_t20_tp25_n10,6,25,25,0.3,off,70.0,,close,0.1,20,0.25,10,0.15,,pct,0.0025,False,False,1541,39.72,36.61,44.07,36.61,-19.25,-20.69,2.063,432,72.1,43.7,4.157,3.657,15.2,-4.39,18.0,53.4,15,28.15,26.59,29.23,26.59,-19.6,-21.53,1.436,765,37.0,48.4,5.295,4.795,15.35,-4.18,19.0,29.9,15,2.3
g1b_a6_L25_d30_s10_t20_tp25_n16,6,25,25,0.3,off,70.0,,close,0.1,20,0.25,16,0.0625,,pct,0.0025,False,False,1541,29.75,28.97,30.72,28.97,-12.49,-13.06,2.381,769,128.2,44.5,4.063,3.563,14.49,-4.3,18.0,40.1,17,19.55,19.13,19.87,19.13,-12.92,-13.51,1.513,1256,60.8,47.9,4.996,4.496,14.98,-4.17,19.0,20.5,17,3.8
g1b_a6_L25_d30_s10_t30_notp_n5,6,25,25,0.3,off,70.0,,close,0.1,30,,5,0.3,,pct,0.0025,False,False,1541,48.54,40.09,54.98,40.09,-33.36,-50.32,1.455,138,23.0,45.8,8.068,7.568,23.85,-5.56,35.0,70.5,6,28.92,25.32,31.03,25.32,-36.23,-47.39,0.798,272,13.2,51.6,8.271,7.771,21.0,-5.28,38.0,44.3,7,1.9
g1b_a6_L25_d30_s10_t30_notp_n8,6,25,25,0.3,off,70.0,,close,0.1,30,,8,0.1875,,pct,0.0025,False,False,1541,40.28,34.38,43.45,34.38,-29.86,-41.72,1.349,213,35.6,46.0,6.845,6.345,21.68,-5.86,34.0,67.4,11,27.12,24.84,28.45,24.84,-35.1,-44.44,0.773,412,20.0,51.8,8.094,7.594,20.22,-5.17,38.0,41.7,11,2.5
g1b_a6_L25_d30_s10_t30_notp_n10,6,25,25,0.3,off,70.0,,close,0.1,30,,10,0.15,,pct,0.0025,False,False,1541,39.15,33.77,48.38,33.77,-29.23,-43.13,1.34,272,45.3,46.9,6.561,6.061,20.74,-5.73,33.0,67.3,14,24.35,23.09,26.2,23.09,-33.3,-43.7,0.731,510,24.7,50.7,7.205,6.705,19.36,-5.19,37.0,40.2,14,2.7
g1b_a6_L25_d30_s10_t30_notp_n16,6,25,25,0.3,off,70.0,,close,0.1,30,,16,0.0625,,pct,0.0025,False,False,1541,29.23,27.69,30.88,27.69,-20.88,-22.09,1.4,562,93.7,45.6,5.701,5.201,19.05,-5.57,32.0,57.4,17,17.44,16.83,17.61,16.83,-21.29,-23.78,0.819,957,46.3,47.8,6.143,5.643,18.38,-5.11,36.0,31.4,18,4.7
g1b_a6_L25_d30_s10_t30_tp25_n5,6,25,25,0.3,off,70.0,,close,0.1,30,0.25,5,0.3,,pct,0.0025,False,False,1541,49.78,41.23,62.47,41.23,-30.19,-47.09,1.649,196,32.8,47.0,5.819,5.319,18.92,-5.58,24.0,66.0,10,34.45,30.61,37.13,30.61,-31.54,-46.91,1.092,375,18.1,50.4,6.821,6.321,18.8,-5.36,26.0,40.0,10,2.4
g1b_a6_L25_d30_s10_t30_tp25_n8,6,25,25,0.3,off,70.0,,close,0.1,30,0.25,8,0.1875,,pct,0.0025,False,False,1541,46.46,42.54,52.89,42.54,-27.75,-36.1,1.674,305,50.9,46.9,5.452,4.952,18.16,-5.64,24.0,64.9,16,31.77,29.53,34.49,29.53,-27.73,-36.25,1.146,567,27.4,50.3,6.57,6.07,18.38,-5.35,26.0,37.7,16,2.8
g1b_a6_L25_d30_s10_t30_tp25_n10,6,25,25,0.3,off,70.0,,close,0.1,30,0.25,10,0.15,,pct,0.0025,False,False,1541,39.71,37.29,43.02,37.29,-25.91,-36.92,1.533,357,59.6,45.3,5.057,4.557,17.93,-5.63,24.0,60.6,18,28.17,27.04,30.46,27.04,-24.64,-31.96,1.143,651,31.5,49.7,6.259,5.759,18.14,-5.29,26.0,34.7,18,3.1
g1b_a6_L25_d30_s10_t30_tp25_n16,6,25,25,0.3,off,70.0,,close,0.1,30,0.25,16,0.0625,,pct,0.0025,False,False,1541,28.22,27.25,30.03,27.25,-16.4,-18.51,1.721,685,114.2,45.5,4.461,3.961,16.41,-5.5,24.0,49.4,23,19.59,19.26,20.06,19.26,-16.11,-18.02,1.216,1140,55.2,48.9,5.599,5.099,16.95,-5.26,26.0,25.7,24,4.1
g1b_a6_L25_d30_s10_t50_notp_n5,6,25,25,0.3,off,70.0,,close,0.1,50,,5,0.3,,pct,0.0025,False,False,1541,38.84,29.79,45.77,29.79,-35.11,-40.69,1.106,101,16.9,46.4,8.963,8.463,27.0,-6.09,50.0,75.5,9,21.63,18.35,23.48,18.35,-35.99,-43.23,0.601,207,10.0,50.1,8.617,8.117,23.36,-6.16,57.0,50.3,10,2.2
g1b_a6_L25_d30_s10_t50_notp_n8,6,25,25,0.3,off,70.0,,close,0.1,50,,8,0.1875,,pct,0.0025,False,False,1541,38.52,33.62,43.87,33.62,-30.39,-33.41,1.267,142,23.8,46.5,9.661,9.161,27.65,-6.06,53.0,72.1,11,22.24,21.29,23.33,21.29,-33.86,-35.72,0.657,294,14.2,48.7,9.733,9.233,26.34,-6.07,59.0,47.2,11,2.6
g1b_a6_L25_d30_s10_t50_notp_n10,6,25,25,0.3,off,70.0,,close,0.1,50,,10,0.15,,pct,0.0025,False,False,1541,43.97,38.4,46.68,38.4,-28.23,-29.75,1.557,181,30.3,45.6,11.341,10.841,31.31,-6.05,52.0,73.2,12,23.94,22.82,25.24,22.82,-35.54,-37.13,0.674,359,17.4,48.5,10.887,10.387,28.87,-6.0,59.0,46.6,12,2.7
g1b_a6_L25_d30_s10_t50_notp_n16,6,25,25,0.3,off,70.0,,close,0.1,50,,16,0.0625,,pct,0.0025,False,False,1541,36.9,34.77,38.8,34.77,-25.94,-26.73,1.423,387,64.5,45.1,10.711,10.211,31.33,-6.29,54.0,67.7,19,19.34,18.79,19.66,18.79,-30.31,-30.41,0.638,695,33.6,47.6,10.133,9.633,28.16,-6.32,60.0,38.5,19,4.2
g1b_a6_L25_d30_s10_t50_tp25_n5,6,25,25,0.3,off,70.0,,close,0.1,50,0.25,5,0.3,,pct,0.0025,False,False,1541,44.48,35.75,51.44,35.75,-33.3,-41.22,1.336,153,25.5,46.4,6.551,6.051,21.03,-6.12,33.0,69.4,11,30.58,26.19,31.82,26.19,-34.35,-38.8,0.89,311,15.0,50.6,7.452,6.952,20.69,-6.27,36.0,44.9,10,2.1
g1b_a6_L25_d30_s10_t50_tp25_n8,6,25,25,0.3,off,70.0,,close,0.1,50,0.25,8,0.1875,,pct,0.0025,False,False,1541,43.34,40.18,47.06,40.18,-27.11,-32.51,1.599,242,40.3,45.6,6.427,5.927,21.77,-6.16,33.0,68.4,14,29.62,27.13,30.94,27.13,-29.32,-32.84,1.01,480,23.2,49.6,7.357,6.857,21.27,-6.42,35.0,42.5,15,2.8
g1b_a6_L25_d30_s10_t50_tp25_n10,6,25,25,0.3,off,70.0,,close,0.1,50,0.25,10,0.15,,pct,0.0025,False,False,1541,39.56,36.3,43.59,36.3,-26.97,-29.96,1.467,294,49.0,45.6,6.078,5.578,20.97,-6.22,32.0,65.3,16,27.11,25.79,28.56,25.79,-27.02,-28.87,1.003,559,27.1,49.6,7.186,6.686,20.74,-6.31,35.0,39.9,18,3.1
g1b_a6_L25_d30_s10_t50_tp25_n16,6,25,25,0.3,off,70.0,,close,0.1,50,0.25,16,0.0625,,pct,0.0025,False,False,1541,29.73,28.25,31.37,28.25,-18.25,-19.6,1.63,592,98.7,44.6,5.388,4.888,19.98,-6.33,33.0,57.3,20,19.32,18.58,20.02,18.58,-18.72,-20.34,1.032,1008,48.8,47.9,6.346,5.846,20.21,-6.46,36.0,30.8,20,4.4
g1b_a6_L25_d30_s10_t150_notp_n5,6,25,25,0.3,off,70.0,,close,0.1,150,,5,0.3,,pct,0.0025,False,False,1541,9.13,7.58,15.79,7.58,-40.35,-44.13,0.226,45,7.6,36.6,6.629,6.129,37.5,-10.73,120.0,82.6,7,9.73,5.92,13.61,5.92,-47.23,-60.37,0.206,90,4.4,39.2,9.611,9.111,41.01,-10.87,154.0,60.5,10,2.2
g1b_a6_L25_d30_s10_t150_notp_n8,6,25,25,0.3,off,70.0,,close,0.1,150,,8,0.1875,,pct,0.0025,False,False,1541,16.81,15.9,20.48,15.9,-41.17,-41.17,0.408,68,11.3,39.1,10.557,10.057,45.75,-10.75,121.0,80.8,13,13.14,11.71,14.1,11.71,-43.13,-43.13,0.305,132,6.4,40.8,13.748,13.248,49.38,-11.03,156.0,57.4,13,3.0
g1b_a6_L25_d30_s10_t150_notp_n10,6,25,25,0.3,off,70.0,,close,0.1,150,,10,0.15,,pct,0.0025,False,False,1541,17.59,14.01,18.72,14.01,-36.09,-36.09,0.487,85,14.3,39.5,10.355,9.855,41.98,-10.64,122.0,82.6,11,12.89,12.2,14.15,12.2,-42.43,-42.43,0.304,170,8.2,41.0,12.372,11.872,46.26,-10.81,152.0,57.7,15,2.8
g1b_a6_L25_d30_s10_t150_notp_n16,6,25,25,0.3,off,70.0,,close,0.1,150,,16,0.0625,,pct,0.0025,False,False,1541,21.51,20.48,22.01,20.48,-29.58,-30.51,0.727,177,29.6,48.2,13.874,13.374,40.3,-10.78,139.0,80.5,16,12.86,12.02,13.89,12.02,-40.37,-41.53,0.319,371,18.0,41.6,12.419,11.919,44.63,-10.43,149.0,52.6,27,5.2
g1b_a6_L25_d30_s10_t150_tp25_n5,6,25,25,0.3,off,70.0,,close,0.1,150,0.25,5,0.3,,pct,0.0025,False,False,1541,35.53,27.0,43.31,27.0,-37.67,-39.57,0.943,89,14.9,53.6,9.185,8.685,26.03,-10.28,63.0,78.2,10,21.92,18.28,24.87,18.28,-39.98,-40.68,0.548,199,9.7,52.6,8.658,8.158,26.06,-10.77,64.0,51.3,14,2.3
g1b_a6_L25_d30_s10_t150_tp25_n8,6,25,25,0.3,off,70.0,,close,0.1,150,0.25,8,0.1875,,pct,0.0025,False,False,1541,40.15,34.82,44.43,34.82,-34.25,-37.2,1.172,149,24.9,54.9,9.727,9.227,26.01,-10.33,60.0,77.1,13,23.91,22.17,25.02,22.17,-33.91,-39.07,0.705,320,15.5,53.6,9.15,8.65,26.05,-10.42,63.0,50.2,13,2.8
g1b_a6_L25_d30_s10_t150_tp25_n10,6,25,25,0.3,off,70.0,,close,0.1,150,0.25,10,0.15,,pct,0.0025,False,False,1541,34.96,33.25,43.6,33.25,-31.11,-35.91,1.124,180,30.0,53.3,9.079,8.579,26.23,-10.39,61.0,75.0,13,22.18,21.29,24.29,21.29,-31.82,-33.06,0.697,375,18.1,53.0,8.938,8.438,26.13,-10.38,64.0,47.9,13,3.0
g1b_a6_L25_d30_s10_t150_tp25_n16,6,25,25,0.3,off,70.0,,close,0.1,150,0.25,16,0.0625,,pct,0.0025,False,False,1541,26.91,24.85,28.9,24.85,-27.33,-28.93,0.985,402,67.0,50.8,7.591,7.091,25.27,-10.63,63.0,72.0,25,17.75,17.37,18.18,17.37,-27.75,-28.58,0.64,760,36.8,50.9,8.121,7.621,25.77,-10.25,65.0,41.0,25,4.8
g1b_a12_L40_d30_s7_t20_notp_n5,12,40,40,0.3,off,70.0,,close,0.07,20,,5,0.3,,pct,0.0025,False,False,2046,26.04,24.01,31.81,24.01,-28.2,-36.16,0.923,217,36.2,43.1,3.22,2.72,13.31,-4.44,22.0,69.2,11,21.84,17.71,24.51,17.71,-29.31,-31.82,0.745,408,19.8,46.6,4.26,3.76,13.77,-4.04,24.0,40.7,13,3.1
g1b_a12_L40_d30_s7_t20_notp_n8,12,40,40,0.3,off,70.0,,close,0.07,20,,8,0.1875,,pct,0.0025,False,False,2046,28.05,24.49,33.97,24.49,-27.95,-28.98,1.003,329,54.9,44.7,3.449,2.949,13.17,-4.5,22.0,66.6,16,18.64,17.86,19.64,17.86,-28.12,-32.67,0.663,615,29.8,46.3,3.764,3.264,12.8,-4.04,23.0,37.3,17,2.8
g1b_a12_L40_d30_s7_t20_notp_n10,12,40,40,0.3,off,70.0,,close,0.07,20,,10,0.15,,pct,0.0025,False,False,2046,28.03,25.52,30.17,25.52,-26.34,-29.29,1.064,400,66.7,46.1,3.508,3.008,13.01,-4.53,22.0,64.5,18,17.88,16.28,20.26,16.28,-27.15,-28.67,0.659,733,35.5,46.5,3.757,3.257,12.64,-4.05,23.0,35.4,20,2.8
g1b_a12_L40_d30_s7_t20_notp_n16,12,40,40,0.3,off,70.0,,close,0.07,20,,16,0.0625,,pct,0.0025,False,False,2046,23.73,21.71,24.62,21.71,-18.74,-19.66,1.266,783,130.5,44.3,3.514,3.014,13.5,-4.47,22.0,52.6,29,13.68,13.29,13.95,13.29,-19.01,-19.92,0.719,1291,62.5,44.4,3.498,2.998,13.03,-4.08,23.0,26.1,28,4.1
g1b_a12_L40_d30_s7_t20_tp25_n5,12,40,40,0.3,off,70.0,,close,0.07,20,0.25,5,0.3,,pct,0.0025,False,False,2046,35.01,30.11,38.93,30.11,-29.3,-30.07,1.195,253,42.2,45.2,3.445,2.945,13.2,-4.56,19.0,66.2,11,21.54,19.67,23.08,19.67,-29.52,-30.96,0.73,484,23.4,46.7,3.556,3.056,12.39,-4.18,19.0,38.3,14,2.7
g1b_a12_L40_d30_s7_t20_tp25_n8,12,40,40,0.3,off,70.0,,close,0.07,20,0.25,8,0.1875,,pct,0.0025,False,False,2046,30.54,28.25,34.31,28.25,-26.41,-28.12,1.157,395,65.8,44.6,3.136,2.636,12.79,-4.53,19.0,64.4,17,19.55,18.7,20.79,18.7,-28.16,-29.53,0.694,721,34.9,45.7,3.386,2.886,12.33,-4.12,19.0,35.4,17,2.7
g1b_a12_L40_d30_s7_t20_tp25_n10,12,40,40,0.3,off,70.0,,close,0.07,20,0.25,10,0.15,,pct,0.0025,False,False,2046,28.57,27.12,31.84,27.12,-24.85,-27.77,1.149,462,77.1,44.5,3.091,2.591,12.69,-4.57,19.0,60.3,20,18.66,17.15,19.86,17.15,-26.16,-29.53,0.713,832,40.3,45.5,3.397,2.897,12.35,-4.14,19.0,32.5,20,3.0
g1b_a12_L40_d30_s7_t20_tp25_n16,12,40,40,0.3,off,70.0,,close,0.07,20,0.25,16,0.0625,,pct,0.0025,False,False,2046,26.41,24.55,27.66,24.55,-16.62,-17.56,1.589,882,147.0,44.5,3.376,2.876,13.18,-4.49,19.0,48.4,31,14.95,14.52,15.2,14.52,-17.01,-17.44,0.879,1425,68.9,44.5,3.421,2.921,12.78,-4.13,19.0,23.4,28,4.4
g1b_a12_L40_d30_s7_t30_notp_n5,12,40,40,0.3,off,70.0,,close,0.07,30,,5,0.3,,pct,0.0025,False,False,2046,31.97,27.12,37.31,27.12,-28.56,-33.69,1.12,149,24.8,46.3,5.126,4.626,17.39,-5.26,34.0,73.2,9,24.09,21.53,26.66,21.53,-34.9,-41.32,0.69,301,14.6,51.2,6.268,5.768,16.9,-4.84,36.0,45.7,10,2.1
g1b_a12_L40_d30_s7_t30_notp_n8,12,40,40,0.3,off,70.0,,close,0.07,30,,8,0.1875,,pct,0.0025,False,False,2046,29.19,22.87,38.39,22.87,-25.52,-28.5,1.144,236,39.4,44.8,4.852,4.352,17.18,-5.27,33.0,70.5,12,19.96,18.37,21.93,18.37,-27.94,-30.67,0.714,459,22.2,48.9,5.329,4.829,16.14,-4.97,35.0,42.8,14,2.6
g1b_a12_L40_d30_s7_t30_notp_n10,12,40,40,0.3,off,70.0,,close,0.07,30,,10,0.15,,pct,0.0025,False,False,2046,26.24,24.58,34.79,24.58,-26.18,-27.27,1.002,291,48.6,43.4,4.499,3.999,17.45,-5.25,33.0,70.1,14,18.85,17.19,20.29,17.19,-27.76,-28.38,0.679,557,26.9,48.4,5.118,4.618,15.95,-4.95,35.0,41.3,16,2.8
g1b_a12_L40_d30_s7_t30_notp_n16,12,40,40,0.3,off,70.0,,close,0.07,30,,16,0.0625,,pct,0.0025,False,False,2046,26.2,25.23,27.64,25.23,-24.17,-24.73,1.084,614,102.4,42.4,5.0,4.5,18.87,-5.25,32.0,62.1,24,15.19,14.68,15.61,14.68,-23.52,-25.03,0.646,1068,51.7,44.3,4.89,4.39,17.29,-4.97,34.0,32.7,23,4.0
g1b_a12_L40_d30_s7_t30_tp25_n5,12,40,40,0.3,off,70.0,,close,0.07,30,0.25,5,0.3,,pct,0.0025,False,False,2046,34.2,28.14,43.12,28.14,-28.87,-32.99,1.185,203,33.8,41.7,4.117,3.617,17.22,-5.33,25.0,69.7,14,25.98,24.63,29.03,24.63,-28.07,-30.46,0.926,383,18.5,48.6,5.3,4.8,16.56,-5.03,27.0,42.0,11,2.0
g1b_a12_L40_d30_s7_t30_tp25_n8,12,40,40,0.3,off,70.0,,close,0.07,30,0.25,8,0.1875,,pct,0.0025,False,False,2046,34.16,29.53,38.12,29.53,-26.89,-32.75,1.271,325,54.3,42.4,4.129,3.629,17.0,-5.33,24.0,68.6,13,22.7,20.77,23.42,20.77,-26.99,-35.45,0.841,594,28.7,45.8,4.745,4.245,16.19,-5.04,27.0,40.2,15,2.3
g1b_a12_L40_d30_s7_t30_tp25_n10,12,40,40,0.3,off,70.0,,close,0.07,30,0.25,10,0.15,,pct,0.0025,False,False,2046,29.31,23.4,32.19,23.4,-25.85,-32.31,1.134,383,63.8,42.2,3.764,3.264,16.44,-5.43,24.0,65.1,15,20.19,18.72,21.54,18.72,-25.88,-27.45,0.78,695,33.6,45.6,4.431,3.931,15.77,-5.11,26.0,37.4,16,2.7
