list_year,n_symbols,median_rows
2000,2,6502.0
2003,31,5839.0
2004,4,5447.5
2005,490,5358.0
2006,71,4962.0
2007,100,4777.0
2008,38,4541.0
2009,20,4161.0
2010,81,3965.0
2011,66,3711.5
2012,27,3476.0
2013,19,3245.0
2014,19,2958.0
2015,182,2799.0
2016,94,2472.0
2017,140,2232.0
2018,104,2013.5
2019,58,1744.0
2020,66,1470.0
2021,137,1245.0
2022,137,1008.0
2023,150,743.5
2024,193,512.0
2025,280,212.5
2026,162,94.0
