symbol,date,entry_price,max_gain,fixed_sl,FIXED_return,FIXED_exit,FIXED_days,TRAIL-10%_return,TRAIL-10%_exit,TRAIL-10%_days,TRAIL-15%_return,TRAIL-15%_exit,TRAIL-15%_days,TRAIL-20%_return,TRAIL-20%_exit,TRAIL-20%_days,TRAIL-25%_return,TRAIL-25%_exit,TRAIL-25%_days,TRAIL-30%_return,TRAIL-30%_exit,TRAIL-30%_days,RATCHET-10%_return,RATCHET-10%_exit,RATCHET-10%_days,RATCHET-15%_return,RATCHET-15%_exit,RATCHET-15%_days,RATCHET-20%_return,RATCHET-20%_exit,RATCHET-20%_days,RATCHET-25%_return,RATCHET-25%_exit,RATCHET-25%_days,RATCHET-30%_return,RATCHET-30%_exit,RATCHET-30%_days
ONGC,2003-05-16,41.85,74.55197132616486,35.0703,65.83034647550777,OPEN,124,9.139784946236567,STOP,10,48.369175627240125,STOP,86,39.64157706093189,STOP,88,30.91397849462364,STOP,89,65.83034647550777,OPEN,124,9.139784946236567,STOP,10,48.369175627240125,STOP,86,39.64157706093189,STOP,88,30.91397849462364,STOP,89,65.83034647550777,OPEN,124
ONGC,2003-05-16,41.85,74.55197132616486,36.6606,65.83034647550777,OPEN,124,9.139784946236567,STOP,10,48.369175627240125,STOP,86,39.64157706093189,STOP,88,30.91397849462364,STOP,89,65.83034647550777,OPEN,124,9.139784946236567,STOP,10,48.369175627240125,STOP,86,39.64157706093189,STOP,88,30.91397849462364,STOP,89,65.83034647550777,OPEN,124
TATACONSUM,2003-05-21,21.8,36.00917431192659,19.2494,-11.699999999999996,STOP,44,6.926605504587147,STOP,14,0.9862385321100748,STOP,26,-4.954128440366981,STOP,40,-10.894495412844053,STOP,44,21.100917431192652,OPEN,124,6.926605504587147,STOP,14,0.9862385321100748,STOP,26,-4.954128440366981,STOP,40,-10.894495412844053,STOP,44,-11.699999999999996,STOP,44
SHREECEM,2003-06-10,70.26,90.94790777113576,60.63438,-13.700000000000006,STOP,2,5.653287788215192,STOP,1,-0.2163393111300897,STOP,1,-6.085966410475371,STOP,2,-11.955593509820673,STOP,2,-17.825220609165964,STOP,2,5.653287788215192,STOP,1,-0.2163393111300897,STOP,1,-6.085966410475371,STOP,2,-11.955593509820673,STOP,2,-13.700000000000006,STOP,2
LT,2003-06-27,38.53,102.46561121204256,32.09549,96.39242148974824,OPEN,124,12.821178302621327,STOP,55,46.59356345704646,STOP,101,96.39242148974824,OPEN,124,96.39242148974824,OPEN,124,96.39242148974824,OPEN,124,12.821178302621327,STOP,55,46.59356345704646,STOP,101,96.39242148974824,OPEN,124,96.39242148974824,OPEN,124,96.39242148974824,OPEN,124
APOLLOHOSP,2003-07-01,65.83,48.68600941819839,56.02133,47.34923287255051,OPEN,124,0.7595321282090233,STOP,2,5.555977517849003,STOP,15,-0.6531976302597488,STOP,23,47.34923287255051,OPEN,124,47.34923287255051,OPEN,124,0.7595321282090233,STOP,2,5.555977517849003,STOP,15,-0.6531976302597488,STOP,23,47.34923287255051,OPEN,124,47.34923287255051,OPEN,124
APOLLOHOSP,2003-07-01,65.83,48.68600941819839,56.02133,47.34923287255051,OPEN,124,0.7595321282090233,STOP,2,5.555977517849003,STOP,15,-0.6531976302597488,STOP,23,47.34923287255051,OPEN,124,47.34923287255051,OPEN,124,0.7595321282090233,STOP,2,5.555977517849003,STOP,15,-0.6531976302597488,STOP,23,47.34923287255051,OPEN,124,47.34923287255051,OPEN,124
SHREECEM,2003-07-02,85.86,84.14861402282787,72.03654,82.12205916608433,OPEN,124,6.24737945492663,STOP,1,0.3447472629862477,STOP,1,-5.557884928954102,STOP,1,-11.460517120894483,STOP,8,82.12205916608433,OPEN,124,6.24737945492663,STOP,1,0.3447472629862477,STOP,1,-5.557884928954102,STOP,1,-11.460517120894483,STOP,8,82.12205916608433,OPEN,124
HDFCBANK,2003-07-03,14.5,32.41379310344827,12.006,-17.2,STOP,29,-6.275862068965518,STOP,2,-10.896551724137932,STOP,14,-16.137931034482758,STOP,29,26.896551724137925,OPEN,124,26.896551724137925,OPEN,124,-6.275862068965518,STOP,2,-10.896551724137932,STOP,14,-16.137931034482758,STOP,29,-17.2,STOP,29,-17.2,STOP,29
HDFCBANK,2003-07-03,14.5,32.41379310344827,12.006,-17.2,STOP,29,-6.275862068965518,STOP,2,-10.896551724137932,STOP,14,-16.137931034482758,STOP,29,26.896551724137925,OPEN,124,26.896551724137925,OPEN,124,-6.275862068965518,STOP,2,-10.896551724137932,STOP,14,-16.137931034482758,STOP,29,-17.2,STOP,29,-17.2,STOP,29
