symbol,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
CHAMBLFERT,442,28,0.3929,0.7246,-0.8176,0.573,5.968,-4.009,-5.93
CHENNPETRO,442,38,0.3684,0.7306,-0.854,0.499,13.269,-5.082,-10.27
CHOLAHLDNG,442,32,0.4688,0.8733,-0.8659,0.89,3.789,-0.877,-1.62
COCHINSHIP,442,26,0.4615,0.8869,-0.8457,0.899,4.197,-0.79,-1.2
CONCOR,442,29,0.3103,0.6739,-0.715,0.424,10.55,-6.029,-8.24
COROMANDEL,442,28,0.5,0.8778,-0.8104,1.083,5.006,0.583,0.94
CREDITACC,442,28,0.4286,0.7799,-0.9446,0.619,9.819,-3.543,-5.75
CRISIL,442,22,0.5,0.7044,-0.6698,1.052,3.095,0.343,0.38
CROMPTON,442,29,0.4828,0.8884,-0.7438,1.115,4.864,0.793,1.28
CUB,442,24,0.4167,0.8539,-1.0,0.61,8.0,-3.78,-5.46
CYIENT,442,26,0.6538,0.8628,-0.8516,1.914,2.723,4.886,7.0
DALBHARAT,442,23,0.4783,0.7263,-0.9383,0.71,4.689,-2.555,-3.27
DBL,442,35,0.4286,0.917,-0.7693,0.894,4.687,-0.822,-1.63
DCBBANK,442,21,0.6667,0.8523,-0.8095,2.106,1.0,5.507,6.27
DCMSHRIRAM,442,18,0.3333,0.6203,-0.9414,0.329,7.574,-8.275,-7.57
DEEPAKNTR,442,24,0.4167,0.8609,-0.8496,0.724,7.895,-2.398,-3.29
DELTACORP,442,22,0.3182,0.9013,-0.7589,0.554,7.074,-4.322,-5.07
DIXON,442,33,0.4242,0.8575,-0.8529,0.741,8.624,-2.227,-4.2
DMART,442,14,0.2857,0.53,-0.7992,0.265,4.992,-9.262,-5.87
ECLERX,442,24,0.3333,0.6594,-0.9494,0.347,11.015,-7.913,-9.91
EDELWEISS,442,35,0.4571,0.872,-0.9118,0.805,8.44,-1.635,-3.37
EIDPARRY,442,25,0.48,0.7452,-0.8191,0.84,5.649,-1.251,-1.71
EIHOTEL,442,26,0.5769,0.8923,-0.6933,1.755,2.438,4.076,5.76
ELGIEQUIP,442,27,0.2963,0.7666,-0.8616,0.375,10.293,-7.422,-10.24
EMAMILTD,442,23,0.3913,0.7528,-0.7913,0.612,6.463,-3.561,-4.3
ENDURANCE,442,23,0.4348,0.7162,-0.8091,0.681,6.301,-2.709,-3.36
ENGINERSIN,442,31,0.3871,0.7395,-0.9352,0.499,10.941,-5.192,-8.89
