date,pnl,nav,cum_return_pct,daily_return_pct
2024-03-18,-13799.9999999996,986200.0000000003,-1.3799999999999701,-1.37999999999996
2024-03-21,2400.0000000000437,988600.0000000005,-1.1399999999999522,0.24335834516325724
2024-03-27,3600.000000000043,992200.0000000005,-0.7799999999999585,0.364151325106215
2024-04-04,-4199.999999999926,988000.0000000006,-1.1999999999999456,-0.42330175367868617
2024-04-08,-5399.999999999866,982600.0000000007,-1.7399999999999305,-0.5465587044534275
2024-04-15,-16799.999999999778,965800.0000000009,-3.419999999999912,-1.7097496438021338
2024-04-23,-1787.0473425275081,964012.9526574734,-3.5987047342526557,-0.1850328579962214
2024-04-24,-11351.020408163311,952661.9322493101,-4.733806775068993,-1.1774759225871603
2024-04-30,1541.197272038367,954203.1295213485,-4.579687047865145,0.16177798438943375
2024-05-07,-2109.134233518454,952093.99528783,-4.790600471216999,-0.22103618907396028
2024-05-10,-4200.000000000012,947893.99528783,-5.210600471216997,-0.4411329155300784
2024-05-13,2400.000000000141,950293.9952878301,-4.97060047121699,0.253192868815608
2024-05-15,3000.000000000001,953293.9952878301,-4.67060047121699,0.31569177695280976
2024-05-16,-599.999999999925,952693.9952878302,-4.730600471216972,-0.06293966005930476
2024-05-17,-12599.99999999981,940093.9952878304,-5.9906004712169665,-1.322565279336422
2024-05-23,416.0733784669342,940510.0686662974,-5.948993133370262,0.04425869972071721
2024-05-31,-599.9999999999982,939910.0686662974,-6.008993133370266,-0.06379517030060466
2024-06-11,-12599.99999999982,927310.0686662975,-7.26899313337025,-1.3405537848827198
2024-06-14,-12599.999999999896,914710.0686662976,-8.528993133370244,-1.358768811614634
2024-06-18,-5999.999999999761,908710.0686662978,-9.128993133370223,-0.655945551003732
2024-06-19,-33599.99999999953,875110.0686662983,-12.488993133370174,-3.697548993741625
2024-06-25,-4800.000000000024,870310.0686662983,-12.968993133370166,-0.5485024309359633
2024-06-27,2999.9999999999563,873310.0686662983,-12.668993133370165,0.34470473317599204
2024-07-01,-4199.999999999993,869110.0686662983,-13.088993133370174,-0.48092884196493335
2024-07-02,-9599.999999999789,859510.0686662984,-14.048993133370157,-1.1045781594420563
2024-07-03,8644.635193132988,868154.7038594314,-13.184529614056862,1.005763109505729
2024-07-04,-13200.000000000053,854954.7038594314,-14.50452961405686,-1.5204663340898454
2024-07-10,21599.999999999993,876554.7038594314,-12.344529614056853,2.5264496355764114
2024-07-11,3600.00000000001,880154.7038594314,-11.98452961405686,0.41069883991830397
2024-07-12,-4800.00000000001,875354.7038594314,-12.464529614056852,-0.5453586714872131
2024-07-16,-1200.0000000000023,874154.7038594314,-12.58452961405686,-0.13708728526952701
2024-07-18,3600.0000000000296,877754.7038594314,-12.224529614056856,0.4118264174643082
2024-07-19,24599.999999999996,902354.7038594314,-9.76452961405686,2.8026053169336906
2024-07-29,-4199.999999999929,898154.7038594316,-10.184529614056848,-0.46544889521119004
2024-08-01,3000.000000000039,901154.7038594316,-9.884529614056847,0.33401818051042165
2024-08-05,2400.000000000186,903554.7038594318,-9.644529614056818,0.26632497058735377
2024-08-06,-12599.9999999999,890954.7038594319,-10.904529614056813,-1.3944922146031031
2024-08-12,-9599.99999999976,881354.7038594321,-11.864529614056785,-1.077495854549568
2024-08-13,6596.209809070797,887950.9136685028,-11.204908633149714,0.7484171560197211
2024-08-14,-17999.999999999665,869950.9136685032,-13.00490863314968,-2.0271390820055593
2024-08-20,3600.000000000043,873550.9136685033,-12.644908633149676,0.4138164514155372
2024-08-22,4946.000386726476,878496.9140552297,-12.150308594477021,0.5661948616086495
2024-08-26,-3283.6524300442193,875213.2616251855,-12.478673837481447,-0.3737807586467835
2024-08-27,-5859.806533015353,869353.4550921702,-13.064654490782978,-0.6695289925262632
2024-08-28,-347.30929399228944,869006.1457981779,-13.099385420182209,-0.039950297771056444
2024-08-29,7200.000000000081,876206.1457981779,-12.37938542018221,0.8285326904549007
2024-08-30,-9599.999999999738,866606.1457981782,-13.339385420182182,-1.0956325798485058
2024-09-02,-5999.999999999607,860606.1457981786,-13.939385420182138,-0.692356040756366
2024-09-03,7200.000000000006,867806.1457981786,-13.219385420182139,0.8366196354921782
2024-09-05,-599.9999999999909,867206.1457981786,-13.279385420182132,-0.06913986526888806
2024-09-06,-4200.000000000003,863006.1457981786,-13.699385420182143,-0.48431391086767644
2024-09-12,-5399.999999999836,857606.1457981789,-14.239385420182115,-0.6257197618222609
2024-09-13,-8399.99999999988,849206.1457981789,-15.079385420182112,-0.9794705927838184
2024-09-19,-13199.999999999978,836006.145798179,-16.3993854201821,-1.5543928956841384
2024-09-20,-4847.736625514331,831158.4091726646,-16.88415908273354,-0.5798685392301682
2024-09-23,-8400.000000000033,822758.4091726646,-17.724159082733536,-1.0106376723495338
2024-09-27,-4200.0000000000255,818558.4091726645,-18.144159082733545,-0.5104779183264003
2024-09-30,3600.000000000011,822158.4091726645,-17.784159082733552,0.439797570907446
2024-10-01,3600.0000000000473,825758.4091726646,-17.42415908273354,0.43787182127380003
2024-10-07,5911.073253833032,831669.4824264976,-16.833051757350237,0.7158356715683215
2024-10-09,-3555.0766384223093,828114.4057880753,-17.188559421192473,-0.4274626776072073
2024-10-14,6600.000000000029,834714.4057880754,-16.52855942119246,0.7969913279940032
2024-10-15,3600.000000000002,838314.4057880754,-16.168559421192462,0.43128523660750157
2024-10-16,-600.0000000000441,837714.4057880753,-16.228559421192468,-0.07157219246829014
2024-10-17,-1442.2110552762697,836272.194732799,-16.3727805267201,-0.17216023089868168
2024-10-21,-9599.999999999733,826672.1947327993,-17.33278052672007,-1.1479515952419141
2024-10-22,-8400.00000000001,818272.1947327993,-18.172780526720068,-1.0161222372690415
2024-10-25,-2399.9999999997635,815872.1947327995,-18.41278052672004,-0.29330093524483813
2024-10-28,-12599.999999999869,803272.1947327997,-19.672780526720036,-1.5443595309834532
2024-10-29,-2399.9999999998163,800872.1947327999,-19.91278052672001,-0.298777925557121
2024-10-31,-4800.000000000009,796072.1947327999,-20.39278052672001,-0.5993465663521336
2024-11-06,-9599.999999999962,786472.1947327999,-21.352780526720004,-1.2059207774769956
2024-11-07,3766.6081634490833,790238.8028962489,-20.97611971037511,0.47892451744320985
2024-11-08,-4200.000000000058,786038.8028962489,-21.396119710375118,-0.5314849112201189
2024-11-13,-6599.999999999825,779438.8028962491,-22.05611971037509,-0.8396532048648717
2024-11-18,-21599.99999999962,757838.8028962495,-24.21611971037505,-2.7712246195260044
2024-11-21,-20999.999999999713,736838.8028962497,-26.31611971037503,-2.7710378407312404
2024-11-22,-599.9999999999827,736238.8028962497,-26.376119710375036,-0.08142893637544567
2024-11-25,-6000.000000000053,730238.8028962496,-26.976119710375045,-0.8149529712909698
2024-11-26,-8399.999999999862,721838.8028962498,-27.81611971037502,-1.1503086342007645
2024-12-02,3599.99999999999,725438.8028962498,-27.456119710375017,0.49872630642127164
2024-12-04,-11953.846153846247,713484.9567424036,-28.651504325759646,-1.6478090372505
2024-12-12,3600.000000000011,717084.9567424036,-28.291504325759643,0.504565648648953
2024-12-16,3000.000000000055,720084.9567424036,-27.991504325759642,0.41836047065169946
2024-12-20,6600.000000000026,726684.9567424036,-27.33150432575965,0.9165585169085886
2024-12-23,3599.999999999986,730284.9567424036,-26.971504325759643,0.4954003748939748
2024-12-24,-16799.999999999884,713484.9567424037,-28.651504325759635,-2.3004718699040403
2024-12-26,2750.5727428520054,716235.5294852557,-28.37644705147443,0.38551236670923544
2024-12-27,-4799.999999999907,711435.5294852558,-28.856447051474422,-0.6701706076281321
2025-01-08,-25199.999999999534,686235.5294852563,-31.376447051474365,-3.5421340312076435
2025-01-09,2400.000000000021,688635.5294852563,-31.13644705147437,0.3497341505765893
2025-01-10,6000.000000000157,694635.5294852564,-30.536447051474358,0.8712881841117113
2025-01-16,-599.9999999999186,694035.5294852565,-30.59644705147435,-0.0863762325034734
2025-01-17,-4199.999999999914,689835.5294852566,-31.016447051474337,-0.6051563387705693
2025-01-20,-13199.999999999758,676635.5294852569,-32.336447051474316,-1.913499585886707
2025-01-21,13200.000000000246,689835.5294852571,-31.016447051474294,1.9508286846896736
2025-01-27,3000.0000000000364,692835.5294852571,-30.716447051474294,0.4348862695197191
2025-01-28,60600.00000000024,753435.5294852573,-24.656447051474263,8.746664600907964
2025-01-29,-4799.9999999999945,748635.5294852573,-25.136447051474264,-0.6370817159736715
2025-02-01,-4199.999999999966,744435.5294852573,-25.55644705147426,-0.5610206615344291
2025-02-04,-8999.999999999945,735435.5294852573,-26.456447051474264,-1.2089697016775958
2025-02-05,-4199.9999999999745,731235.5294852573,-26.876447051474262,-0.5710901678818291
2025-02-06,-4799.999999999879,726435.5294852576,-27.35644705147424,-0.656423246197948
2025-02-10,6587.234042553226,733022.7635278108,-26.69772364721892,0.9067885277060789
2025-02-11,21600.000000000065,754622.7635278108,-24.53772364721892,2.946702486570264
