tp_pct,sl_pct,hold_bars,cost_per_side_pct,label,elapsed_s,final_nav,total_return_pct,cagr_pct,sharpe,max_dd_pct,calmar,n_trades,win_rate_pct,profit_factor,trading_days
0.5,1.5,60,0.1,tp05_sl15,129,939843.0,-6.02,-6.52,-1.28,7.46,-0.87,913,76.8,0.87,232
0.7,1.5,60,0.1,tp07_sl15,113,1002920.0,0.29,0.32,0.08,3.84,0.08,883,69.1,1.0,232
0.8,1.5,60,0.1,tp08_sl15,126,1040300.0,4.03,4.38,0.71,4.39,1.0,875,66.3,1.06,232
1.0,1.5,60,0.1,tp10_sl15,93,1069093.0,6.91,7.53,1.11,3.85,1.95,863,61.4,1.1,232
1.0,1.0,60,0.1,tp10_sl10,75,1008951.0,0.9,0.97,0.15,8.29,0.12,867,56.4,1.01,232
1.5,1.0,60,0.1,tp15_sl10,69,1144446.0,14.44,15.78,1.44,7.05,2.24,852,51.2,1.13,232
1.5,1.5,60,0.1,tp15_sl15,71,1155688.0,15.57,17.02,2.07,4.63,3.68,845,55.9,1.21,232
2.0,1.5,60,0.1,tp20_sl15,70,1199603.0,19.96,21.86,2.38,4.5,4.86,831,53.5,1.26,232
1.5,2.0,60,0.1,tp15_sl20,70,1110002.0,11.0,12.0,1.82,3.81,3.15,842,56.7,1.19,232
