gap_pct,first_open_eq_low,first_open_eq_high,first_bullish,first_bearish,bar3_above_vwap,bar6_above_vwap,bar9_above_vwap,rsi_at_bar3,rsi_at_bar6,rsi_at_bar9,ema9_above_ema21_bar6,vol_first3,hi_bar,lo_bar,bars,symbol,session,ret_pct,range_pct,direction
-1.064,0,0,0,1,-1,1,1,27.9,36.6,45.9,0,703275,58,2,75,BHARTIARTL,2024-04-03,2.469,4.28,up
0.608,0,0,0,1,-1,-1,-1,37.8,43.5,40.9,0,548333,0,19,75,BHARTIARTL,2024-04-04,-1.985,2.573,dn
-0.168,0,0,1,0,-1,1,1,37.9,57.1,62.9,0,446730,50,0,75,BHARTIARTL,2024-04-08,1.507,2.311,up
0.247,0,1,1,0,1,-1,1,76.4,54.3,57.7,1,1446189,62,0,75,BHARTIARTL,2024-04-18,3.955,5.414,up
1.554,0,0,1,0,1,1,1,76.4,77.2,73.5,1,1484971,39,0,75,BHARTIARTL,2024-04-23,2.847,3.733,up
0.153,0,0,0,1,-1,-1,-1,44.1,37.2,37.4,0,708187,0,57,75,BHARTIARTL,2024-05-03,-2.144,4.008,dn
-0.231,0,0,1,0,1,1,1,64.2,71.0,72.5,1,296635,68,0,75,BHARTIARTL,2024-05-10,1.878,2.882,up
-0.427,1,0,1,0,-1,-1,-1,59.2,49.5,46.7,1,1406822,74,15,75,BHARTIARTL,2024-05-15,2.692,2.946,up
0.163,0,0,1,0,-1,1,1,62.0,69.9,77.8,1,203499,73,0,75,BHARTIARTL,2024-05-23,1.832,2.443,up
-0.636,0,0,0,1,-1,-1,-1,28.9,34.9,39.4,0,1324981,0,40,75,BHARTIARTL,2024-06-04,-7.127,12.792,dn
-0.247,0,0,0,1,1,1,1,62.5,56.5,62.2,1,386139,71,0,75,BHARTIARTL,2024-06-07,3.571,4.925,up
0.807,0,0,0,1,-1,-1,-1,55.5,51.7,46.5,1,497216,0,69,75,BHARTIARTL,2024-06-13,-1.656,2.45,dn
0.448,0,0,0,1,-1,-1,-1,47.9,42.4,33.7,0,233370,0,71,75,BHARTIARTL,2024-06-19,-2.856,3.243,dn
0.93,0,0,0,1,-1,-1,-1,48.4,39.5,47.0,0,1393582,0,64,75,BHARTIARTL,2024-06-20,-1.778,2.184,dn
-0.24,0,0,1,0,-1,1,1,40.4,47.2,47.1,0,414404,64,0,75,BHARTIARTL,2024-06-26,3.325,5.018,up
3.938,0,1,0,1,-1,1,-1,62.8,64.7,45.2,1,6373409,0,72,75,BHARTIARTL,2024-06-28,-5.679,6.483,dn
0.274,0,0,1,0,-1,-1,-1,55.5,52.7,51.2,1,611986,1,72,75,BHARTIARTL,2024-07-02,-2.88,3.858,dn
