symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
AMBER,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:50:00,3405.25,3388.22375,0,0.4999999999999968,0.29999999999999677,TP,200000.0,3000.0,1000000.0,1000600.0,2024-03-18
SJVN,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:25:00,126.0,127.88999999999999,7,-1.4999999999999891,-1.699999999999989,SL,200000.0,3000.0,1000000.0,997200.0,2024-03-18
TCIEXP,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:10:00,1010.5,1005.4475,4,0.5000000000000009,0.3000000000000009,TP,200000.0,3000.0,1000600.0,997800.0,2024-03-18
RAIN,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:55:00,159.7,158.9015,13,0.4999999999999938,0.29999999999999377,TP,200000.0,3000.0,1000600.0,998400.0,2024-03-18
BANDHANBNK,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:55:00,183.85,182.93075,13,0.5000000000000029,0.3000000000000029,TP,200000.0,3000.0,1000600.0,999000.0,2024-03-18
KNRCON,SHORT,short,2024-03-18 09:50:00,2024-03-18 14:50:00,238.75,238.45,60,0.12565445026178487,-0.07434554973821514,EOD,200000.0,3000.0,1000600.0,998851.3089005236,2024-03-18
ALKEM,LONG_MR,long,2024-03-18 12:00:00,2024-03-18 12:20:00,4949.2,4973.945999999999,4,0.4999999999999835,0.2999999999999835,TP,200000.0,3000.0,999000.0,999451.3089005236,2024-03-18
MGL,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:00:00,1301.25,1307.75625,1,0.499999999999993,0.299999999999993,TP,200000.0,3000.0,999451.3089005236,1000051.3089005236,2024-03-21
PNBHOUSING,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:05:00,634.5,637.6724999999999,2,0.49999999999998423,0.2999999999999842,TP,200000.0,3000.0,999451.3089005236,1000651.3089005236,2024-03-21
JKCEMENT,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:25:00,4065.25,4085.5762499999996,6,0.4999999999999906,0.2999999999999906,TP,200000.0,3000.0,999451.3089005236,1001251.3089005236,2024-03-21
WELCORP,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:25:00,517.2,519.786,6,0.4999999999999804,0.2999999999999804,TP,200000.0,3000.0,999451.3089005236,1001851.3089005236,2024-03-21
BANDHANBNK,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 14:55:00,181.65,180.3,60,-0.7431874483897574,-0.9431874483897573,EOD,200000.0,3000.0,999451.3089005236,999964.934003744,2024-03-21
CHOLAFIN,LONG_TC,long,2024-03-21 10:00:00,2024-03-21 14:30:00,1055.0,1060.2749999999999,54,0.49999999999998707,0.29999999999998705,TP,200000.0,3000.0,1000051.3089005236,1000564.934003744,2024-03-21
M&MFIN,LONG_TC,long,2024-03-21 10:05:00,2024-03-21 15:05:00,246.9,247.6,60,0.28351559335763005,0.08351559335763004,EOD,200000.0,3000.0,1000651.3089005236,1000731.9651904593,2024-03-21
GALAXYSURF,LONG_TC,long,2024-03-21 10:30:00,2024-03-21 10:30:00,2310.1,2321.6504999999997,0,0.4999999999999926,0.2999999999999926,TP,200000.0,3000.0,1001851.3089005236,1001331.9651904593,2024-03-21
DBL,LONG_TC,long,2024-03-27 10:00:00,2024-03-27 10:00:00,423.7,425.8185,0,0.499999999999996,0.299999999999996,TP,200000.0,3000.0,1001331.9651904593,1001931.9651904593,2024-03-27
TIINDIA,SHORT,short,2024-04-04 09:50:00,2024-04-04 14:10:00,3662.95,3644.63525,52,0.5000000000000001,0.3000000000000001,TP,200000.0,3000.0,1001931.9651904593,1002531.9651904593,2024-04-04
JKPAPER,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 10:35:00,356.4,358.18199999999996,7,0.49999999999999506,0.29999999999999505,TP,200000.0,3000.0,1002531.9651904593,1003131.9651904593,2024-04-08
SOBHA,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 13:35:00,1535.85,1512.81225,43,-1.4999999999999976,-1.6999999999999975,SL,200000.0,3000.0,1002531.9651904593,999731.9651904593,2024-04-08
WHIRLPOOL,LONG_TC,long,2024-04-08 10:10:00,2024-04-08 11:05:00,1390.0,1396.9499999999998,11,0.4999999999999869,0.2999999999999869,TP,200000.0,3000.0,1002531.9651904593,1000331.9651904593,2024-04-08
INDIANB,LONG_TC,long,2024-04-08 10:25:00,2024-04-08 15:25:00,528.9,524.6,60,-0.8130081300812922,-1.0130081300812923,EOD,200000.0,3000.0,1002531.9651904593,998305.9489302967,2024-04-08
APLAPOLLO,LONG_TC,long,2024-04-08 10:35:00,2024-04-08 12:00:00,1578.0,1585.8899999999999,17,0.49999999999999195,0.29999999999999194,TP,200000.0,3000.0,1003131.9651904593,998905.9489302967,2024-04-08
CDSL,SHORT,short,2024-04-15 09:50:00,2024-04-15 10:05:00,972.55,987.1382499999999,3,-1.49999999999999,-1.69999999999999,SL,200000.0,3000.0,998905.9489302967,995505.9489302967,2024-04-15
LTTS,SHORT,short,2024-04-15 09:50:00,2024-04-15 11:10:00,5550.0,5522.25,16,0.5,0.3,TP,200000.0,3000.0,998905.9489302967,996105.9489302967,2024-04-15
SUZLON,SHORT,short,2024-04-15 09:50:00,2024-04-15 10:05:00,40.1,40.701499999999996,3,-1.4999999999999858,-1.6999999999999857,SL,200000.0,3000.0,998905.9489302967,992705.9489302967,2024-04-15
ZEEL,SHORT,short,2024-04-15 09:50:00,2024-04-15 14:50:00,139.77,139.82,60,-0.03577305573440863,-0.23577305573440865,EOD,200000.0,3000.0,998905.9489302967,992234.4028188279,2024-04-15
NAM-INDIA,SHORT,short,2024-04-23 09:50:00,2024-04-23 10:50:00,565.35,562.5232500000001,12,0.4999999999999906,0.2999999999999906,TP,200000.0,3000.0,992234.4028188279,992834.4028188279,2024-04-23
EDELWEISS,SHORT,short,2024-04-23 09:50:00,2024-04-23 10:25:00,77.75,78.91624999999999,7,-1.4999999999999882,-1.6999999999999882,SL,200000.0,3000.0,992234.4028188279,989434.4028188279,2024-04-23
