symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
SJVN,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:15:00,126.0,127.26,5,-1.000000000000004,-1.200000000000004,SL,300000.0,3000.0,1000000.0,996400.0,2024-03-18
AMBER,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,3405.25,3371.1974999999998,1,1.0000000000000069,0.8000000000000069,TP,300000.0,3000.0,1000000.0,998800.0,2024-03-18
RAIN,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,159.7,161.297,1,-1.0000000000000053,-1.2000000000000053,SL,300000.0,3000.0,1000000.0,995200.0,2024-03-18
KNRCON,SHORT,short,2024-03-18 09:50:00,2024-03-18 11:00:00,238.75,241.1375,14,-0.9999999999999951,-1.199999999999995,SL,300000.0,3000.0,1000000.0,991600.0,2024-03-18
TCIEXP,SHORT,short,2024-03-18 09:50:00,2024-03-18 14:35:00,1010.5,1020.605,57,-1.0000000000000018,-1.2000000000000017,SL,300000.0,3000.0,1000000.0,988000.0,2024-03-18
ALKEM,LONG_MR,long,2024-03-18 12:00:00,2024-03-18 15:25:00,4949.2,4998.692,41,1.0000000000000038,0.8000000000000038,TP,300000.0,3000.0,991600.0,990400.0,2024-03-18
JKCEMENT,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:50:00,4065.25,4105.9025,11,1.0000000000000036,0.8000000000000036,TP,300000.0,3000.0,990400.0,992800.0,2024-03-21
PNBHOUSING,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:50:00,634.5,640.845,11,1.0000000000000044,0.8000000000000045,TP,300000.0,3000.0,990400.0,995200.0,2024-03-21
WELCORP,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:40:00,517.2,522.3720000000001,9,1.0000000000000049,0.8000000000000049,TP,300000.0,3000.0,990400.0,997600.0,2024-03-21
BANDHANBNK,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 12:05:00,181.65,179.83350000000002,26,-0.9999999999999948,-1.1999999999999948,SL,300000.0,3000.0,990400.0,994000.0,2024-03-21
MGL,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 13:20:00,1301.25,1314.2625,41,1.0000000000000036,0.8000000000000036,TP,300000.0,3000.0,990400.0,996400.0,2024-03-21
DBL,LONG_TC,long,2024-03-27 10:00:00,2024-03-27 10:05:00,423.7,427.937,1,1.0000000000000056,0.8000000000000056,TP,300000.0,3000.0,996400.0,998800.0,2024-03-27
TIINDIA,SHORT,short,2024-04-04 09:50:00,2024-04-04 14:40:00,3662.95,3626.3205,58,1.0000000000000002,0.8000000000000003,TP,300000.0,3000.0,998800.0,1001200.0,2024-04-04
SOBHA,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 13:25:00,1535.85,1520.4914999999999,41,-1.0000000000000033,-1.2000000000000033,SL,300000.0,3000.0,1001200.0,997600.0,2024-04-08
JKPAPER,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 10:55:00,356.4,359.964,11,1.000000000000006,0.800000000000006,TP,300000.0,3000.0,1001200.0,1000000.0,2024-04-08
WHIRLPOOL,LONG_TC,long,2024-04-08 10:10:00,2024-04-08 11:05:00,1390.0,1403.9,11,1.0000000000000067,0.8000000000000067,TP,300000.0,3000.0,1001200.0,1002400.0,2024-04-08
INDIANB,LONG_TC,long,2024-04-08 10:25:00,2024-04-08 15:10:00,528.9,523.611,57,-0.9999999999999976,-1.1999999999999975,SL,300000.0,3000.0,1001200.0,998800.0,2024-04-08
APLAPOLLO,LONG_TC,long,2024-04-08 10:35:00,2024-04-08 12:05:00,1578.0,1593.78,18,0.9999999999999983,0.7999999999999983,TP,300000.0,3000.0,1001200.0,1001200.0,2024-04-08
CDSL,SHORT,short,2024-04-15 09:50:00,2024-04-15 10:05:00,972.55,982.2755,3,-1.0000000000000013,-1.2000000000000013,SL,300000.0,3000.0,1001200.0,997600.0,2024-04-15
LTTS,SHORT,short,2024-04-15 09:50:00,2024-04-15 14:20:00,5550.0,5494.5,54,1.0,0.8,TP,300000.0,3000.0,1001200.0,1000000.0,2024-04-15
