symbol,n_sessions,first_session,last_session,avg_range_pct,median_range_pct,avg_abs_ret_pct,trending_up_freq,trending_dn_freq,trending_freq,ranging_freq,open_eq_low_freq,open_eq_high_freq,gap_up_3_freq,gap_dn_3_freq,avg_volume,avg_close
ORIENTELEC,442,2024-03-18,2026-03-24,3.649,3.071,1.682,0.161,0.199,0.36,0.624,0.041,0.097,0.37,0.224,423264,219.67
PAGEIND,442,2024-03-18,2026-03-24,2.408,2.104,1.164,0.176,0.235,0.412,0.557,0.05,0.111,0.372,0.2,25692,41239.32
PETRONET,442,2024-03-18,2026-03-24,2.642,2.308,1.305,0.188,0.206,0.394,0.579,0.036,0.041,0.336,0.202,3350781,298.02
PFC,442,2024-03-18,2026-03-24,3.116,2.689,1.58,0.201,0.249,0.45,0.534,0.034,0.043,0.374,0.206,9815183,429.93
PFIZER,442,2024-03-18,2026-03-24,2.719,2.252,1.181,0.118,0.222,0.339,0.64,0.059,0.068,0.426,0.229,39094,4977.67
PGHH,442,2024-03-18,2026-03-24,2.06,1.811,0.856,0.124,0.206,0.33,0.645,0.032,0.138,0.372,0.19,9310,14417.41
PHOENIXLTD,442,2024-03-18,2026-03-24,3.69,3.226,1.643,0.156,0.19,0.346,0.643,0.027,0.05,0.413,0.252,770870,1642.35
PIIND,442,2024-03-18,2026-03-24,2.495,2.275,1.195,0.186,0.188,0.373,0.618,0.048,0.093,0.32,0.236,287749,3747.8
PNBHOUSING,442,2024-03-18,2026-03-24,3.523,3.043,1.667,0.129,0.244,0.373,0.602,0.025,0.057,0.42,0.175,1730725,885.49
PNCINFRA,442,2024-03-18,2026-03-24,3.474,2.848,1.721,0.113,0.271,0.385,0.602,0.068,0.054,0.392,0.259,876483,332.9
POLYCAB,442,2024-03-18,2026-03-24,2.756,2.337,1.444,0.197,0.206,0.403,0.593,0.043,0.077,0.42,0.134,439326,6666.65
PRAJIND,442,2024-03-18,2026-03-24,3.642,3.167,1.786,0.127,0.305,0.432,0.559,0.041,0.054,0.388,0.197,1439689,532.9
PRESTIGE,442,2024-03-18,2026-03-24,3.839,3.498,1.81,0.165,0.197,0.362,0.622,0.027,0.043,0.42,0.231,954028,1562.69
PTC,442,2024-03-18,2026-03-24,3.114,2.73,1.555,0.136,0.204,0.339,0.647,0.063,0.061,0.399,0.229,1621054,179.84
