symbol,n_sessions,first_session,last_session,avg_range_pct,median_range_pct,avg_abs_ret_pct,trending_up_freq,trending_dn_freq,trending_freq,ranging_freq,open_eq_low_freq,open_eq_high_freq,gap_up_3_freq,gap_dn_3_freq,avg_volume,avg_close
BAJAJELEC,442,2024-03-18,2026-03-24,3.263,2.682,1.468,0.102,0.238,0.339,0.64,0.038,0.149,0.438,0.202,203373,706.0
BAJAJHLDNG,442,2024-03-18,2026-03-24,3.07,2.732,1.485,0.131,0.224,0.355,0.629,0.061,0.086,0.456,0.163,67350,11126.07
BALKRISIND,442,2024-03-18,2026-03-24,2.664,2.381,1.233,0.179,0.183,0.362,0.629,0.029,0.066,0.376,0.2,275821,2630.35
BALMLAWRIE,442,2024-03-18,2026-03-24,3.079,2.672,1.495,0.12,0.224,0.344,0.643,0.079,0.048,0.354,0.259,409283,209.12
BALRAMCHIN,442,2024-03-18,2026-03-24,3.219,2.85,1.611,0.147,0.229,0.376,0.611,0.063,0.059,0.392,0.229,1063109,501.36
BANDHANBNK,442,2024-03-18,2026-03-24,2.903,2.563,1.54,0.188,0.265,0.452,0.534,0.05,0.05,0.34,0.202,10846873,171.02
BANKINDIA,442,2024-03-18,2026-03-24,2.885,2.648,1.491,0.176,0.247,0.423,0.566,0.036,0.048,0.435,0.166,9961231,121.11
BASF,442,2024-03-18,2026-03-24,3.528,2.984,1.78,0.167,0.276,0.443,0.536,0.038,0.095,0.39,0.193,38279,4921.55
BATAINDIA,442,2024-03-18,2026-03-24,2.229,1.949,1.075,0.136,0.285,0.421,0.561,0.027,0.093,0.338,0.177,258452,1234.27
BAYERCROP,442,2024-03-18,2026-03-24,2.888,2.524,1.367,0.145,0.281,0.425,0.561,0.048,0.106,0.406,0.206,36880,5432.61
BDL,442,2024-03-18,2026-03-24,4.109,3.551,1.968,0.176,0.235,0.412,0.572,0.038,0.032,0.397,0.215,2010821,1374.3
BEML,442,2024-03-18,2026-03-24,4.088,3.471,2.091,0.122,0.303,0.425,0.559,0.043,0.045,0.463,0.202,931185,1902.9
BERGEPAINT,442,2024-03-18,2026-03-24,2.46,2.21,1.15,0.197,0.186,0.382,0.6,0.05,0.057,0.297,0.277,995646,524.35
BHARATFORG,442,2024-03-18,2026-03-24,2.893,2.623,1.445,0.188,0.249,0.437,0.552,0.036,0.079,0.417,0.181,1272904,1362.99
BHEL,442,2024-03-18,2026-03-24,3.314,2.922,1.713,0.195,0.229,0.423,0.563,0.025,0.052,0.422,0.172,14441588,253.66
BIOCON,442,2024-03-18,2026-03-24,2.98,2.727,1.489,0.188,0.244,0.432,0.55,0.045,0.052,0.467,0.168,4398897,352.04
BIRLACORPN,442,2024-03-18,2026-03-24,3.066,2.756,1.447,0.149,0.226,0.376,0.61,0.032,0.077,0.415,0.2,114549,1244.08
BLUEDART,442,2024-03-18,2026-03-24,2.909,2.469,1.412,0.163,0.26,0.423,0.557,0.057,0.133,0.42,0.215,39625,6621.34
BLUESTARCO,442,2024-03-18,2026-03-24,3.649,3.174,1.744,0.172,0.222,0.394,0.6,0.043,0.05,0.429,0.209,544626,1797.45
BOSCHLTD,442,2024-03-18,2026-03-24,2.327,2.057,1.083,0.149,0.226,0.376,0.615,0.045,0.068,0.385,0.156,32499,33838.64
BRIGADE,442,2024-03-18,2026-03-24,3.73,3.355,1.786,0.14,0.249,0.389,0.593,0.029,0.054,0.438,0.211,404193,1058.21
BSE,442,2024-03-18,2026-03-24,4.036,3.482,2.22,0.222,0.283,0.505,0.489,0.018,0.057,0.488,0.163,6215715,1887.71
BSOFT,442,2024-03-18,2026-03-24,3.204,2.872,1.621,0.161,0.269,0.43,0.563,0.041,0.07,0.433,0.206,2165760,500.97
CANBK,442,2024-03-18,2026-03-24,2.712,2.38,1.373,0.204,0.233,0.437,0.55,0.034,0.052,0.424,0.177,28373157,113.17
CANFINHOME,442,2024-03-18,2026-03-24,2.923,2.632,1.359,0.167,0.224,0.391,0.597,0.05,0.077,0.433,0.181,495386,798.18
CAPLIPOINT,442,2024-03-18,2026-03-24,3.631,3.15,1.795,0.167,0.226,0.394,0.577,0.038,0.081,0.381,0.224,163586,1878.86
CARBORUNIV,442,2024-03-18,2026-03-24,3.276,2.848,1.512,0.138,0.247,0.385,0.597,0.052,0.077,0.363,0.263,202024,1154.33
CARERATING,442,2024-03-18,2026-03-24,3.611,3.318,1.743,0.14,0.247,0.387,0.597,0.054,0.084,0.435,0.247,76081,1374.71
CASTROLIND,442,2024-03-18,2026-03-24,2.95,2.463,1.43,0.104,0.278,0.382,0.602,0.038,0.059,0.372,0.179,4653290,202.81
CCL,442,2024-03-18,2026-03-24,3.396,3.072,1.611,0.143,0.201,0.344,0.64,0.054,0.079,0.413,0.229,407225,764.53
CDSL,442,2024-03-18,2026-03-24,3.271,2.832,1.696,0.195,0.276,0.471,0.516,0.032,0.043,0.401,0.197,3569212,1400.6
CEATLTD,442,2024-03-18,2026-03-24,3.438,2.953,1.716,0.163,0.242,0.405,0.59,0.036,0.061,0.456,0.179,209572,3176.1
CENTRALBK,442,2024-03-18,2026-03-24,3.124,2.71,1.548,0.143,0.299,0.441,0.552,0.038,0.075,0.415,0.193,9318763,47.59
CENTURYPLY,442,2024-03-18,2026-03-24,3.267,2.806,1.478,0.174,0.19,0.364,0.618,0.057,0.075,0.39,0.293,169822,753.72
CERA,442,2024-03-18,2026-03-24,2.881,2.477,1.458,0.165,0.303,0.468,0.523,0.05,0.147,0.39,0.197,26010,6710.2
CESC,442,2024-03-18,2026-03-24,3.395,3.052,1.716,0.154,0.251,0.405,0.586,0.041,0.043,0.406,0.186,4919953,157.84
CGCL,442,2024-03-18,2026-03-24,3.702,2.816,1.659,0.124,0.267,0.391,0.595,0.038,0.075,0.438,0.247,2496720,189.96
CHALET,442,2024-03-18,2026-03-24,3.798,3.246,1.636,0.156,0.219,0.376,0.613,0.05,0.048,0.354,0.27,311856,864.75
CHAMBLFERT,442,2024-03-18,2026-03-24,3.216,2.765,1.675,0.201,0.226,0.428,0.552,0.038,0.048,0.349,0.206,2226789,500.4
CHENNPETRO,442,2024-03-18,2026-03-24,4.26,3.478,2.112,0.12,0.292,0.412,0.57,0.057,0.043,0.42,0.19,1965090,788.83
CHOLAHLDNG,442,2024-03-18,2026-03-24,3.932,3.463,1.796,0.145,0.217,0.362,0.618,0.043,0.113,0.433,0.206,262457,1663.91
COCHINSHIP,442,2024-03-18,2026-03-24,4.337,3.738,2.117,0.158,0.251,0.41,0.577,0.029,0.045,0.399,0.231,2469526,1680.53
CONCOR,442,2024-03-18,2026-03-24,2.555,2.164,1.3,0.176,0.247,0.423,0.563,0.034,0.081,0.408,0.179,1978781,628.38
COROMANDEL,442,2024-03-18,2026-03-24,3.251,2.825,1.457,0.188,0.186,0.373,0.602,0.025,0.054,0.376,0.193,506118,1935.0
CREDITACC,442,2024-03-18,2026-03-24,3.908,3.211,1.775,0.14,0.265,0.405,0.588,0.05,0.07,0.383,0.229,823524,1210.84
CRISIL,442,2024-03-18,2026-03-24,3.101,2.675,1.494,0.136,0.253,0.389,0.602,0.038,0.081,0.44,0.195,60709,4822.46
CROMPTON,442,2024-03-18,2026-03-24,2.763,2.478,1.313,0.163,0.206,0.369,0.62,0.025,0.077,0.404,0.181,3024440,342.54
CUB,442,2024-03-18,2026-03-24,3.185,2.848,1.586,0.201,0.222,0.423,0.559,0.045,0.07,0.358,0.231,3256545,196.16
CYIENT,442,2024-03-18,2026-03-24,3.044,2.804,1.399,0.136,0.224,0.36,0.631,0.038,0.061,0.404,0.218,494949,1483.29
DALBHARAT,442,2024-03-18,2026-03-24,2.557,2.313,1.202,0.181,0.208,0.389,0.593,0.059,0.059,0.324,0.222,370505,1965.63
DBL,442,2024-03-18,2026-03-24,3.815,3.313,1.862,0.122,0.276,0.398,0.588,0.048,0.07,0.424,0.238,400746,474.82
DCBBANK,442,2024-03-18,2026-03-24,2.988,2.69,1.432,0.138,0.192,0.33,0.665,0.063,0.063,0.365,0.256,2083415,137.54
DCMSHRIRAM,442,2024-03-18,2026-03-24,3.711,3.151,1.656,0.131,0.238,0.369,0.604,0.075,0.072,0.381,0.234,166740,1114.95
DEEPAKNTR,442,2024-03-18,2026-03-24,2.689,2.414,1.291,0.147,0.235,0.382,0.609,0.041,0.057,0.338,0.204,277598,2156.59
DELTACORP,442,2024-03-18,2026-03-24,3.217,2.659,1.502,0.059,0.342,0.4,0.586,0.052,0.075,0.444,0.177,2170852,98.68
DIXON,442,2024-03-18,2026-03-24,3.297,2.845,1.71,0.215,0.269,0.484,0.511,0.02,0.063,0.474,0.156,480247,13689.04
DMART,442,2024-03-18,2026-03-24,2.578,2.3,1.189,0.138,0.231,0.369,0.622,0.038,0.054,0.397,0.166,578400,4225.63
ECLERX,442,2024-03-18,2026-03-24,3.924,3.525,1.762,0.138,0.231,0.369,0.62,0.061,0.07,0.429,0.249,214156,1662.6
EDELWEISS,442,2024-03-18,2026-03-24,4.556,4.001,2.202,0.131,0.235,0.367,0.615,0.045,0.079,0.454,0.222,6153513,101.22
EIDPARRY,442,2024-03-18,2026-03-24,3.356,3.069,1.6,0.145,0.199,0.344,0.647,0.057,0.045,0.374,0.249,389026,877.95
EIHOTEL,442,2024-03-18,2026-03-24,3.463,3.011,1.506,0.154,0.192,0.346,0.638,0.045,0.072,0.404,0.236,693095,385.73
ELGIEQUIP,442,2024-03-18,2026-03-24,3.557,3.057,1.764,0.118,0.258,0.376,0.611,0.063,0.084,0.438,0.224,602430,557.17
EMAMILTD,442,2024-03-18,2026-03-24,3.309,2.817,1.54,0.127,0.21,0.337,0.654,0.036,0.068,0.438,0.202,769159,593.62
ENDURANCE,442,2024-03-18,2026-03-24,3.39,2.968,1.496,0.1,0.269,0.369,0.604,0.05,0.061,0.46,0.22,143599,2391.55
ENGINERSIN,442,2024-03-18,2026-03-24,3.935,3.389,2.025,0.154,0.274,0.428,0.559,0.036,0.034,0.449,0.204,5646449,204.93
ERIS,442,2024-03-18,2026-03-24,3.61,3.022,1.575,0.14,0.188,0.328,0.658,0.05,0.066,0.426,0.263,159271,1370.55
ESCORTS,442,2024-03-18,2026-03-24,2.905,2.598,1.449,0.186,0.24,0.425,0.563,0.048,0.059,0.365,0.175,194114,3535.13
EXIDEIND,442,2024-03-18,2026-03-24,2.819,2.398,1.389,0.181,0.224,0.405,0.575,0.029,0.045,0.354,0.206,3693409,411.08
FDC,442,2024-03-18,2026-03-24,3.151,2.792,1.378,0.152,0.179,0.33,0.652,0.057,0.072,0.345,0.297,235509,457.68
FINCABLES,442,2024-03-18,2026-03-24,3.435,2.88,1.645,0.131,0.256,0.387,0.597,0.036,0.057,0.42,0.188,430667,1036.5
FINPIPE,442,2024-03-18,2026-03-24,3.425,2.995,1.609,0.154,0.238,0.391,0.59,0.036,0.063,0.376,0.24,1216568,230.91
FORTIS,442,2024-03-18,2026-03-24,3.082,2.843,1.506,0.161,0.222,0.382,0.613,0.045,0.05,0.46,0.161,1926760,708.67
FSL,442,2024-03-18,2026-03-24,3.965,3.36,1.897,0.149,0.265,0.414,0.579,0.034,0.048,0.463,0.202,3197207,307.09
GARFIBRES,442,2024-03-18,2026-03-24,3.671,3.264,1.632,0.152,0.222,0.373,0.606,0.054,0.093,0.401,0.272,99674,776.38
GESHIP,442,2024-03-18,2026-03-24,3.459,3.027,1.714,0.138,0.278,0.416,0.579,0.05,0.084,0.458,0.177,683731,1085.88
GHCL,442,2024-03-18,2026-03-24,3.4,2.99,1.637,0.143,0.222,0.364,0.611,0.066,0.054,0.413,0.265,257851,588.69
GICRE,442,2024-03-18,2026-03-24,3.432,2.917,1.565,0.113,0.29,0.403,0.586,0.061,0.052,0.435,0.193,1354368,378.38
GILLETTE,442,2024-03-18,2026-03-24,3.062,2.615,1.408,0.133,0.301,0.434,0.552,0.036,0.09,0.44,0.15,41834,8494.34
GLENMARK,442,2024-03-18,2026-03-24,2.84,2.543,1.381,0.204,0.192,0.396,0.595,0.068,0.054,0.293,0.2,826378,1640.04
GMDCLTD,442,2024-03-18,2026-03-24,4.234,3.77,2.101,0.109,0.339,0.448,0.538,0.034,0.023,0.508,0.17,3313745,415.78
GNFC,442,2024-03-18,2026-03-24,2.684,2.422,1.349,0.167,0.244,0.412,0.577,0.045,0.072,0.392,0.181,743995,546.07
GODFRYPHLP,442,2024-03-18,2026-03-24,4.893,4.043,2.62,0.156,0.333,0.489,0.486,0.032,0.081,0.485,0.215,708224,2227.94
GODREJAGRO,442,2024-03-18,2026-03-24,3.292,2.898,1.537,0.138,0.229,0.367,0.627,0.052,0.088,0.388,0.22,322315,694.24
GODREJCP,442,2024-03-18,2026-03-24,2.482,2.281,1.168,0.161,0.208,0.369,0.618,0.036,0.088,0.37,0.197,1313519,1231.04
GODREJIND,442,2024-03-18,2026-03-24,3.58,3.066,1.622,0.143,0.219,0.362,0.618,0.052,0.066,0.367,0.245,314780,1033.17
GPPL,442,2024-03-18,2026-03-24,3.399,3.12,1.506,0.095,0.206,0.301,0.679,0.043,0.045,0.39,0.209,2530146,170.67
GRANULES,442,2024-03-18,2026-03-24,3.294,2.981,1.644,0.192,0.204,0.396,0.59,0.054,0.05,0.37,0.197,1733744,532.88
GRAPHITE,442,2024-03-18,2026-03-24,3.802,3.257,1.851,0.1,0.326,0.425,0.557,0.054,0.036,0.46,0.168,1320861,553.45
GRINDWELL,442,2024-03-18,2026-03-24,3.142,2.739,1.474,0.138,0.206,0.344,0.64,0.061,0.084,0.361,0.249,62745,1915.92
GSFC,442,2024-03-18,2026-03-24,3.037,2.666,1.523,0.133,0.292,0.425,0.548,0.052,0.057,0.433,0.156,2087556,199.63
GSPL,442,2024-03-18,2026-03-24,3.097,2.665,1.374,0.118,0.224,0.342,0.631,0.066,0.063,0.399,0.263,1661119,326.17
GUJGASLTD,442,2024-03-18,2026-03-24,2.942,2.472,1.398,0.19,0.247,0.437,0.543,0.043,0.061,0.342,0.213,971870,485.09
GULFOILLUB,442,2024-03-18,2026-03-24,3.772,3.305,1.771,0.156,0.222,0.378,0.611,0.052,0.079,0.431,0.247,139488,1144.88
HDFCAMC,442,2024-03-18,2026-03-24,2.606,2.344,1.313,0.192,0.222,0.414,0.57,0.032,0.079,0.34,0.175,951628,2291.18
HEG,442,2024-03-18,2026-03-24,4.063,3.493,1.956,0.109,0.328,0.437,0.554,0.025,0.043,0.503,0.188,1954799,479.04
HEIDELBERG,442,2024-03-18,2026-03-24,2.561,2.193,1.152,0.131,0.219,0.351,0.622,0.072,0.09,0.347,0.254,293748,197.89
HERITGFOOD,442,2024-03-18,2026-03-24,3.418,3.025,1.662,0.145,0.235,0.38,0.611,0.036,0.066,0.429,0.224,635483,457.8
HFCL,442,2024-03-18,2026-03-24,4.159,3.762,2.13,0.147,0.342,0.489,0.484,0.027,0.018,0.444,0.188,21084389,94.97
HINDCOPPER,442,2024-03-18,2026-03-24,4.031,3.576,2.076,0.143,0.314,0.457,0.532,0.036,0.045,0.508,0.224,11947791,323.13
HINDPETRO,442,2024-03-18,2026-03-24,3.135,2.796,1.513,0.19,0.219,0.41,0.584,0.032,0.052,0.406,0.2,6890842,385.83
HINDZINC,442,2024-03-18,2026-03-24,3.266,2.747,1.743,0.176,0.235,0.412,0.579,0.048,0.068,0.476,0.193,5275596,504.9
HONAUT,442,2024-03-18,2026-03-24,2.667,2.322,1.255,0.113,0.276,0.389,0.59,0.075,0.12,0.435,0.188,6674,40667.39
HUDCO,442,2024-03-18,2026-03-24,3.879,3.338,1.955,0.179,0.299,0.477,0.505,0.029,0.027,0.422,0.188,9222113,227.74
ICICIGI,442,2024-03-18,2026-03-24,2.42,2.197,1.107,0.188,0.215,0.403,0.586,0.036,0.059,0.331,0.197,709209,1883.88
ICICIPRULI,442,2024-03-18,2026-03-24,2.49,2.216,1.144,0.163,0.219,0.382,0.604,0.041,0.054,0.331,0.211,1384910,637.21
IDBI,442,2024-03-18,2026-03-24,3.511,3.056,1.838,0.104,0.321,0.425,0.552,0.048,0.038,0.474,0.163,12316150,89.44
IDEA,442,2024-03-18,2026-03-24,4.53,3.784,2.37,0.163,0.287,0.45,0.543,0.029,0.063,0.431,0.236,681328494,10.18
IEX,442,2024-03-18,2026-03-24,3.185,2.732,1.574,0.188,0.206,0.394,0.593,0.032,0.038,0.381,0.193,11679087,164.77
IFBIND,442,2024-03-18,2026-03-24,4.517,3.955,2.259,0.097,0.258,0.355,0.633,0.057,0.104,0.49,0.247,82407,1545.41
IGL,442,2024-03-18,2026-03-24,3.046,2.704,1.467,0.165,0.213,0.378,0.606,0.045,0.048,0.385,0.186,5355937,211.61
IIFL,442,2024-03-18,2026-03-24,3.919,3.429,1.966,0.165,0.258,0.423,0.557,0.027,0.063,0.458,0.213,2300626,450.86
INDHOTEL,442,2024-03-18,2026-03-24,2.624,2.272,1.279,0.183,0.192,0.376,0.615,0.032,0.059,0.361,0.206,3470675,710.63
INDIACEM,442,2024-03-18,2026-03-24,3.203,2.856,1.515,0.147,0.219,0.367,0.606,0.054,0.061,0.347,0.245,2414367,340.95
INDIANB,442,2024-03-18,2026-03-24,3.067,2.765,1.505,0.149,0.231,0.38,0.611,0.054,0.084,0.442,0.181,1932235,628.64
INDIGO,442,2024-03-18,2026-03-24,2.447,2.159,1.174,0.167,0.192,0.36,0.638,0.043,0.057,0.381,0.238,1292134,4840.23
INTELLECT,442,2024-03-18,2026-03-24,4.012,3.554,1.945,0.106,0.262,0.369,0.606,0.077,0.07,0.426,0.245,666262,932.95
IOB,442,2024-03-18,2026-03-24,3.253,2.763,1.606,0.115,0.326,0.441,0.543,0.032,0.048,0.367,0.202,10504264,47.52
IPCALAB,442,2024-03-18,2026-03-24,3.195,2.801,1.508,0.149,0.231,0.38,0.604,0.045,0.063,0.422,0.227,370375,1408.34
IRB,442,2024-03-18,2026-03-24,3.179,2.755,1.64,0.176,0.287,0.464,0.529,0.038,0.057,0.431,0.206,45261802,26.0
IRCON,442,2024-03-18,2026-03-24,3.894,3.264,1.977,0.122,0.301,0.423,0.566,0.025,0.057,0.426,0.227,8070248,199.29
J&KBANK,442,2024-03-18,2026-03-24,3.185,2.73,1.584,0.167,0.256,0.423,0.559,0.054,0.043,0.39,0.206,3874606,107.14
JBCHEPHARM,442,2024-03-18,2026-03-24,2.846,2.503,1.309,0.183,0.192,0.376,0.606,0.05,0.075,0.431,0.195,235145,1776.66
JINDALSAW,442,2024-03-18,2026-03-24,3.876,3.436,1.929,0.156,0.231,0.387,0.609,0.038,0.043,0.46,0.211,3140972,246.22
JKCEMENT,442,2024-03-18,2026-03-24,2.949,2.658,1.421,0.172,0.213,0.385,0.602,0.054,0.072,0.349,0.229,125316,5121.33
JKLAKSHMI,442,2024-03-18,2026-03-24,2.858,2.5,1.391,0.163,0.258,0.421,0.554,0.063,0.097,0.422,0.211,180297,812.74
JKPAPER,442,2024-03-18,2026-03-24,3.404,3.02,1.668,0.131,0.26,0.391,0.595,0.045,0.07,0.424,0.224,780322,392.17
JKTYRE,442,2024-03-18,2026-03-24,3.309,2.916,1.603,0.163,0.262,0.425,0.554,0.029,0.084,0.465,0.179,1068985,395.79
JMFINANCIL,442,2024-03-18,2026-03-24,4.389,3.81,2.074,0.14,0.238,0.378,0.597,0.032,0.057,0.467,0.193,7332694,126.03
JSL,442,2024-03-18,2026-03-24,3.471,3.019,1.686,0.188,0.213,0.4,0.579,0.043,0.07,0.444,0.195,1080187,716.43
JSWENERGY,442,2024-03-18,2026-03-24,3.375,2.991,1.726,0.192,0.247,0.439,0.541,0.029,0.041,0.431,0.175,3456115,569.93
JUBLFOOD,442,2024-03-18,2026-03-24,2.786,2.434,1.369,0.179,0.215,0.394,0.597,0.027,0.077,0.336,0.209,2115765,606.32
JUSTDIAL,442,2024-03-18,2026-03-24,3.398,2.988,1.684,0.12,0.31,0.43,0.548,0.059,0.057,0.41,0.186,338683,914.92
JYOTHYLAB,442,2024-03-18,2026-03-24,3.204,2.768,1.476,0.136,0.226,0.362,0.62,0.018,0.054,0.39,0.186,723478,379.65
KAJARIACER,442,2024-03-18,2026-03-24,3.027,2.773,1.424,0.147,0.215,0.362,0.613,0.045,0.093,0.431,0.245,309959,1140.52
KANSAINER,442,2024-03-18,2026-03-24,2.492,2.184,1.171,0.127,0.215,0.342,0.643,0.041,0.086,0.424,0.227,495031,254.56
KARURVYSYA,442,2024-03-18,2026-03-24,3.145,2.805,1.452,0.161,0.197,0.357,0.627,0.023,0.054,0.438,0.19,2861583,205.17
KEC,442,2024-03-18,2026-03-24,3.662,3.132,1.871,0.124,0.283,0.407,0.584,0.016,0.09,0.469,0.19,1127950,826.39
KEI,442,2024-03-18,2026-03-24,3.343,2.889,1.699,0.197,0.21,0.407,0.584,0.038,0.07,0.42,0.193,358666,4009.63
KNRCON,442,2024-03-18,2026-03-24,3.582,3.11,1.769,0.104,0.308,0.412,0.568,0.036,0.088,0.451,0.215,1704181,246.86
KPITTECH,442,2024-03-18,2026-03-24,3.275,2.797,1.599,0.158,0.244,0.403,0.581,0.036,0.066,0.404,0.222,1169025,1348.07
KPRMILL,442,2024-03-18,2026-03-24,3.846,3.387,1.766,0.133,0.219,0.353,0.638,0.034,0.079,0.451,0.234,470115,958.03
