tag,family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",0.5,1.5,60,30,1310,0.7489,0.4882,-1.1072,1.315,3.147,9.991,114.61,24.8,5.3003,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",1.0,1.5,60,30,1310,0.6267,0.8688,-1.0218,1.428,3.915,13.552,213.66,24.8,4.8171,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",0.7,1.0,48,30,1310,0.6229,0.6511,-0.8309,1.294,3.063,9.894,120.83,24.8,4.3408,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,687,0.77,0.4887,-1.0994,1.488,4.943,9.447,84.83,13.0,5.616,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,687,0.6507,0.8629,-1.0153,1.583,5.657,9.264,142.02,13.0,5.0466,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,687,0.6492,0.641,-0.8225,1.442,4.752,10.124,87.66,13.0,4.5882,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,30,329,0.7629,0.491,-1.1101,1.423,4.304,9.465,36.65,6.2,4.7228,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,30,329,0.6565,0.8568,-1.0185,1.608,5.71,6.465,69.97,6.2,4.5914,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,30,329,0.6413,0.6487,-0.8094,1.433,4.716,9.082,41.37,6.2,3.9976,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,30,436,0.7431,0.4928,-1.1438,1.246,2.516,7.137,31.54,8.3,4.223,0
