symbol,n_trades,win_rate,profit_factor,avg_ret,total_ret
MARICO,34,0.8529,3.675,0.3104,10.554
FINEORG,50,0.8,2.175,0.212,10.602
CCL,50,0.8,2.236,0.2146,10.729
ASAHIINDIA,64,0.7969,1.712,0.1642,10.508
GALAXYSURF,38,0.7895,1.768,0.1661,6.313
ASTRAZEN,41,0.7805,1.624,0.1441,5.907
JKPAPER,67,0.7761,1.521,0.131,8.774
M&MFIN,62,0.7742,1.569,0.1335,8.278
JUBLFOOD,31,0.7742,1.23,0.0698,2.163
WHIRLPOOL,61,0.7705,1.54,0.135,8.237
GODREJAGRO,60,0.7667,1.7,0.1551,9.305
INDIANB,77,0.7662,1.545,0.1314,10.122
ZYDUSWELL,51,0.7647,1.397,0.1076,5.489
CHOLAFIN,50,0.76,1.6,0.1398,6.99
WELCORP,79,0.7595,1.317,0.0913,7.214
CUB,54,0.7593,1.565,0.1371,7.402
AMBER,78,0.7564,1.264,0.078,6.088
INDIACEM,45,0.7556,1.212,0.0641,2.883
PNBHOUSING,65,0.7538,1.216,0.0634,4.12
HINDZINC,97,0.7526,1.321,0.0888,8.614
JKCEMENT,52,0.75,1.088,0.0292,1.521
SOBHA,67,0.7463,1.008,0.0029,0.197
MGL,67,0.7463,1.321,0.0882,5.912
GRINDWELL,43,0.7442,1.374,0.1014,4.359
BAJFINANCE,43,0.7442,1.138,0.0417,1.791
DIXON,78,0.7436,1.284,0.0814,6.351
APLAPOLLO,62,0.7419,1.488,0.1217,7.548
DBL,77,0.7403,1.272,0.0784,6.04
BANDHANBNK,69,0.7391,1.313,0.0876,6.044
GODFRYPHLP,69,0.7391,1.179,0.0551,3.802
VGUARD,46,0.7391,1.33,0.0918,4.221
AKZOINDIA,38,0.7368,1.567,0.1294,4.916
CARERATING,57,0.7368,0.935,-0.0252,-1.434
WOCKPHARMA,76,0.7368,1.039,0.0138,1.051
AUBANK,53,0.7358,1.509,0.1241,6.578
SAIL,87,0.7356,1.204,0.0607,5.28
SUPREMEIND,49,0.7347,1.219,0.0628,3.076
ASTRAL,45,0.7333,1.607,0.1385,6.233
FINPIPE,60,0.7333,1.258,0.0746,4.479
BALKRISIND,44,0.7273,1.63,0.1405,6.182
EIDPARRY,62,0.7258,1.127,0.0394,2.443
MAHABANK,62,0.7258,1.05,0.0164,1.016
SUNTV,51,0.7255,1.311,0.0862,4.394
RAMCOCEM,51,0.7255,1.057,0.0184,0.939
ULTRACEMCO,47,0.7234,1.661,0.1299,6.106
FSL,79,0.7215,0.921,-0.0308,-2.437
STAR,79,0.7215,0.977,-0.0087,-0.685
HDFCAMC,61,0.7213,1.265,0.0715,4.359
NH,68,0.7206,1.044,0.0145,0.983
KARURVYSYA,68,0.7206,1.271,0.0747,5.081
HINDCOPPER,118,0.7203,1.081,0.0269,3.18
TITAN,25,0.72,1.471,0.0892,2.229
ZENSARTECH,75,0.72,1.258,0.0739,5.541
JSWENERGY,75,0.72,1.038,0.0128,0.957
GUJALKALI,57,0.7193,1.273,0.0771,4.395
MCX,103,0.7184,1.238,0.0674,6.946
HUDCO,85,0.7176,1.012,0.0042,0.359
TCIEXP,46,0.7174,1.027,0.0089,0.41
GRASIM,46,0.7174,1.031,0.01,0.462
JSL,67,0.7164,0.995,-0.0016,-0.108
SYNGENE,49,0.7143,1.655,0.1414,6.929
RAYMOND,77,0.7143,0.985,-0.0053,-0.412
MASFIN,63,0.7143,1.145,0.0453,2.856
MOIL,98,0.7143,1.139,0.0437,4.282
GARFIBRES,63,0.7143,1.025,0.0088,0.556
IDEA,56,0.7143,1.164,0.0503,2.819
SUDARSCHEM,66,0.7121,0.966,-0.0125,-0.824
PRESTIGE,62,0.7097,0.91,-0.0349,-2.163
DCMSHRIRAM,55,0.7091,0.887,-0.0448,-2.462
EDELWEISS,79,0.7089,0.887,-0.0453,-3.582
VEDL,96,0.7083,1.104,0.0324,3.113
MPHASIS,72,0.7083,1.097,0.0312,2.248
ERIS,65,0.7077,1.08,0.025,1.622
SHREECEM,41,0.7073,1.162,0.0492,2.018
IDFCFIRSTB,41,0.7073,1.279,0.07,2.869
INDIGO,58,0.7069,1.246,0.0674,3.91
CEATLTD,75,0.7067,0.976,-0.0086,-0.643
GSFC,92,0.7065,1.176,0.0521,4.789
INDUSINDBK,34,0.7059,0.902,-0.0383,-1.303
CAPLIPOINT,51,0.7059,1.128,0.0378,1.929
PFC,85,0.7059,1.146,0.044,3.736
GLENMARK,51,0.7059,1.839,0.1528,7.794
IIFL,78,0.7051,0.871,-0.0517,-4.035
GRANULES,61,0.7049,1.012,0.0041,0.249
PERSISTENT,61,0.7049,0.952,-0.0176,-1.071
BAYERCROP,44,0.7045,1.121,0.0381,1.677
CDSL,91,0.7033,1.065,0.0215,1.956
JMFINANCIL,91,0.7033,0.972,-0.0102,-0.924
LAURUSLABS,74,0.7027,1.009,0.0031,0.231
ESCORTS,57,0.7018,1.056,0.0182,1.036
EMAMILTD,50,0.7,0.983,-0.0057,-0.286
TRITURBINE,50,0.7,1.022,0.0076,0.378
LEMONTREE,60,0.7,1.037,0.0123,0.738
CERA,40,0.7,1.032,0.0106,0.425
UPL,63,0.6984,1.197,0.056,3.53
THERMAX,86,0.6977,0.843,-0.0612,-5.262
DBCORP,66,0.697,0.933,-0.0244,-1.61
HFCL,99,0.697,0.887,-0.0445,-4.406
APLLTD,56,0.6964,0.971,-0.0103,-0.578
NAVINFLUOR,69,0.6957,0.844,-0.0634,-4.372
UCOBANK,59,0.6949,1.1,0.0306,1.804
POLYCAB,59,0.6949,0.951,-0.0171,-1.006
VINATIORGA,36,0.6944,1.131,0.0387,1.393
OIL,85,0.6941,0.985,-0.0053,-0.449
RECLTD,85,0.6941,1.355,0.0897,7.624
SCHAEFFLER,62,0.6935,0.931,-0.0253,-1.571
JINDALSAW,78,0.6923,0.959,-0.0144,-1.125
PHOENIXLTD,81,0.6914,0.892,-0.0406,-3.287
GHCL,68,0.6912,1.114,0.0354,2.409
SUNDRMFAST,68,0.6912,0.87,-0.0489,-3.326
CRISIL,55,0.6909,0.964,-0.0122,-0.673
SRF,42,0.6905,1.153,0.0436,1.831
BHEL,87,0.6897,0.935,-0.0238,-2.072
TIMKEN,48,0.6875,0.898,-0.0392,-1.882
BSE,99,0.6869,0.982,-0.0062,-0.617
UNIONBANK,83,0.6867,1.124,0.0365,3.031
BALMLAWRIE,67,0.6866,1.009,0.003,0.199
KEC,67,0.6866,0.854,-0.058,-3.888
J&KBANK,70,0.6857,0.898,-0.0374,-2.619
JBCHEPHARM,54,0.6852,1.015,0.0051,0.275
ONGC,57,0.6842,0.955,-0.0138,-0.789
BERGEPAINT,38,0.6842,2.177,0.1803,6.852
COLPAL,41,0.6829,1.172,0.0469,1.924
AXISBANK,41,0.6829,1.629,0.1214,4.977
BALRAMCHIN,63,0.6825,1.083,0.0262,1.65
ASTERDM,63,0.6825,0.964,-0.0124,-0.782
GSPL,63,0.6825,0.893,-0.0402,-2.532
BRIGADE,66,0.6818,0.921,-0.0292,-1.929
AFFLE,66,0.6818,0.817,-0.0749,-4.945
CUMMINSIND,66,0.6818,1.131,0.0394,2.602
KEI,69,0.6812,0.99,-0.0034,-0.234
BASF,47,0.6809,0.83,-0.0676,-3.175
CARBORUNIV,47,0.6809,0.892,-0.0402,-1.887
BDL,72,0.6806,0.873,-0.0484,-3.482
PAYTM,78,0.6795,0.832,-0.0685,-5.342
VOLTAS,53,0.6792,0.982,-0.0061,-0.321
GAIL,53,0.6792,0.915,-0.0298,-1.579
CHALET,56,0.6786,0.746,-0.1078,-6.036
EIHOTEL,56,0.6786,0.888,-0.0402,-2.249
TATAPOWER,56,0.6786,1.044,0.0138,0.775
KRBL,87,0.6782,0.875,-0.0483,-4.204
APOLLOTYRE,59,0.678,1.029,0.0095,0.559
WIPRO,62,0.6774,1.295,0.0771,4.779
IEX,68,0.6765,1.025,0.008,0.541
DRREDDY,34,0.6765,1.515,0.1024,3.481
BLUESTARCO,68,0.6765,0.833,-0.0641,-4.362
GICRE,68,0.6765,0.875,-0.0473,-3.214
ECLERX,71,0.6761,0.82,-0.0736,-5.226
TATACONSUM,37,0.6757,1.012,0.0038,0.142
ADANIGREEN,74,0.6757,0.864,-0.0511,-3.783
POWERGRID,40,0.675,1.029,0.009,0.361
DELHIVERY,49,0.6735,1.052,0.0162,0.795
DALBHARAT,49,0.6735,1.038,0.0118,0.576
FDC,55,0.6727,0.794,-0.0857,-4.716
JKLAKSHMI,64,0.6719,1.166,0.0479,3.064
RITES,70,0.6714,1.043,0.0136,0.952
CESC,73,0.6712,0.827,-0.0691,-5.043
NETWORK18,76,0.6711,0.769,-0.099,-7.527
JUSTDIAL,76,0.6711,0.886,-0.0423,-3.216
NBCC,82,0.6707,0.694,-0.1434,-11.759
LUXIND,66,0.6667,0.858,-0.0546,-3.601
BLUEDART,57,0.6667,1.051,0.015,0.854
VRLLOG,51,0.6667,0.89,-0.0405,-2.067
CGCL,48,0.6667,0.685,-0.1459,-7.002
SONATSOFTW,84,0.6667,0.77,-0.097,-8.148
TTKPRESTIG,45,0.6667,0.902,-0.0352,-1.583
VIPIND,45,0.6667,0.848,-0.0591,-2.661
BHARTIARTL,36,0.6667,1.183,0.0464,1.67
HAL,69,0.6667,1.068,0.0202,1.392
ALKEM,51,0.6667,1.328,0.0823,4.199
BATAINDIA,36,0.6667,0.801,-0.076,-2.738
HCLTECH,45,0.6667,0.986,-0.0046,-0.208
PAGEIND,39,0.6667,1.098,0.0288,1.125
GODREJCP,39,0.6667,1.474,0.0968,3.776
HDFCLIFE,30,0.6667,0.761,-0.0952,-2.857
LALPATHLAB,42,0.6667,0.924,-0.0268,-1.127
SUNPHARMA,33,0.6667,1.498,0.1016,3.353
NESTLEIND,30,0.6667,1.032,0.0103,0.308
ADANIPOWER,80,0.6625,0.864,-0.0509,-4.068
MIDHANI,77,0.6623,0.801,-0.0794,-6.117
ENDURANCE,68,0.6618,0.837,-0.0646,-4.393
COCHINSHIP,68,0.6618,0.828,-0.0689,-4.684
COFORGE,65,0.6615,0.859,-0.0531,-3.454
CROMPTON,62,0.6613,0.87,-0.0492,-3.051
VMART,56,0.6607,0.726,-0.1249,-6.995
NATIONALUM,109,0.6606,0.926,-0.0259,-2.821
KPRMILL,50,0.66,0.769,-0.0977,-4.884
RATNAMANI,47,0.6596,0.879,-0.0437,-2.053
JAMNAAUTO,47,0.6596,0.855,-0.0561,-2.636
IDBI,91,0.6593,0.916,-0.0302,-2.746
BIOCON,88,0.6591,0.964,-0.0122,-1.073
RAIN,85,0.6588,0.841,-0.0592,-5.034
EICHERMOT,41,0.6585,1.004,0.0012,0.051
GESHIP,79,0.6582,0.836,-0.0627,-4.953
INTELLECT,79,0.6582,0.683,-0.1502,-11.869
RELAXO,35,0.6571,0.761,-0.0991,-3.468
CENTRALBK,70,0.6571,0.956,-0.0148,-1.035
JKTYRE,70,0.6571,0.795,-0.0827,-5.788
OBEROIRLTY,67,0.6567,0.981,-0.0062,-0.416
BAJAJCON,64,0.6562,0.829,-0.0661,-4.229
ADVENZYMES,61,0.6557,0.738,-0.1161,-7.084
NAUKRI,61,0.6557,0.845,-0.0584,-3.561
MARUTI,29,0.6552,1.207,0.0563,1.632
AARTIIND,58,0.6552,0.915,-0.0306,-1.775
SYMPHONY,58,0.6552,0.826,-0.0678,-3.935
SHK,55,0.6545,0.837,-0.0637,-3.501
HINDUNILVR,26,0.6538,1.385,0.0813,2.114
ABFRL,52,0.6538,0.693,-0.1408,-7.321
GMDCLTD,121,0.6529,0.758,-0.1032,-12.49
ASHOKLEY,72,0.6528,1.072,0.0216,1.559
LT,46,0.6522,1.785,0.1434,6.597
CREDITACC,63,0.6508,0.805,-0.0786,-4.952
HEG,100,0.65,0.778,-0.0917,-9.174
NLCINDIA,94,0.6489,0.748,-0.1095,-10.289
NMDC,91,0.6484,1.178,0.0476,4.334
SOUTHBANK,54,0.6481,0.871,-0.0447,-2.416
AJANTPHARM,68,0.6471,0.773,-0.0952,-6.473
BRITANNIA,34,0.6471,0.812,-0.0699,-2.377
JSWSTEEL,51,0.6471,1.241,0.0627,3.199
TVSMOTOR,68,0.6471,0.921,-0.0274,-1.864
IPCALAB,51,0.6471,0.679,-0.1532,-7.811
IGL,68,0.6471,0.713,-0.1256,-8.539
IFBIND,68,0.6471,0.632,-0.1884,-12.814
GILLETTE,65,0.6462,0.773,-0.0916,-5.951
IRCON,79,0.6456,0.896,-0.0376,-2.967
NCC,62,0.6452,0.895,-0.036,-2.229
DMART,62,0.6452,0.812,-0.0701,-4.344
GODREJPROP,76,0.6447,0.816,-0.0705,-5.361
RADICO,59,0.6441,0.718,-0.1202,-7.093
OFSS,73,0.6438,0.723,-0.1173,-8.563
NIACL,87,0.6437,0.728,-0.1164,-10.13
SIEMENS,70,0.6429,0.79,-0.0857,-5.999
KANSAINER,42,0.6429,0.946,-0.0182,-0.763
MINDACORP,70,0.6429,0.859,-0.0526,-3.679
TORNTPOWER,70,0.6429,0.656,-0.1637,-11.458
AMBUJACEM,53,0.6415,0.897,-0.0321,-1.699
GPPL,78,0.641,0.736,-0.1094,-8.534
BAJAJFINSV,39,0.641,1.065,0.0192,0.747
CHAMBLFERT,64,0.6406,0.69,-0.1439,-9.207
HEROMOTOCO,64,0.6406,0.913,-0.0293,-1.876
ENGINERSIN,89,0.6404,0.655,-0.1665,-14.816
TECHM,50,0.64,0.948,-0.0169,-0.846
CIPLA,25,0.64,0.828,-0.0522,-1.306
GRAPHITE,100,0.64,0.771,-0.0948,-9.484
BANKINDIA,75,0.64,0.97,-0.0098,-0.738
COALINDIA,50,0.64,0.873,-0.0441,-2.204
AUROPHARMA,50,0.64,0.876,-0.0435,-2.173
TATAELXSI,50,0.64,0.801,-0.0783,-3.917
HINDALCO,69,0.6377,0.824,-0.0647,-4.461
ASHOKA,69,0.6377,0.801,-0.0786,-5.422
NATCOPHARM,80,0.6375,0.856,-0.0527,-4.214
IRB,66,0.6364,0.798,-0.0768,-5.071
BHARATFORG,66,0.6364,0.847,-0.0576,-3.804
VBL,55,0.6364,0.916,-0.0277,-1.523
LICHSGFIN,66,0.6364,0.856,-0.052,-3.429
GODREJIND,44,0.6364,0.708,-0.1315,-5.788
CYIENT,63,0.6349,0.8,-0.0753,-4.741
TRENT,63,0.6349,0.781,-0.0889,-5.604
BSOFT,79,0.6329,0.781,-0.0874,-6.906
THYROCARE,68,0.6324,0.648,-0.1717,-11.672
BEML,106,0.6321,0.7,-0.1314,-13.925
NTPC,38,0.6316,0.758,-0.1009,-3.833
RELIANCE,38,0.6316,1.935,0.1373,5.219
TORNTPHARM,38,0.6316,0.782,-0.0833,-3.167
DELTACORP,76,0.6316,0.776,-0.0879,-6.682
SOLARINDS,65,0.6308,0.73,-0.1087,-7.067
SFL,65,0.6308,0.777,-0.0894,-5.814
ABCAPITAL,73,0.6301,0.66,-0.1553,-11.337
MFSL,54,0.6296,0.7,-0.127,-6.856
PETRONET,54,0.6296,0.895,-0.0365,-1.973
ICICIBANK,27,0.6296,1.163,0.0416,1.122
TIINDIA,62,0.629,0.828,-0.0652,-4.04
CHOLAHLDNG,70,0.6286,0.706,-0.1312,-9.182
ICICIPRULI,59,0.6271,0.765,-0.0964,-5.69
IOC,59,0.6271,0.972,-0.0083,-0.487
PRAJIND,72,0.625,0.647,-0.1704,-12.268
EXIDEIND,56,0.625,0.763,-0.095,-5.317
MUTHOOTFIN,64,0.625,0.649,-0.1662,-10.636
ICICIGI,40,0.625,0.832,-0.0622,-2.488
DEEPAKNTR,56,0.625,0.786,-0.0802,-4.492
BAJAJHLDNG,56,0.625,0.884,-0.0398,-2.227
CANBK,69,0.6232,0.818,-0.0648,-4.473
DCBBANK,61,0.623,0.699,-0.1308,-7.981
ELGIEQUIP,61,0.623,0.724,-0.1164,-7.103
PNCINFRA,61,0.623,0.862,-0.0501,-3.053
BIRLACORPN,53,0.6226,0.838,-0.0601,-3.184
ZEEL,82,0.622,0.737,-0.1089,-8.932
CHENNPETRO,82,0.622,0.779,-0.0868,-7.116
FORTIS,74,0.6216,0.756,-0.097,-7.179
PFIZER,58,0.6207,0.897,-0.0349,-2.025
DIVISLAB,50,0.62,0.804,-0.0732,-3.658
BAJAJELEC,50,0.62,0.761,-0.0952,-4.761
PIIND,42,0.619,0.712,-0.117,-4.915
CASTROLIND,63,0.619,0.788,-0.0823,-5.186
TRIDENT,55,0.6182,0.906,-0.0312,-1.714
UBL,34,0.6176,1.035,0.0101,0.343
RBLBANK,81,0.6173,0.645,-0.1685,-13.647
SUZLON,60,0.6167,0.684,-0.1394,-8.362
GNFC,60,0.6167,0.859,-0.0491,-2.949
GULFOILLUB,78,0.6154,0.762,-0.0959,-7.478
ORIENTELEC,39,0.6154,0.641,-0.1725,-6.728
MANAPPURAM,65,0.6154,0.785,-0.0822,-5.344
AIAENG,52,0.6154,0.703,-0.1256,-6.533
MOTILALOFS,91,0.6154,0.613,-0.1922,-17.494
MRF,39,0.6154,0.683,-0.1325,-5.168
RVNL,83,0.6145,0.716,-0.1199,-9.953
ADANIPORTS,57,0.614,0.803,-0.0753,-4.29
