family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 1.5, 'vwap_align': True}",0.5,0.3,12,30,3476,0.382,0.3737,-0.2669,0.865,-2.414,90.138,-77.18,65.8,0.0,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 1.5, 'vwap_align': True}",0.8,0.4,24,30,3476,0.3777,0.5315,-0.3514,0.918,-1.32,87.005,-62.17,65.8,0.0,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 1.5, 'vwap_align': True}",1.0,0.5,36,30,3476,0.4033,0.6252,-0.4235,0.998,-0.032,40.06,-1.78,65.8,0.0,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 1.5, 'vwap_align': True}",1.5,0.7,48,30,3476,0.4275,0.7451,-0.5306,1.049,0.71,29.481,51.35,65.8,0.8649,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 1.5, 'vwap_align': True}",2.0,1.0,60,30,3476,0.4505,0.811,-0.6291,1.057,0.798,29.96,68.41,65.8,1.0327,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 0.8, 'vwap_align': True}",0.5,0.3,12,30,3950,0.4048,0.3465,-0.2567,0.918,-1.569,63.908,-49.38,74.8,0.0,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 0.8, 'vwap_align': True}",0.8,0.4,24,30,3950,0.4013,0.495,-0.3336,0.995,-0.096,41.668,-4.34,74.8,0.0,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 0.8, 'vwap_align': True}",1.0,0.5,36,30,3950,0.4246,0.5805,-0.4071,1.052,0.86,36.336,48.06,74.8,1.0603,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 0.8, 'vwap_align': True}",1.5,0.7,48,30,3950,0.44,0.6912,-0.5085,1.068,1.031,32.555,76.46,74.8,1.3372,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 0.8, 'vwap_align': True}",2.0,1.0,60,30,3950,0.4567,0.7628,-0.5855,1.095,1.322,31.857,119.63,74.8,1.826,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.0, 'vwap_align': True}",0.5,0.3,12,30,3664,0.399,0.3491,-0.2558,0.906,-1.724,67.335,-52.89,69.4,0.0,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.0, 'vwap_align': True}",0.8,0.4,24,30,3664,0.4007,0.4966,-0.3337,0.995,-0.082,44.582,-3.67,69.4,0.0,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.0, 'vwap_align': True}",1.0,0.5,36,30,3664,0.42,0.5876,-0.405,1.051,0.804,35.188,43.65,69.4,0.9712,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.0, 'vwap_align': True}",1.5,0.7,48,30,3664,0.4421,0.6893,-0.5073,1.077,1.116,38.059,79.86,69.4,1.4538,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.0, 'vwap_align': True}",2.0,1.0,60,30,3664,0.4596,0.757,-0.5826,1.105,1.417,34.705,121.35,69.4,1.9694,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.5, 'vwap_align': True}",0.5,0.3,12,30,2590,0.3807,0.3689,-0.2653,0.855,-2.311,73.439,-61.84,49.1,0.0,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.5, 'vwap_align': True}",0.8,0.4,24,30,2590,0.39,0.527,-0.3512,0.959,-0.585,54.035,-22.57,49.1,0.0,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.5, 'vwap_align': True}",1.0,0.5,36,30,2590,0.4158,0.621,-0.4226,1.046,0.654,37.729,29.39,49.1,0.7453,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.5, 'vwap_align': True}",1.5,0.7,48,30,2590,0.4425,0.7325,-0.5343,1.088,1.162,28.376,67.97,49.1,1.4663,0
volume_thrust,"{'vol_mult': 4.0, 'thrust_atr': 1.5, 'vwap_align': True}",2.0,1.0,60,30,2590,0.4656,0.8023,-0.6342,1.102,1.26,31.769,89.82,49.1,1.6945,0
