variant,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
55_vol_3x_200sma,IS,267,108,159,40.45,21386.0,-7654.0,52.1,1.9,1092779.0,10.28,0.93,22.1,0.47,1629983.0
55_vol_3x_200sma,OOS,175,78,97,44.57,12924.0,-5386.0,35.8,1.93,485612.0,12.88,1.21,7.76,1.66,1437396.0
55_vol_3x_adx,IS,258,98,160,37.98,18270.0,-7037.0,40.3,1.59,664483.0,7.59,0.72,19.02,0.4,1440690.0
55_vol_3x_adx,OOS,145,65,80,44.83,12542.0,-5380.0,34.4,1.89,384797.0,10.77,1.09,8.63,1.25,1358554.0
55_vol_3x_atr_floor,IS,295,121,174,41.02,20498.0,-7589.0,51.8,1.88,1159763.0,10.98,0.92,22.11,0.5,1682307.0
55_vol_3x_atr_floor,OOS,175,79,96,45.14,13080.0,-5455.0,36.7,1.97,509656.0,13.47,1.25,7.74,1.74,1460228.0
