variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
baseline,5451,1741,3710,31.94,205.0,-746.0,0.13,-2410519.0,36063.0,2446582.0,490,0.0,-27.75,2410519.0,803.51,0.0
stoch,3882,1173,2709,30.22,218.0,-747.0,0.13,-1766781.0,-25039.0,1741742.0,482,0.0,-23.17,1766781.0,588.93,0.0
rsi,2584,791,1793,30.61,219.0,-814.0,0.12,-1285991.0,-126969.0,1159022.0,464,0.0,-20.21,1286201.0,428.73,0.0
stoch_and_rsi,1564,488,1076,31.2,249.0,-811.0,0.14,-751086.0,-49817.0,701268.0,439,0.0,-15.95,751666.0,250.56,0.0
