variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
both_2.0s,1506,377,1129,25.03,1003.0,-962.0,0.35,-708201.0,-32857.0,675344.0,436,0.0,-10.24,708201.0,236.07,0.0
both_2.5s,1313,315,998,23.99,1066.0,-962.0,0.35,-624264.0,-35564.0,588700.0,425,0.0,-9.86,624264.0,208.09,0.0
both_3.0s,1083,250,833,23.08,1153.0,-959.0,0.36,-510696.0,-25265.0,485431.0,413,0.0,-8.71,510696.0,170.23,0.0
long_2.5s,690,180,510,26.09,1133.0,-976.0,0.41,-293970.0,15078.0,309047.0,292,-96.57,-6.41,293970.0,97.99,-0.99
short_2.5s,623,135,488,21.67,976.0,-947.0,0.29,-330294.0,-50641.0,279653.0,292,0.0,-11.62,330584.0,110.19,0.0
