variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,HINDUNILVR,2024-03-18,LONG,2024-03-18T11:40:00,2303.95,2301.07,2306.83,130,2.88,-2.04,2024-03-18T11:50:00,2306.83,TARGET,374.21,-75.34
baseline,HINDUNILVR,2024-03-19,LONG,2024-03-19T11:35:00,2265.00,2261.25,2268.75,132,3.75,-2.09,2024-03-19T12:05:00,2268.75,TARGET,495.00,46.16
baseline,HINDUNILVR,2024-03-22,SHORT,2024-03-22T11:35:00,2258.85,2264.11,2253.59,132,5.26,2.37,2024-03-22T11:45:00,2264.11,STOP,-693.94,-1141.72
baseline,HINDUNILVR,2024-03-26,SHORT,2024-03-26T12:05:00,2248.85,2252.06,2245.64,133,3.21,1.89,2024-03-26T12:10:00,2245.64,TARGET,427.50,-20.82
baseline,HINDUNILVR,2024-03-27,LONG,2024-03-27T12:30:00,2242.50,2239.48,2245.52,133,3.02,-2.84,2024-03-27T12:50:00,2245.52,TARGET,401.37,-46.30
baseline,HINDUNILVR,2024-03-28,SHORT,2024-03-28T11:35:00,2260.70,2263.79,2257.61,132,3.09,3.27,2024-03-28T11:45:00,2263.79,STOP,-407.79,-855.71
baseline,HINDUNILVR,2024-04-01,SHORT,2024-04-01T11:50:00,2289.65,2292.30,2287.00,131,2.65,2.95,2024-04-01T11:55:00,2292.30,STOP,-346.68,-796.86
baseline,HINDUNILVR,2024-04-02,SHORT,2024-04-02T12:35:00,2290.05,2292.40,2287.70,131,2.35,2.24,2024-04-02T12:50:00,2292.40,STOP,-308.32,-758.54
baseline,HINDUNILVR,2024-04-03,SHORT,2024-04-03T11:35:00,2273.80,2275.44,2272.16,131,1.64,3.10,2024-04-03T11:40:00,2272.16,TARGET,215.21,-231.43
baseline,HINDUNILVR,2024-04-04,SHORT,2024-04-04T12:10:00,2269.60,2273.42,2265.78,132,3.83,2.14,2024-04-04T12:35:00,2273.42,STOP,-504.90,-954.66
baseline,HINDUNILVR,2024-04-05,SHORT,2024-04-05T12:45:00,2274.80,2277.19,2272.41,131,2.39,1.85,2024-04-05T13:05:00,2277.19,STOP,-313.46,-760.70
baseline,HINDUNILVR,2024-04-08,LONG,2024-04-08T13:20:00,2273.00,2270.69,2275.31,131,2.31,-2.06,2024-04-08T13:25:00,2270.69,STOP,-303.17,-749.59
baseline,HINDUNILVR,2024-04-09,LONG,2024-04-09T11:40:00,2264.00,2262.34,2265.66,132,1.66,-2.86,2024-04-09T12:00:00,2262.34,STOP,-218.74,-666.85
baseline,HINDUNILVR,2024-04-10,LONG,2024-04-10T13:10:00,2261.20,2259.69,2262.71,132,1.51,-1.87,2024-04-10T13:20:00,2262.71,TARGET,199.41,-248.45
baseline,HINDUNILVR,2024-04-12,LONG,2024-04-12T12:20:00,2243.20,2241.21,2245.19,133,1.99,-2.53,2024-04-12T12:35:00,2241.21,STOP,-264.10,-711.42
baseline,HINDUNILVR,2024-04-15,LONG,2024-04-15T12:20:00,2193.20,2191.20,2195.20,136,2.00,-1.99,2024-04-15T12:30:00,2195.20,TARGET,272.00,-175.62
baseline,HINDUNILVR,2024-04-16,SHORT,2024-04-16T11:35:00,2208.10,2211.36,2204.84,135,3.26,5.11,2024-04-16T11:45:00,2204.84,TARGET,440.20,-6.61
baseline,HINDUNILVR,2024-04-18,SHORT,2024-04-18T13:05:00,2231.50,2233.69,2229.31,134,2.19,1.91,2024-04-18T13:25:00,2229.31,TARGET,293.36,-154.95
baseline,HINDUNILVR,2024-04-19,SHORT,2024-04-19T12:15:00,2231.00,2235.66,2226.34,134,4.66,2.58,2024-04-19T12:20:00,2235.66,STOP,-624.54,-1073.44
baseline,HINDUNILVR,2024-04-23,SHORT,2024-04-23T11:35:00,2267.00,2269.35,2264.65,132,2.35,3.81,2024-04-23T12:10:00,2269.35,STOP,-309.73,-758.83
baseline,HINDUNILVR,2024-04-24,LONG,2024-04-24T12:40:00,2250.05,2248.07,2252.03,133,1.98,-2.01,2024-04-24T12:45:00,2252.03,TARGET,263.62,-185.46
baseline,HINDUNILVR,2024-04-25,SHORT,2024-04-25T12:20:00,2228.30,2230.48,2226.12,134,2.18,2.17,2024-04-25T12:25:00,2230.48,STOP,-292.41,-740.51
baseline,HINDUNILVR,2024-04-26,LONG,2024-04-26T12:25:00,2237.05,2233.53,2240.57,134,3.52,-2.03,2024-04-26T12:35:00,2240.57,TARGET,471.87,21.87
baseline,HINDUNILVR,2024-05-03,LONG,2024-05-03T11:45:00,2208.05,2204.79,2211.31,135,3.26,-2.27,2024-05-03T12:00:00,2211.31,TARGET,440.20,-7.26
baseline,HINDUNILVR,2024-05-06,SHORT,2024-05-06T11:40:00,2234.90,2239.29,2230.51,134,4.39,1.97,2024-05-06T11:55:00,2239.29,STOP,-588.64,-1038.30
baseline,HINDUNILVR,2024-05-07,SHORT,2024-05-07T11:35:00,2362.00,2369.76,2354.24,127,7.76,3.20,2024-05-07T12:35:00,2369.76,STOP,-985.61,-1436.31
baseline,HINDUNILVR,2024-05-09,LONG,2024-05-09T12:50:00,2325.30,2321.49,2329.11,129,3.81,-3.51,2024-05-09T13:00:00,2329.11,TARGET,491.58,41.27
baseline,HINDUNILVR,2024-05-10,SHORT,2024-05-10T12:45:00,2350.85,2354.39,2347.31,127,3.54,1.84,2024-05-10T13:00:00,2354.39,STOP,-449.04,-897.21
baseline,HINDUNILVR,2024-05-14,LONG,2024-05-14T11:35:00,2358.00,2355.09,2360.91,127,2.91,-2.05,2024-05-14T12:00:00,2360.91,TARGET,369.21,-80.27
baseline,HINDUNILVR,2024-05-15,LONG,2024-05-15T11:35:00,2328.60,2324.88,2332.32,128,3.72,-2.30,2024-05-15T11:55:00,2332.32,TARGET,475.89,28.44
baseline,HINDUNILVR,2024-05-22,SHORT,2024-05-22T11:35:00,2369.35,2373.70,2365.00,126,4.35,3.39,2024-05-22T12:05:00,2365.00,TARGET,548.55,101.15
baseline,HINDUNILVR,2024-05-23,SHORT,2024-05-23T12:35:00,2375.00,2378.28,2371.72,126,3.28,2.09,2024-05-23T12:45:00,2371.72,TARGET,413.55,-35.01
baseline,HINDUNILVR,2024-05-27,SHORT,2024-05-27T11:35:00,2389.85,2393.98,2385.72,125,4.13,1.97,2024-05-27T11:45:00,2393.98,STOP,-516.07,-964.56
baseline,HINDUNILVR,2024-05-28,SHORT,2024-05-28T11:40:00,2403.45,2407.18,2399.72,124,3.73,1.88,2024-05-28T11:55:00,2399.72,TARGET,462.79,16.09
baseline,HINDUNILVR,2024-05-29,LONG,2024-05-29T12:20:00,2373.95,2371.18,2376.72,126,2.77,-1.93,2024-05-29T12:35:00,2371.18,STOP,-349.20,-797.61
baseline,HINDUNILVR,2024-05-30,LONG,2024-05-30T13:30:00,2348.15,2343.71,2352.59,127,4.44,-2.75,2024-05-30T13:35:00,2343.71,STOP,-564.24,-1011.14
baseline,HINDUNILVR,2024-05-31,LONG,2024-05-31T13:05:00,2351.20,2347.69,2354.71,127,3.51,-2.47,2024-05-31T13:20:00,2354.71,TARGET,446.31,-1.92
baseline,HINDUNILVR,2024-06-03,LONG,2024-06-03T12:00:00,2359.10,2355.91,2362.29,127,3.19,-2.41,2024-06-03T12:25:00,2355.91,STOP,-405.49,-854.60
