date,baseline,stoch,rsi,stoch_and_rsi
2024-08-27,-6162.99,-5585.34,-6710.53,-4286.26
2024-08-28,-2596.32,-1461.67,-1792.15,-1792.15
2024-08-29,-9402.87,-6088.34,-5423.03,-3731.86
2024-08-30,-901.53,-46.97,0.00,0.00
2024-09-02,-6688.17,-7567.57,-1028.09,-809.56
2024-09-03,-4325.62,-4797.94,-1056.44,-1235.28
2024-09-04,-3514.89,-3364.20,-2768.00,-1029.15
2024-09-05,-2067.81,-3724.31,-2567.45,-1702.30
2024-09-06,-3519.67,-1130.76,-2054.94,-1012.01
2024-09-09,-6200.19,-1252.17,-1500.33,-1230.31
2024-09-10,-8296.96,-3600.06,-2201.42,-12.83
2024-09-11,-8754.22,-7658.53,-4320.46,-3180.45
2024-09-12,-4082.22,-3494.30,-1138.39,0.00
2024-09-13,-5012.79,-2974.20,-1055.96,-738.47
2024-09-16,-3192.41,-3904.10,-4013.16,-2077.28
2024-09-17,-5749.13,-1928.54,-1311.81,-954.70
2024-09-18,-4612.63,-5887.03,-3042.20,-1475.32
2024-09-19,-8169.47,-4414.93,-5396.16,-3051.26
2024-09-20,-7583.64,-2550.95,-3109.77,-2837.81
2024-09-23,-1557.52,108.27,-642.67,108.27
2024-09-24,-10635.39,-5961.88,-4758.07,-4660.87
2024-09-25,-6637.74,-4618.94,-2857.06,-460.55
2024-09-26,-4545.76,-4790.45,-6229.82,456.00
2024-09-27,-3629.89,-4440.88,856.73,-642.59
2024-09-30,-5050.46,-4869.83,-1759.75,-387.39
2024-10-01,276.18,309.84,302.48,309.84
2024-10-03,-4541.07,-3623.23,-2478.73,385.59
2024-10-04,-10481.70,-6793.77,-9088.38,-6815.63
2024-10-07,-3117.65,-2711.99,-2676.89,-1595.18
2024-10-08,-1765.31,-5351.80,656.63,-3398.38
2024-10-09,-971.69,-837.71,-776.79,0.00
2024-10-10,-3062.19,-6636.35,-4258.42,-1642.73
2024-10-11,-6158.04,-1145.45,-607.99,-543.34
2024-10-14,-6631.11,-4858.99,-2250.47,-1775.20
2024-10-15,-3078.94,-4350.21,51.20,-915.31
2024-10-16,-10589.12,-6344.25,-4745.20,-3557.26
2024-10-17,-2152.77,-1264.93,-1264.93,-1264.93
2024-10-18,-6303.52,-2449.73,-150.56,244.06
2024-10-21,-2541.73,-3742.65,-2747.67,-1792.31
2024-10-22,-4047.32,-5946.52,-2753.72,-5946.52
2024-10-23,-5561.31,-1303.71,537.65,0.00
2024-10-24,-8304.04,-6038.13,-2914.29,-1150.43
2024-10-25,-1039.88,-1010.92,0.00,0.00
2024-10-28,-8963.58,-4367.54,595.81,-2269.40
2024-10-29,-8613.31,-3067.65,-5501.04,23.03
2024-10-30,-3720.92,-2594.09,-2088.56,-2212.00
