date,baseline,stoch,rsi,stoch_and_rsi
2026-02-06,-5228.46,-2043.26,735.78,-740.19
2026-02-09,-766.48,-98.14,0.00,0.00
2026-02-10,-4325.41,-1036.64,-2823.40,-985.06
2026-02-11,-5139.67,-3699.69,-2792.94,-1926.89
2026-02-12,-3150.94,-832.19,-664.06,211.71
2026-02-13,-6535.02,-5304.68,-3511.84,-2810.35
2026-02-16,-1191.73,-4872.97,-3393.72,-1042.72
2026-02-17,-106.70,0.00,0.00,0.00
2026-02-18,-6388.72,-2845.78,-1811.17,-1304.29
2026-02-19,-9468.13,-5172.47,-6547.16,-3069.53
2026-02-20,-6167.11,-5306.93,-2687.10,-1619.29
2026-02-23,-2820.42,-2625.11,-3919.65,-2984.71
2026-02-24,-1022.83,-2650.25,-1228.49,-159.48
2026-02-25,-1727.94,-1789.36,-1716.57,-879.32
2026-02-26,-8145.86,-2738.05,-4120.43,-865.32
2026-02-27,-1628.78,-961.43,-1164.58,-1325.46
2026-03-02,-8575.62,-6215.65,-2942.71,-2155.23
2026-03-04,-1022.62,-4233.67,-3452.55,-3412.15
2026-03-05,-924.65,10.95,0.00,0.00
2026-03-06,-5919.28,-5318.08,-3057.14,-483.07
2026-03-09,-9532.48,-3158.66,-2875.23,-2189.25
2026-03-10,-6948.81,-3952.57,-3618.06,-1831.07
2026-03-11,-3947.75,-7655.16,-5139.75,-5091.51
2026-03-12,-6065.83,-6592.79,13.81,579.87
