variant,coverage,avg_lead,median_lead,fp_rate,score,n_continued_total,n_continued_flagged,n_correct_total,n_correct_flagged
D_strict_alone,0.9914529914529915,49.42995689655172,37.0,0.35648994515539306,31.536805262582224,936,928,547,195
D_strict_AND_B,0.8034188034188035,46.61436170212766,36.0,0.18647166361974407,30.467331520805015,936,752,547,102
D_2of3_alone,0.9903846153846154,49.49730312837109,37.0,0.3546617915904936,31.635361490023282,936,927,547,194
D_2of3_AND_B,0.8034188034188035,46.80186170212766,36.0,0.19012797074954296,30.452399646869484,936,752,547,104
D_cumulative_alone,0.9668803418803419,46.07182320441989,34.0,0.24680073126142596,33.55196956202441,936,905,547,135
D_cumulative_AND_B,0.7905982905982906,44.99189189189189,33.0,0.1316270566727605,30.88847091360802,936,740,547,72
D_new_high_alone,0.9903846153846154,51.87162891046386,39.0,0.4643510054844607,27.517822544102255,936,927,547,254
D_new_high_AND_B,0.8012820512820513,47.43333333333333,37.0,0.21755027422303475,29.73894123345677,936,750,547,119
