trigger,coverage,avg_lead,median_lead,fp_rate,score,n_continued_total,n_continued_flagged,n_correct_total,n_correct_flagged
A,0.9989316239316239,54.411764705882355,41.0,0.7568555758683729,13.215782668479196,936,935,547,414
B,0.8044871794871795,48.41434262948207,37.0,0.30347349177330896,27.128814512726763,936,753,547,166
C,0.9658119658119658,49.834070796460175,37.0,0.3656307129798903,30.532410662666603,936,904,547,200
D,0.9914529914529915,49.42995689655172,37.0,0.35648994515539306,31.536805262582224,936,928,547,195
D_AND_B,0.8034188034188035,46.61436170212766,36.0,0.18647166361974407,30.467331520805015,936,752,547,102
D_AND_C,0.9647435897435898,48.61904761904762,36.0,0.2906764168190128,33.27076204315693,936,903,547,159
