seg_idx,seg_dir,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome
0,-1,33,2020-01-03 12:45:00,12237.0,18.178736359576046,262.64999999999964,0.049999999999272404,TREND_CONTINUED
2,-1,71,2020-01-08 12:15:00,11995.4,35.58586691183499,14.350000000000364,40.75,CST_CORRECT
3,1,86,2020-01-09 13:15:00,12194.15,32.76348757852605,236.35000000000036,8.399999999999636,TREND_CONTINUED
4,-1,178,2020-01-20 13:45:00,12257.85,25.360925141472794,169.0500000000011,-0.2000000000007276,TREND_CONTINUED
5,1,224,2020-01-24 10:45:00,12229.3,26.02063353559069,42.75,73.69999999999891,CST_CORRECT
6,-1,247,2020-01-28 09:15:00,12150.6,26.129534544304235,534.8500000000004,18.799999999999272,TREND_CONTINUED
7,1,335,2020-02-04 14:15:00,11964.2,44.65854533679925,282.2999999999993,12.950000000000728,TREND_CONTINUED
8,-1,442,2020-02-17 09:15:00,12119.65,31.287660925588302,211.35000000000036,5.050000000001091,TREND_CONTINUED
9,1,477,2020-02-19 13:45:00,12099.5,29.226132473780087,51.70000000000073,27.600000000000364,TREND_CONTINUED
10,-1,506,2020-02-24 15:15:00,11835.85,30.192191616271153,3359.7000000000007,47.04999999999927,TREND_CONTINUED
11,1,672,2020-03-13 13:45:00,9970.55,200.64467913136883,56.55000000000109,952.4499999999989,CST_CORRECT
12,-1,704,2020-03-18 10:15:00,8879.0,144.0234180113072,1044.3999999999996,6.200000000000728,TREND_CONTINUED
14,-1,745,2020-03-23 11:15:00,7828.7,197.66434006958514,316.4499999999998,546.9499999999998,CST_CORRECT
15,1,783,2020-03-26 10:45:00,8599.45,139.55274992403122,439.0499999999993,355.0,TREND_CONTINUED
16,-1,843,2020-04-01 14:45:00,8251.95,80.78344508990892,195.7500000000009,215.14999999999964,CST_CORRECT
17,1,867,2020-04-07 13:45:00,8687.45,78.13299684238261,702.75,29.100000000000364,TREND_CONTINUED
18,-1,971,2020-04-21 13:45:00,8943.45,61.13593895009247,4.450000000000728,307.34999999999854,CST_CORRECT
19,1,991,2020-04-23 10:45:00,9261.2,54.92713810216579,627.8499999999985,118.95000000000073,TREND_CONTINUED
20,-1,1070,2020-05-04 11:15:00,9364.05,64.548247933962,319.9499999999989,85.95000000000073,TREND_CONTINUED
21,-1,1188,2020-05-15 11:45:00,9066.0,48.830940037461914,258.5,99.54999999999927,TREND_CONTINUED
22,1,1238,2020-05-21 10:45:00,9129.7,47.669692019535155,1197.949999999999,160.5,TREND_CONTINUED
23,-1,1404,2020-06-10 09:15:00,10072.6,54.104760181230425,527.6499999999996,75.04999999999927,TREND_CONTINUED
24,1,1460,2020-06-16 11:15:00,9954.2,64.80958071282454,598.5499999999993,225.20000000000073,TREND_CONTINUED
25,-1,1555,2020-06-25 13:15:00,10313.9,56.86528974609083,89.94999999999891,132.75,CST_CORRECT
26,1,1615,2020-07-02 10:45:00,10505.5,42.222652528457154,387.9500000000007,14.350000000000364,TREND_CONTINUED
27,-1,1720,2020-07-14 11:15:00,10664.95,41.83391307964558,101.70000000000073,145.5,CST_CORRECT
28,1,1739,2020-07-15 14:15:00,10691.1,46.23617750483729,649.9499999999989,112.25,TREND_CONTINUED
29,-1,1885,2020-07-31 09:15:00,11130.55,44.31472689325628,248.1999999999989,19.5,TREND_CONTINUED
30,1,1926,2020-08-05 10:15:00,11196.5,41.17858374114402,176.35000000000036,131.60000000000036,TREND_CONTINUED
31,-1,2027,2020-08-14 15:15:00,11183.05,35.252369062811354,37.69999999999891,139.3000000000011,CST_CORRECT
32,1,2055,2020-08-19 09:45:00,11432.15,33.78366662422235,362.0,142.0,TREND_CONTINUED
33,-1,2165,2020-08-31 12:45:00,11513.15,42.41952748830352,327.85000000000036,71.39999999999964,TREND_CONTINUED
34,1,2275,2020-09-11 09:15:00,11448.6,40.31074120483688,169.0,64.85000000000036,TREND_CONTINUED
35,-1,2363,2020-09-21 14:15:00,11315.3,39.59492622597866,524.4499999999989,2.25,TREND_CONTINUED
36,1,2424,2020-09-28 12:15:00,11193.3,51.89805334420554,830.1500000000015,11.75,TREND_CONTINUED
37,-1,2587,2020-10-16 09:15:00,11736.4,50.03908138832989,67.94999999999891,187.5500000000011,CST_CORRECT
38,1,2618,2020-10-20 11:45:00,11938.8,39.29430576174095,79.30000000000109,102.5,CST_CORRECT
39,-1,2637,2020-10-21 14:45:00,11950.05,46.28500722334518,413.9499999999989,24.200000000000728,TREND_CONTINUED
40,1,2757,2020-11-04 09:45:00,11861.75,48.98331893795655,1101.1499999999996,105.14999999999964,TREND_CONTINUED
41,-1,2907,2020-11-20 12:15:00,12757.9,46.002201159495264,-0.4500000000007276,209.60000000000036,CST_CORRECT
42,1,2931,2020-11-24 11:15:00,13012.2,44.89030376265859,132.4499999999989,49.5,TREND_CONTINUED
43,-1,2954,2020-11-26 09:45:00,12833.25,49.74305019843587,42.399999999999636,228.95000000000073,CST_CORRECT
44,1,2984,2020-12-01 11:45:00,13075.9,46.45187568217217,701.1000000000004,92.0,TREND_CONTINUED
45,-1,3181,2020-12-22 12:45:00,13278.6,71.51929344927098,11.950000000000728,302.25,CST_CORRECT
