combo,coverage,avg_lead,median_lead,fp_rate,score
D_AND_B,0.7970479704797048,48.47222222222222,36.5,0.12605042016806722,33.76476789977984
D_AND_C,0.9630996309963099,50.72030651340996,39.0,0.2605042016806723,36.12341467952494
D_OR_B,0.992619926199262,52.82899628252788,40.0,0.3865546218487395,32.16853235759248
D_OR_C,0.996309963099631,52.08148148148148,39.5,0.3949579831932773,31.39520605290087
