seg_idx,seg_dir,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome
0,-1,33,2020-01-03 12:45:00,12237.0,18.178736359576046,262.64999999999964,0.049999999999272404,TREND_CONTINUED
0,-1,37,2020-01-03 14:45:00,12227.0,18.86262137448981,252.64999999999964,5.700000000000728,TREND_CONTINUED
0,-1,46,2020-01-06 12:45:00,12019.8,24.906124731240187,45.44999999999891,5.650000000001455,TREND_CONTINUED
0,-1,50,2020-01-06 14:45:00,11994.35,25.116977787025103,6.25,6.199999999998909,NEUTRAL
2,-1,71,2020-01-08 12:15:00,11995.4,35.58586691183499,14.350000000000364,40.75,CST_CORRECT
3,1,86,2020-01-09 13:15:00,12194.15,32.76348757852605,236.35000000000036,8.399999999999636,TREND_CONTINUED
3,1,91,2020-01-10 09:15:00,12238.25,31.372643037300797,192.25,24.649999999999636,TREND_CONTINUED
3,1,96,2020-01-10 11:45:00,12300.1,28.985740881374372,130.39999999999964,86.5,TREND_CONTINUED
3,1,111,2020-01-13 12:45:00,12310.5,27.54141871999187,120.0,32.95000000000073,TREND_CONTINUED
3,1,117,2020-01-14 09:15:00,12330.6,26.42788962473284,99.89999999999964,53.05000000000109,TREND_CONTINUED
3,1,125,2020-01-14 13:15:00,12334.95,22.60645039239583,95.54999999999927,57.400000000001455,TREND_CONTINUED
3,1,130,2020-01-15 09:15:00,12305.3,23.833258924220125,125.20000000000073,27.75,TREND_CONTINUED
3,1,145,2020-01-16 10:15:00,12351.65,23.62585100228808,78.85000000000036,74.10000000000036,TREND_CONTINUED
3,1,160,2020-01-17 11:15:00,12347.0,22.797655438833754,83.5,69.45000000000073,TREND_CONTINUED
4,-1,178,2020-01-20 13:45:00,12257.85,25.360925141472794,169.0500000000011,-0.2000000000007276,TREND_CONTINUED
4,-1,182,2020-01-21 09:15:00,12219.7,27.015743556623264,130.90000000000146,10.349999999998545,TREND_CONTINUED
4,-1,195,2020-01-22 09:15:00,12192.8,26.788988515809177,104.0,28.05000000000109,TREND_CONTINUED
4,-1,202,2020-01-22 12:45:00,12135.2,25.440294684788487,46.400000000001455,85.64999999999964,CST_CORRECT
4,-1,206,2020-01-22 14:45:00,12106.9,25.246085476556512,11.25,113.95000000000073,CST_CORRECT
5,1,224,2020-01-24 10:45:00,12229.3,26.02063353559069,42.75,73.69999999999891,CST_CORRECT
5,1,232,2020-01-24 14:45:00,12248.75,23.764549402046075,6.549999999999272,93.14999999999964,CST_CORRECT
6,-1,247,2020-01-28 09:15:00,12150.6,26.129534544304235,534.8500000000004,18.799999999999272,TREND_CONTINUED
6,-1,252,2020-01-28 11:45:00,12136.35,26.739781800639467,520.6000000000004,33.04999999999927,TREND_CONTINUED
6,-1,259,2020-01-28 15:15:00,12061.95,28.075340180107663,446.2000000000007,107.44999999999891,TREND_CONTINUED
6,-1,277,2020-01-30 11:15:00,12057.3,30.135846156474525,441.5499999999993,43.25,TREND_CONTINUED
6,-1,283,2020-01-30 14:15:00,12033.65,28.33383017362255,417.89999999999964,66.89999999999964,TREND_CONTINUED
6,-1,292,2020-01-31 12:15:00,12000.35,31.56406840764352,384.60000000000036,52.100000000000364,TREND_CONTINUED
6,-1,300,2020-02-01 09:45:00,11975.35,35.805087673500296,359.60000000000036,41.29999999999927,TREND_CONTINUED
6,-1,313,2020-02-03 09:45:00,11709.6,58.189037105230575,59.899999999999636,216.10000000000036,CST_CORRECT
6,-1,319,2020-02-03 12:45:00,11700.7,53.85533848365075,35.850000000000364,225.0,CST_CORRECT
7,1,335,2020-02-04 14:15:00,11964.2,44.65854533679925,282.2999999999993,12.950000000000728,TREND_CONTINUED
