seg_idx,direction,first_cst_idx,outcome,entry_atm,safety_threshold,t_db,t_safety,category,db_lead_to_safety
0,-1,33,TREND_CONTINUED,12250,11750.0,,,neither,
2,-1,71,CST_CORRECT,11950,11450.0,,,neither,
3,1,86,TREND_CONTINUED,12200,12700.0,106.0,,DB_only,
4,-1,178,TREND_CONTINUED,12250,11750.0,,,neither,
5,1,224,CST_CORRECT,12250,12750.0,,,neither,
6,-1,247,TREND_CONTINUED,12100,11600.0,277.0,,DB_only,
7,1,335,TREND_CONTINUED,11950,12450.0,357.0,,DB_only,
8,-1,442,TREND_CONTINUED,12100,11600.0,,,neither,
9,1,477,TREND_CONTINUED,12100,12600.0,,,neither,
10,-1,506,TREND_CONTINUED,11950,11450.0,533.0,546.0,DB_first_then_safety,13.0
11,1,672,CST_CORRECT,9550,10050.0,,,neither,
12,-1,704,TREND_CONTINUED,8850,8350.0,,715.0,safety_only_VALUEADD,
14,-1,745,CST_CORRECT,7900,7400.0,,,neither,
15,1,783,TREND_CONTINUED,8700,9200.0,,,neither,
16,-1,843,CST_CORRECT,8200,7700.0,,,neither,
17,1,867,TREND_CONTINUED,8500,9000.0,889.0,873.0,safety_first_then_DB,-16.0
18,-1,971,CST_CORRECT,8950,8450.0,,,neither,
19,1,991,TREND_CONTINUED,9300,9800.0,1016.0,1053.0,DB_first_then_safety,37.0
20,-1,1070,TREND_CONTINUED,9400,8900.0,1092.0,,DB_only,
21,-1,1188,TREND_CONTINUED,9100,8600.0,1200.0,,DB_only,
22,1,1238,TREND_CONTINUED,9100,9600.0,1285.0,1313.0,DB_first_then_safety,28.0
23,-1,1404,TREND_CONTINUED,10050,9550.0,1424.0,1430.0,DB_first_then_safety,6.0
24,1,1460,TREND_CONTINUED,10000,10500.0,1495.0,1534.0,DB_first_then_safety,39.0
25,-1,1555,CST_CORRECT,10250,9750.0,,,neither,
26,1,1615,TREND_CONTINUED,10550,11050.0,1638.0,,DB_only,
27,-1,1720,CST_CORRECT,10650,10150.0,,,neither,
28,1,1739,TREND_CONTINUED,10800,11300.0,1759.0,1857.0,DB_first_then_safety,98.0
29,-1,1885,TREND_CONTINUED,11100,10600.0,1902.0,,DB_only,
30,1,1926,TREND_CONTINUED,11200,11700.0,1967.0,,DB_only,
31,-1,2027,CST_CORRECT,11150,10650.0,,,neither,
32,1,2055,TREND_CONTINUED,11350,11850.0,2102.0,,DB_only,
33,-1,2165,TREND_CONTINUED,11600,11100.0,2221.0,,DB_only,
34,1,2275,TREND_CONTINUED,11450,11950.0,2292.0,,DB_only,
35,-1,2363,TREND_CONTINUED,11300,10800.0,2386.0,2403.0,DB_first_then_safety,17.0
36,1,2424,TREND_CONTINUED,11150,11650.0,2453.0,2494.0,DB_first_then_safety,41.0
37,-1,2587,CST_CORRECT,11650,11150.0,,,neither,
38,1,2618,CST_CORRECT,11950,12450.0,2630.0,,DB_only,
39,-1,2637,TREND_CONTINUED,11850,11350.0,2674.0,,DB_only,
40,1,2757,TREND_CONTINUED,11900,12400.0,2773.0,2795.0,DB_first_then_safety,22.0
41,-1,2907,CST_CORRECT,12750,12250.0,,,neither,
42,1,2931,TREND_CONTINUED,13050,13550.0,,,neither,
43,-1,2954,CST_CORRECT,12850,12350.0,,,neither,
44,1,2984,TREND_CONTINUED,13100,13600.0,3005.0,3122.0,DB_first_then_safety,117.0
45,-1,3181,CST_CORRECT,13350,12850.0,,,neither,
46,1,3201,TREND_CONTINUED,13600,14100.0,3214.0,3278.0,DB_first_then_safety,64.0
47,-1,3411,CST_CORRECT,14450,13950.0,,,neither,
48,1,3439,TREND_CONTINUED,14600,15100.0,,,neither,
49,-1,3469,TREND_CONTINUED,14500,14000.0,3485.0,3495.0,DB_first_then_safety,10.0
50,1,3539,TREND_CONTINUED,14200,14700.0,3573.0,3551.0,safety_first_then_DB,-22.0
51,-1,3627,CST_CORRECT,15050,14550.0,,,neither,
52,1,3660,CST_CORRECT,15300,15800.0,,,neither,
53,-1,3701,TREND_CONTINUED,15150,14650.0,3716.0,3732.0,DB_first_then_safety,16.0
54,1,3752,CST_CORRECT,15150,15650.0,,,neither,
55,-1,3772,CST_CORRECT,14750,14250.0,,,neither,
56,1,3804,TREND_CONTINUED,14950,15450.0,,,neither,
57,-1,3893,TREND_CONTINUED,15000,14500.0,3921.0,3943.0,DB_first_then_safety,22.0
58,1,3984,CST_CORRECT,14900,15400.0,,,neither,
