trigger,coverage,avg_lead_bars,median_lead_bars,false_positive_rate,composite_score,continued_flagged_n,continued_total_n,correct_flagged_n,correct_total_n
A_new_5bar_extreme,0.996309963099631,56.266666666666666,44.0,0.7647058823529411,13.190362491860217,270,271,91,119
B_stoch_return_to_extreme,0.8007380073800738,50.096774193548384,39.0,0.20168067226890757,32.024093770349474,217,271,24,119
C_break_post_cst_extreme,0.9704797047970479,51.29277566539924,39.0,0.3445378151260504,32.627988464758594,263,271,41,119
D_two_closes_beyond,0.988929889298893,51.52985074626866,39.0,0.31092436974789917,35.11488728332662,268,271,37,119
E_stoch_midzone_cross,0.8523985239852399,47.04761904761905,34.0,0.4369747899159664,22.579180749790694,231,271,52,119
F_close_above_anchor_atm200,0.977859778597786,54.3811320754717,43.0,0.6386554621848739,19.215262488759343,265,271,76,119
F2_close_above_anchor_atm100,0.996309963099631,56.25185185185185,43.5,0.7563025210084033,13.657849855809486,270,271,90,119
