label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
A_athd_m000,A,16,0.0625,random,0.052,25.0,athdist,0.0,1,tv,0.0,month,0.0,10,18.275,18.13,18.53,-36.78,-36.81,0.497,0.492,18.275,-36.78,0.497,1.046,2007.0,92.5,45.7,17.38,-7.93,3.635,15.0,74.39,17.43,-33.07,19.045,-36.78,1880.0,814.0,253.0,1734.0,1367.0,2007.0,1489.0,1489.0,68.66,0.0,0.0,0.0,0.0,7128313.0,7063468.5,64839.0,8.536,605811.5,0.293,3.03,23.05,42826039.0,32.75,32.75,1.1114035332251648e+18,182525800480768.0,1,2.4
A_athd_m010,A,16,0.0625,random,0.052,25.0,athdist,10.0,1,tv,0.0,month,0.0,10,18.53,18.29,19.0,-35.05,-35.44,0.524,0.516,18.53,-35.05,0.524,1.072,1039.5,47.95,46.75,26.83,-9.96,7.214,16.0,74.18,17.55,-34.78,19.61,-35.05,1880.0,697.5,161.5,1498.0,1539.0,1039.5,456.5,2677.0,21.05,0.0,0.0,0.0,0.0,6085302.0,5987272.0,124294.0,4.009,492886.0,0.308,3.502,25.7,43598134.5,38.05,38.05,1.1156115566391984e+19,708428850790400.0,4,2.3
A_athd_m020,A,16,0.0625,random,0.052,25.0,athdist,20.0,1,tv,0.0,month,0.0,10,19.845,19.6,20.26,-38.475,-38.72,0.516,0.51,19.845,-38.475,0.516,1.132,708.5,32.65,48.3,36.095,-11.595,11.376,17.0,72.89,19.245,-32.59,20.34,-38.475,1880.0,500.5,41.0,1042.5,1900.5,708.5,31.0,2923.5,1.43,0.0,0.0,0.0,0.0,6969908.0,6041701.0,925612.5,2.521,539918.0,0.432,4.509,32.7,54770640.5,38.15,38.15,2.8659039958330245e+19,245398820093952.0,1,2.2
A_athd_m030,A,16,0.0625,random,0.052,25.0,athdist,30.0,1,tv,0.0,month,0.0,10,20.785,20.05,21.32,-32.65,-36.0,0.624,0.557,20.785,-32.65,0.624,1.183,691.0,31.9,49.1,36.585,-11.565,12.134,14.0,72.915,19.08,-32.59,22.51,-32.515,1880.0,474.5,41.0,991.0,1939.0,691.0,1.5,2926.0,0.07,0.0,0.0,0.0,0.0,8111726.0,7096086.5,1006613.0,2.508,553055.0,0.432,4.72,33.3,65125340.0,36.6,36.6,4.906690969502944e+20,4193794777939968.0,5,2.2
A_unre_m000,A,16,0.0625,random,0.052,25.0,unreal,0.0,1,tv,0.0,month,0.0,10,21.31,20.61,21.81,-40.73,-43.29,0.524,0.476,21.31,-40.73,0.524,1.148,1360.0,62.75,29.5,34.885,-5.555,6.391,22.0,73.485,19.63,-35.095,23.1,-40.73,1880.0,431.5,21.0,816.0,2170.5,1360.0,729.0,2331.0,33.62,0.0,0.0,0.0,0.0,10140860.0,8618310.5,1509063.5,5.801,655460.5,0.411,5.232,32.35,73182370.5,46.2,46.2,3.19963020601141e+20,2236487986839552.0,1,2.0
A_unre_m005,A,16,0.0625,random,0.052,25.0,unreal,5.0,1,tv,0.0,month,0.0,10,19.18,18.26,19.87,-35.2,-35.2,0.545,0.519,19.18,-35.2,0.545,1.082,893.5,41.2,39.5,35.595,-8.86,8.66,16.0,72.955,19.605,-33.29,18.485,-35.2,1880.0,434.0,21.0,863.0,2114.0,893.5,246.5,2765.5,11.37,0.0,0.0,0.0,0.0,7319864.5,6374154.5,849174.0,3.467,625971.0,0.412,4.845,33.05,49399956.5,48.65,48.65,1.6434594089292268e+18,15445419098112.0,1,2.3
A_unre_m010,A,16,0.0625,random,0.052,25.0,unreal,10.0,1,tv,0.0,month,0.0,10,22.5,21.73,23.11,-33.475,-36.73,0.665,0.599,22.5,-33.475,0.665,1.258,744.5,34.35,47.85,37.565,-10.74,12.442,15.0,73.11,20.42,-31.79,24.585,-33.475,1880.0,525.5,84.0,1017.5,1950.5,744.5,93.5,2911.5,4.31,0.0,0.0,0.0,0.0,10356920.5,8838522.5,1430767.5,2.743,634063.0,0.481,6.485,35.8,88899795.5,40.75,40.75,6.189898648805489e+22,2.450761081295995e+17,9,2.5
A_unre_m020,A,16,0.0625,random,0.052,25.0,unreal,20.0,1,tv,0.0,month,0.0,10,20.995,20.49,21.35,-33.765,-36.0,0.617,0.569,20.995,-33.765,0.617,1.192,683.0,31.45,49.3,36.815,-11.475,12.362,14.0,72.9,19.035,-32.59,22.995,-33.7,1880.0,466.0,41.0,984.5,1958.0,683.0,5.0,2937.5,0.23,0.0,0.0,0.0,0.0,8679815.0,7704136.5,972223.5,2.433,542968.5,0.406,4.742,32.55,68124956.5,34.45,34.45,1.8151668226124237e+21,1.6738030865874944e+16,5,2.5
A_held_m040,A,16,0.0625,random,0.052,25.0,held,40.0,1,tv,0.0,month,0.0,10,16.495,15.93,17.21,-41.59,-43.23,0.395,0.381,16.495,-41.59,0.395,0.919,1439.0,66.4,50.2,20.75,-11.645,4.618,20.0,73.05,16.33,-35.72,16.555,-41.59,1880.0,900.0,356.5,1892.5,1029.5,1439.0,742.0,2258.0,34.21,0.0,0.0,0.0,0.0,4637318.0,4637318.0,0.0,5.253,431247.5,0.257,2.499,19.35,29763881.0,29.55,29.55,1677561679577088.0,447644155904.0,4,2.0
A_held_m080,A,16,0.0625,random,0.052,25.0,held,80.0,1,tv,0.0,month,0.0,10,18.77,17.7,19.39,-36.9,-37.98,0.503,0.472,18.77,-36.9,0.503,1.047,1029.0,47.45,47.2,28.99,-11.94,7.467,17.5,72.295,15.95,-34.665,21.81,-36.9,1880.0,765.0,189.0,1608.0,1291.5,1029.0,313.5,2668.0,14.455,0.0,0.0,0.0,0.0,6577283.0,6577283.0,0.0,3.598,431313.5,0.296,3.184,23.3,45835554.5,40.6,40.6,1.8934827180883968e+18,194330216103936.0,6,1.9
