label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
CTRL_sel_rs_y052,CTRL,16,0.0625,rs,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.9,20.9,20.9,-32.64,-32.64,0.64,0.64,20.9,-32.64,0.64,1.191,693.0,32.0,49.5,36.52,-11.73,12.152,14.0,72.9,19.33,-32.64,22.4,-32.51,1880.0,465.0,41.0,987.0,1939.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703106.0,7661758.0,1041347.0,2.536,570582.0,0.443,5.78,34.5,67022114.0,36.4,36.4,7.528595720956197e+20,6942268636266496.0,16,2.8
CTRL_sel_age_y052,CTRL,16,0.0625,age,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.77,21.77,21.77,-36.77,-36.77,0.592,0.592,21.77,-36.77,0.592,1.216,681.0,31.4,49.8,37.81,-11.83,12.882,13.0,72.81,19.54,-32.58,23.96,-36.77,1880.0,481.0,53.0,978.0,1960.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9174593.0,8038172.0,1136422.0,2.427,552616.0,0.448,4.758,33.9,77721130.0,39.2,39.2,7.905443145500701e+21,5.943931083476173e+16,16,2.6
BASE_rand_y053,BASE,16,0.0625,random,0.053,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.005,20.12,21.64,-34.85,-36.89,0.611,0.559,21.005,-34.85,0.611,1.194,689.5,31.8,49.0,37.165,-11.61,12.272,14.0,72.915,19.2,-32.575,22.78,-34.85,1880.0,472.5,41.0,982.5,1945.5,689.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8453738.0,7443065.5,1002033.5,2.491,550802.0,0.429,4.825,33.1,68105478.0,36.65,36.65,8.365105574743061e+20,6914776282169344.0,21,3.2
BASE_tv_y053,BASE,16,0.0625,tv,0.053,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.7,21.7,21.7,-32.54,-32.54,0.667,0.667,21.7,-32.54,0.667,1.227,684.0,31.5,49.7,37.23,-11.53,12.707,13.0,72.99,19.58,-32.54,23.77,-32.5,1880.0,470.0,53.0,948.0,1987.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9931176.0,8592699.0,1338477.0,2.49,597746.0,0.434,5.139,34.4,77463661.0,35.8,35.8,9.123604920209544e+21,8.413075569691853e+16,16,2.9
CTRL_sel_rs_y053,CTRL,16,0.0625,rs,0.053,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.81,20.81,20.81,-35.97,-35.97,0.578,0.578,20.81,-35.97,0.578,1.187,693.0,32.0,49.4,36.57,-11.7,12.123,14.0,72.82,19.59,-32.6,21.93,-35.97,1880.0,475.0,41.0,1004.0,1922.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8539852.0,7523720.0,1016132.0,2.532,563870.0,0.448,5.672,34.2,65785984.0,36.5,36.5,6.25188011421712e+20,5764993404370944.0,16,2.8
CTRL_sel_age_y053,CTRL,16,0.0625,age,0.053,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.79,21.79,21.79,-36.74,-36.74,0.593,0.593,21.79,-36.74,0.593,1.216,682.0,31.4,49.7,37.81,-11.8,12.859,13.0,72.84,19.58,-32.54,23.96,-36.74,1880.0,487.0,53.0,989.0,1948.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9214497.0,8073502.0,1140995.0,2.437,554565.0,0.449,4.776,34.2,77984212.0,39.2,39.2,7.677223234383701e+21,5.772326094661222e+16,16,2.8
BASE_rand_y055,BASE,16,0.0625,random,0.055,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.26,19.87,21.89,-34.805,-35.91,0.618,0.553,21.26,-34.805,0.618,1.203,687.0,31.7,49.2,37.23,-11.56,12.427,14.0,72.89,19.165,-32.485,23.32,-34.805,1880.0,470.5,41.0,978.0,1954.5,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8712435.5,7684792.0,1003023.0,2.472,552620.5,0.432,4.764,33.1,71159754.0,39.4,39.4,1.289113594300763e+21,1.0393129903456256e+16,16,2.9
BASE_tv_y055,BASE,16,0.0625,tv,0.055,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.76,21.76,21.76,-32.45,-32.45,0.671,0.671,21.76,-32.45,0.671,1.23,684.0,31.5,49.7,37.23,-11.53,12.707,13.0,72.98,19.66,-32.45,23.81,-32.42,1880.0,470.0,53.0,948.0,1987.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10024576.0,8674762.0,1349813.0,2.49,603554.0,0.439,5.191,34.5,78219330.0,35.8,35.8,9.12357958746164e+21,8.41304550492078e+16,16,2.9
CTRL_sel_rs_y055,CTRL,16,0.0625,rs,0.055,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.11,21.11,21.11,-32.51,-32.51,0.649,0.649,21.11,-32.51,0.649,1.202,692.0,31.9,49.7,36.49,-11.72,12.244,14.0,72.9,19.68,-32.51,22.46,-32.42,1880.0,474.0,41.0,1003.0,1924.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9031474.0,7962622.0,1068852.0,2.537,591534.0,0.453,5.993,35.3,69525121.0,36.5,36.5,1.2427412955751241e+21,1.1459571893665792e+16,16,2.6
CTRL_sel_age_y055,CTRL,16,0.0625,age,0.055,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.78,21.78,21.78,-37.46,-37.46,0.582,0.582,21.78,-37.46,0.582,1.216,683.0,31.5,49.6,37.81,-11.82,12.813,14.0,72.84,19.66,-32.45,23.87,-37.46,1880.0,487.0,53.0,989.0,1947.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9188424.0,8047036.0,1141388.0,2.438,554176.0,0.451,4.763,34.3,77841357.0,39.3,39.3,6.238453194878068e+21,4.690562989739213e+16,16,2.5
