label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
B1_trimM_k150_b40,B,16,0.0625,random,0.052,40.0,,0.0,1,tv,1.5,month,0.0,0,0,0.92,30,20.285,19.0,21.22,-33.63,-35.73,0.602,0.537,20.285,-33.63,0.602,1.168,716.5,33.05,48.5,36.6,-11.715,11.752,14.0,72.6,17.73,-33.62,22.965,-31.67,1880.0,715.0,140.5,1475.5,1432.5,716.5,0.0,0.0,0.0,70.0,3.23,45963588.0,0.0,7246513.5,6374925.0,869640.5,2.572,477131.0,0.377,3.713,28.9,37826145.5,44.5,28.25,2.2255539433646535e+20,1704598498705408.0,26,3.3
B2_trimD_k150_b40,B,16,0.0625,random,0.052,40.0,,0.0,1,tv,1.5,demand,0.0,0,0,0.92,30,20.93,19.6,22.04,-34.02,-39.42,0.615,0.515,20.93,-34.02,0.615,1.2,722.0,33.3,48.15,37.49,-11.855,11.87,14.0,73.17,17.995,-33.18,23.495,-33.29,1880.0,804.0,209.0,1661.0,1236.0,722.0,0.0,0.0,0.0,81.0,3.74,54842288.0,0.0,8112663.5,7075222.0,943100.0,2.609,502659.5,0.389,4.473,30.1,40466403.0,46.05,28.95,4.007202321130093e+20,3328589990723584.0,19,3.7
B2_trimD_k200_b40,B,16,0.0625,random,0.052,40.0,,0.0,1,tv,2.0,demand,0.0,0,0,0.92,30,20.635,19.96,21.74,-33.93,-36.41,0.609,0.548,20.635,-33.93,0.609,1.176,698.0,32.2,48.2,37.14,-11.7,11.83,14.0,72.895,18.455,-33.91,22.99,-33.62,1880.0,551.0,62.0,1118.5,1798.5,698.0,0.0,0.0,0.0,17.0,0.78,22639079.0,0.0,7739042.0,6800002.0,1003175.5,2.498,496383.5,0.399,4.559,30.55,51411947.0,39.8,32.9,1.785197689260831e+20,1457113691848704.0,16,3.8
B3_fill_f025_b40,B,16,0.0625,random,0.052,40.0,,0.0,1,tv,0.0,month,0.25,0,0,0.92,30,20.56,19.47,21.73,-35.455,-38.91,0.579,0.511,20.56,-35.455,0.579,1.15,746.0,34.4,48.0,37.07,-11.795,11.693,14.0,74.39,18.34,-33.51,22.83,-35.455,1880.0,1111.0,814.5,2388.5,478.5,746.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,7290833.0,5946380.0,1204125.5,2.467,485882.5,0.369,4.192,28.75,62398352.0,37.1,37.1,6.595910089751952e+20,4531687639744512.0,24,2.8
X_plat_unre_m002_b40,X,16,0.0625,random,0.052,40.0,unreal,2.5,1,tv,0.0,month,0.0,0,0,0.92,30,19.04,17.63,19.33,-40.21,-40.22,0.473,0.438,19.04,-40.21,0.473,1.056,1067.0,49.2,34.15,35.525,-7.42,7.267,20.0,73.15,18.86,-33.66,19.08,-40.21,1880.0,437.0,21.0,855.0,2123.5,1067.0,429.0,2638.0,19.78,0.0,0.0,0.0,0.0,5868885.5,5042640.5,796607.5,4.126,546160.5,0.365,3.854,28.35,47105729.5,49.2,49.2,5.5315029834072064e+17,4757023883264.0,24,7.0
X_plat_unre_m007_b40,X,16,0.0625,random,0.052,40.0,unreal,7.5,1,tv,0.0,month,0.0,0,0,0.92,30,20.925,20.08,21.66,-36.28,-36.28,0.577,0.553,20.925,-36.28,0.577,1.172,778.5,35.9,45.75,36.425,-10.14,11.003,16.0,72.88,20.86,-32.21,20.865,-36.28,1880.0,483.5,36.0,954.5,2021.5,778.5,132.0,2883.0,6.09,0.0,0.0,0.0,0.0,8896944.0,7556398.5,1377630.0,2.882,646561.5,0.459,5.421,36.0,67315477.0,37.15,37.15,3.2897037466711915e+21,2.737363261115597e+16,5,6.5
X_plat_unre_m012_b40,X,16,0.0625,random,0.052,40.0,unreal,12.5,1,tv,0.0,month,0.0,0,0,0.92,30,20.8,20.04,21.47,-34.38,-38.38,0.59,0.534,20.8,-34.38,0.59,1.183,710.5,32.75,47.9,37.655,-11.45,12.138,16.0,73.09,18.5,-31.86,22.85,-34.38,1880.0,522.0,93.0,1039.5,1920.5,710.5,51.0,2928.5,2.35,0.0,0.0,0.0,0.0,8109414.0,6590178.5,1151140.0,2.537,521128.5,0.387,4.789,30.6,65689210.0,39.9,39.9,4.28283141441819e+20,1988884867055616.0,16,6.4
X_plat_unre_m015_b40,X,16,0.0625,random,0.052,40.0,unreal,15.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.495,18.51,20.53,-33.62,-37.76,0.572,0.49,19.495,-33.62,0.572,1.113,705.0,32.5,47.45,36.48,-11.46,11.251,16.0,72.985,17.74,-33.08,21.295,-33.62,1880.0,485.5,41.0,988.5,1950.5,705.0,23.0,2924.5,1.06,0.0,0.0,0.0,0.0,6074098.5,5263148.5,810452.0,2.48,489238.5,0.383,3.872,27.75,51311203.0,39.6,39.6,1.2792668805348196e+19,108601255395328.0,24,6.8
X_trimM_k250_b40,X,16,0.0625,random,0.052,40.0,,0.0,1,tv,2.5,month,0.0,0,0,0.92,30,20.39,19.82,21.37,-32.75,-38.17,0.62,0.52,20.39,-32.75,0.62,1.168,689.0,31.8,48.65,37.025,-11.76,11.9,14.0,72.88,18.75,-32.715,22.07,-32.34,1880.0,489.5,65.0,994.0,1933.0,689.0,0.0,0.0,0.0,3.0,0.14,2044998.0,0.0,7663059.5,6735350.5,946840.0,2.465,542015.0,0.415,4.585,32.7,59319819.5,37.45,36.55,1.3180545171546178e+20,1205390826012672.0,7,2.8
C_none000_k150d_f025_b40,C,16,0.0625,random,0.052,40.0,,0.0,1,tv,1.5,demand,0.25,0,0,0.92,30,21.305,20.3,22.63,-35.8,-39.41,0.59,0.53,21.305,-35.8,0.59,1.192,757.0,34.9,48.3,37.55,-11.835,12.018,14.0,74.435,18.89,-35.205,23.63,-34.675,1880.0,1308.5,1188.5,2795.5,65.5,757.0,0.0,0.0,0.0,58.0,2.67,44729002.0,127.0,8694338.0,7310014.0,1169547.0,2.602,507692.0,0.415,4.456,30.8,50253223.0,40.95,28.9,1.1019669902928424e+22,6.481913747760742e+16,14,2.8
C_unre010_k150d_f000_b40,C,16,0.0625,random,0.052,40.0,unreal,10.0,1,tv,1.5,demand,0.0,0,0,0.92,30,22.075,20.29,23.5,-36.35,-38.98,0.607,0.538,22.075,-36.35,0.607,1.248,797.5,36.8,46.4,37.51,-11.045,11.534,15.0,73.42,20.155,-33.72,23.975,-36.35,1880.0,825.0,258.5,1686.0,1242.0,797.5,103.0,2857.0,4.75,85.5,3.945,67320992.0,0.0,10395169.5,9070737.5,1110663.5,2.932,591416.0,0.418,5.654,33.2,51298591.0,47.85,28.9,1.2201475243745412e+22,5.961748755303629e+16,1,7.6
C_unre010_k000m_f025_b40,C,16,0.0625,random,0.052,40.0,unreal,10.0,1,tv,0.0,month,0.25,0,0,0.92,30,21.535,19.92,22.75,-35.36,-38.13,0.607,0.532,21.535,-35.36,0.607,1.204,812.0,37.4,46.65,37.285,-11.04,11.504,15.0,74.82,19.3,-33.235,23.73,-35.36,1880.0,1110.5,835.0,2423.0,482.5,812.0,100.0,2841.5,4.61,0.0,0.0,0.0,153.0,8781659.0,7078582.0,1595871.5,2.745,537952.0,0.39,4.983,31.15,74559896.5,43.85,43.85,2.8591714723910916e+22,1.2527387092294042e+17,23,7.1
X_max3_unre_m010_b40,X,16,0.0625,random,0.052,40.0,unreal,10.0,3,tv,0.0,month,0.0,0,0,0.92,30,21.6,20.33,22.68,-35.57,-37.99,0.601,0.535,21.6,-35.57,0.601,1.212,745.5,34.35,47.0,37.665,-10.895,11.95,15.0,73.205,19.97,-31.89,23.16,-35.57,1880.0,520.0,84.0,1015.5,1951.0,745.5,93.0,2966.0,4.29,0.0,0.0,0.0,0.0,9217097.5,7861272.0,1265793.0,2.717,595140.0,0.448,5.72,34.5,75646181.0,41.75,41.75,3.893508948537125e+21,1.7490332505604096e+16,24,7.0
X_entrs_unre_m010_b40,X,16,0.0625,random,0.052,40.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,30,21.92,20.76,22.82,-31.88,-33.78,0.682,0.617,21.92,-31.88,0.682,1.228,745.5,34.4,46.65,38.705,-11.035,12.13,15.0,73.3,19.85,-31.88,24.0,-31.66,1880.0,504.5,84.0,998.5,1970.5,745.5,96.5,2914.0,4.45,0.0,0.0,0.0,0.0,9792449.5,8428249.0,1258904.5,2.779,620018.5,0.469,6.789,36.6,80003831.5,43.6,43.6,9.116375516907708e+21,4.161056658161664e+16,8,6.6
X_entage_unre_m010_b40,X,16,0.0625,random,0.052,40.0,unreal,10.0,1,age,0.0,month,0.0,0,0,0.92,30,21.95,20.91,22.84,-37.955,-38.46,0.579,0.545,21.95,-37.955,0.579,1.227,746.0,34.4,46.4,39.07,-11.07,12.14,15.0,73.29,19.82,-31.88,24.17,-37.955,1880.0,495.0,84.0,966.5,2002.5,746.0,96.0,2913.0,4.43,0.0,0.0,0.0,0.0,9625077.0,8227211.0,1395957.5,2.743,568429.0,0.455,6.071,34.45,80073999.0,46.05,46.05,5.688737631911738e+21,2.3903507341901824e+16,6,6.4
CTRL_sellonly_unre_m010_b40,CTRL,16,0.0625,random,0.052,40.0,unreal,10.0,1,tv,0.0,month,0.0,1,0,0.92,30,21.095,19.99,22.25,-36.88,-38.36,0.58,0.54,21.095,-36.88,0.58,1.188,730.5,33.7,46.5,37.235,-10.83,11.59,15.0,72.87,19.92,-32.52,22.25,-36.88,1880.0,418.0,21.0,832.0,2053.5,730.5,85.0,2829.5,3.92,0.0,0.0,0.0,0.0,8881210.5,7666690.0,1022001.0,2.65,579725.5,0.46,5.651,34.8,69363464.5,40.0,40.0,6.749748127210836e+20,5550651719286784.0,28,6.5
CTRL_hardstop10_b40,CTRL,16,0.0625,random,0.052,40.0,,0.0,1,tv,0.0,month,0.0,0,1,0.9,30,19.89,19.09,20.45,-30.58,-30.58,0.65,0.624,19.89,-30.58,0.65,1.147,792.5,36.55,42.0,37.83,-10.17,9.964,12.0,70.35,18.88,-30.58,20.93,-30.27,1880.0,365.5,1.0,759.0,2067.0,792.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6704618.0,5688372.5,1056555.5,2.883,591095.0,0.442,4.527,33.1,54719800.0,47.2,47.2,3.0784879719937475e+18,21830361415680.0,15,3.2
