label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
X_trimM_k175,X,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.75,month,0.0,10,21.0,20.02,21.95,-35.35,-37.77,0.594,0.553,21.0,-35.35,0.594,1.199,704.5,32.5,48.7,36.945,-11.71,12.073,14.0,72.71,19.12,-33.82,22.86,-35.35,1880.0,588.0,81.5,1190.5,1719.0,704.5,0.0,0.0,0.0,25.5,1.175,24647785.0,0.0,8509289.0,7471108.0,1069851.0,2.547,535469.0,0.424,4.396,32.95,54445650.0,40.15,32.05,6.309665519560934e+20,4445881709363200.0,10,1.0
X_trimM_k250,X,16,0.0625,random,0.052,25.0,,0.0,1,tv,2.5,month,0.0,10,21.23,20.5,21.94,-32.615,-35.43,0.649,0.597,21.23,-32.615,0.649,1.206,688.0,31.75,49.2,37.195,-11.57,12.359,14.0,72.96,19.3,-32.59,23.155,-31.735,1880.0,495.0,65.5,1014.0,1917.5,688.0,0.0,0.0,0.0,3.0,0.14,2150344.0,0.0,8709126.5,7704013.0,1008341.0,2.468,575420.0,0.425,4.966,33.7,69724110.5,38.35,37.5,1.8742559496796174e+21,1.6902345577201664e+16,8,1.1
C_none000_k150d_f025,C,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.5,demand,0.25,10,22.12,20.96,23.3,-35.54,-38.33,0.62,0.576,22.12,-35.54,0.62,1.228,755.0,34.85,48.9,37.305,-11.76,12.591,14.0,74.505,19.36,-35.36,24.52,-34.135,1880.0,1311.0,1187.5,2795.5,68.5,755.0,0.0,0.0,0.0,56.5,2.605,50266746.0,131.5,9762535.0,8107396.5,1391108.0,2.604,544059.5,0.43,4.801,32.65,58492185.5,41.5,29.0,1.1951359957140043e+23,5.815450658689516e+17,8,1.1
C_none000_k200d_f025,C,16,0.0625,random,0.052,25.0,,0.0,1,tv,2.0,demand,0.25,10,21.765,20.81,22.9,-35.515,-39.17,0.611,0.548,21.765,-35.515,0.611,1.206,746.0,34.4,49.05,37.335,-11.715,12.272,14.0,74.36,18.895,-34.96,24.56,-34.84,1880.0,1191.5,968.0,2555.0,319.0,746.0,0.0,0.0,0.0,11.5,0.53,13514600.0,159.0,9467156.0,8131167.0,1246446.0,2.52,520597.5,0.416,4.596,32.1,68406002.0,35.7,31.9,5.107462193836683e+22,4.0288463978758144e+17,4,1.1
C_unre010_k150d_f000,C,16,0.0625,random,0.052,25.0,unreal,10.0,1,tv,1.5,demand,0.0,10,22.285,21.53,23.7,-34.815,-36.97,0.633,0.582,22.285,-34.815,0.633,1.264,803.5,37.05,46.6,37.185,-10.945,11.469,15.0,73.52,21.06,-33.77,23.535,-34.815,1880.0,821.0,254.0,1677.5,1246.0,803.5,107.0,2855.5,4.935,84.0,3.87,71810848.0,0.0,10970593.5,9990381.5,1073260.0,2.98,656288.0,0.468,6.223,35.8,52321183.0,47.05,28.4,2.790058106609557e+22,1.1325160462640742e+17,7,2.4
C_unre010_k000m_f025,C,16,0.0625,random,0.052,25.0,unreal,10.0,1,tv,0.0,month,0.25,10,22.15,20.66,23.46,-34.165,-36.92,0.647,0.561,22.15,-34.165,0.647,1.23,812.0,37.4,46.95,37.295,-10.865,11.901,15.0,74.79,19.79,-33.14,24.55,-34.165,1880.0,1109.0,811.0,2398.0,503.0,812.0,100.0,2840.5,4.61,0.0,0.0,0.0,155.0,10054801.5,8432590.0,1697025.5,2.785,577762.0,0.416,5.503,33.55,83976369.5,42.45,42.45,2.9478318566712985e+23,1.0850846264703058e+18,1,2.4
C_unre010_k150d_f025,C,16,0.0625,random,0.052,25.0,unreal,10.0,1,tv,1.5,demand,0.25,10,22.425,21.66,23.6,-36.505,-38.09,0.615,0.57,22.425,-36.505,0.615,1.253,832.5,38.4,46.8,37.175,-10.89,11.522,15.0,74.93,20.74,-35.82,24.13,-36.505,1880.0,1322.0,1202.0,2818.5,75.0,832.5,107.5,2819.5,4.955,61.5,2.835,53862532.0,120.5,11044129.5,9775511.0,1368161.5,2.921,600965.0,0.471,5.779,35.2,61820934.0,41.3,29.05,3.070924421830574e+23,1.4956474566023578e+18,7,2.2
X_max3_unre_m010,X,16,0.0625,random,0.052,25.0,unreal,10.0,3,tv,0.0,month,0.0,10,21.98,20.61,23.97,-37.29,-37.29,0.589,0.553,21.98,-37.29,0.589,1.24,747.5,34.45,47.45,37.725,-10.735,12.092,15.0,73.19,20.42,-31.79,23.455,-37.29,1880.0,523.0,84.0,1026.0,1940.5,747.5,95.5,2965.5,4.405,0.0,0.0,0.0,0.0,9841664.0,8480782.0,1433313.5,2.734,619031.0,0.473,6.059,35.4,81170987.0,42.25,42.25,1.4815959505572014e+22,7.630141256839987e+16,6,2.1
X_entrs_unre_m010,X,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,10,22.555,21.98,23.06,-31.78,-31.78,0.71,0.692,22.555,-31.78,0.71,1.259,744.0,34.35,47.2,38.815,-10.845,12.593,15.0,73.32,20.36,-31.78,24.835,-30.64,1880.0,520.5,84.0,1026.5,1950.0,744.0,97.0,2911.0,4.47,0.0,0.0,0.0,0.0,10857639.0,9346255.5,1416118.0,2.786,664778.0,0.504,7.082,37.55,90321909.0,43.15,43.15,7.576398672545963e+22,3.067742668193792e+17,4,2.3
X_entage_unre_m010,X,16,0.0625,random,0.052,25.0,unreal,10.0,1,age,0.0,month,0.0,10,22.825,21.86,23.56,-37.21,-37.35,0.613,0.585,22.825,-37.21,0.613,1.257,744.0,34.3,46.85,39.075,-10.915,12.498,15.0,73.39,20.28,-31.77,25.36,-37.21,1880.0,490.5,84.0,953.5,2016.5,744.0,96.0,2913.5,4.425,0.0,0.0,0.0,0.0,11077673.5,9312810.5,1763134.0,2.742,599908.0,0.477,6.426,36.55,94651409.0,46.25,46.25,7.528950998671801e+22,3.641702856177746e+17,1,2.1
