label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
BASE_rand_b60,BASE,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.46,18.27,20.56,-33.97,-39.13,0.56,0.481,19.46,-33.97,0.56,1.117,685.5,31.6,47.9,37.145,-11.91,11.51,14.0,72.895,18.045,-32.85,20.58,-33.97,1880.0,470.0,41.0,966.0,1965.0,685.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530313.5,5708977.0,828606.0,2.448,489447.0,0.388,3.978,29.0,51054543.5,38.2,38.2,8.997086496544522e+18,86535143686144.0,27,3.4
A_cush_m010_b60,A,16,0.0625,random,0.052,60.0,cushion,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.025,18.66,20.89,-44.63,-44.71,0.449,0.418,20.025,-44.63,0.449,0.965,1529.0,70.5,44.25,26.485,-10.75,5.695,15.0,75.22,19.57,-44.63,20.43,-40.0,1880.0,842.5,369.0,1839.0,1309.0,1529.0,1057.5,2272.0,48.765,0.0,0.0,0.0,0.0,9167035.5,8975061.5,191966.0,6.661,659231.5,0.651,5.825,38.95,59118225.5,50.0,50.0,1.9799150694498304e+16,152213504000.0,12,8.2
A_rs_m025_b60,A,16,0.0625,random,0.052,60.0,rs,25.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.575,20.11,21.53,-43.42,-43.54,0.474,0.463,20.575,-43.42,0.474,1.046,1175.0,54.15,44.4,29.485,-10.035,7.521,15.0,72.85,18.22,-34.85,22.975,-43.42,1880.0,473.0,24.0,955.5,2008.5,1175.0,519.5,2349.0,23.955,0.0,0.0,0.0,0.0,9547187.5,7948601.0,1610692.5,4.972,533267.5,0.551,6.615,37.1,64315547.0,50.55,50.55,1.6013778691188326e+18,3145652371456.0,6,6.9
A_unre_m000_b60,A,16,0.0625,random,0.052,60.0,unreal,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,18.26,17.91,19.48,-44.755,-45.48,0.41,0.398,18.26,-44.755,0.41,1.016,1353.0,62.4,27.4,36.72,-6.05,5.644,25.0,73.41,17.72,-34.71,18.79,-44.755,1880.0,438.0,21.0,838.5,2148.5,1353.0,720.5,2349.5,33.225,0.0,0.0,0.0,0.0,5964557.0,4847671.0,1078229.5,5.487,506288.5,0.306,3.534,24.9,41350648.5,50.7,50.7,1.2744264257634304e+16,95539380224.0,28,6.2
A_unre_m005_b60,A,16,0.0625,random,0.052,60.0,unreal,5.0,1,tv,0.0,month,0.0,0,0,0.92,30,17.19,16.43,18.05,-36.81,-36.82,0.467,0.446,17.19,-36.81,0.467,0.991,890.0,41.0,38.65,35.3,-9.29,7.887,16.0,72.955,18.49,-33.44,15.96,-36.81,1880.0,446.5,21.0,897.5,2076.5,890.0,244.5,2769.5,11.275,0.0,0.0,0.0,0.0,5296787.5,4696047.0,592304.5,3.378,530680.5,0.35,3.676,28.3,33787160.5,48.65,48.65,3604773165072384.0,34317898752.0,2,6.5
A_unre_m010_b60,A,16,0.0625,random,0.052,60.0,unreal,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.075,20.09,22.36,-34.96,-37.93,0.597,0.53,21.075,-34.96,0.597,1.194,741.5,34.2,46.6,38.26,-11.05,11.757,15.0,73.27,19.44,-32.03,22.73,-34.96,1880.0,520.0,84.0,1017.5,1954.0,741.5,92.0,2913.5,4.24,0.0,0.0,0.0,0.0,8518727.5,7012652.0,1261100.5,2.695,550434.0,0.415,5.216,32.45,68783870.5,45.8,45.8,8.545686197895504e+20,3820164030136320.0,17,7.1
A_unre_m020_b60,A,16,0.0625,random,0.052,60.0,unreal,20.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.53,18.46,20.67,-36.22,-39.12,0.544,0.472,19.53,-36.22,0.544,1.122,683.5,31.5,48.05,36.82,-11.815,11.562,14.0,72.93,17.995,-32.85,21.03,-36.22,1880.0,468.0,41.0,978.0,1963.0,683.5,5.0,2937.0,0.23,0.0,0.0,0.0,0.0,6381851.0,5581939.5,812672.0,2.425,477575.0,0.377,3.937,28.55,51413516.5,37.05,37.05,1.0790921025563394e+19,92761231458304.0,15,9.1
A_null_p005_b60,A_null,16,0.0625,random,0.052,60.0,rand,0.05,1,tv,0.0,month,0.0,0,0,0.92,30,18.22,15.45,21.1,-35.985,-40.91,0.493,0.406,18.22,-35.985,0.493,1.054,825.0,38.0,47.1,32.325,-11.725,8.978,15.0,72.875,17.03,-33.745,19.445,-35.835,1880.0,582.5,69.0,1239.0,1694.0,825.0,140.0,2780.0,6.455,0.0,0.0,0.0,0.0,5393249.5,5026564.0,436957.5,3.148,477914.5,0.396,3.673,28.1,40377927.0,42.95,42.95,8.58527369349038e+16,911164506112.0,19,5.5
A_null_p015_b60,A_null,16,0.0625,random,0.052,60.0,rand,0.15,1,tv,0.0,month,0.0,0,0,0.92,30,17.505,14.59,19.76,-37.01,-41.47,0.476,0.355,17.505,-37.01,0.476,1.006,1056.0,48.7,47.95,26.47,-11.17,6.993,16.0,73.13,16.93,-34.385,18.205,-36.01,1880.0,671.5,134.0,1466.0,1481.0,1056.0,377.0,2513.0,17.38,0.0,0.0,0.0,0.0,5322431.5,4988746.0,187607.5,4.316,499093.5,0.41,3.679,28.3,36146140.5,41.35,41.35,8634879277268992.0,188526477312.0,9,5.8
A_null_p035_b60,A_null,16,0.0625,random,0.052,60.0,rand,0.35,1,tv,0.0,month,0.0,0,0,0.92,30,15.48,12.13,17.43,-36.92,-42.81,0.421,0.303,15.48,-36.92,0.421,0.904,1411.0,65.1,48.2,20.655,-10.36,4.479,17.0,73.115,15.285,-33.945,15.04,-35.885,1880.0,784.0,244.0,1721.0,1227.0,1411.0,741.5,2132.0,34.195,0.0,0.0,0.0,0.0,3945892.0,3825736.5,95576.5,5.9,499831.0,0.318,2.579,20.85,24342401.5,39.5,39.5,26362489339904.0,1800542720.0,21,7.0
