venue,portfolio,n,total,mean,median,win,worst,p10,credit,d_mean,t,downsize_f,downsized_atm_mean,downsize_verdict
NIFTY,ALL_ATM,83,227854,2745,5964,65.1,-50146,-19506,722,0,0.0,1.0,2745,WINS
NIFTY,SYM_1,83,192207,2316,5900,67.5,-48775,-17858,731,-429,-0.79,0.973,2670,WINS
NIFTY,ALLUP_1,83,54821,660,5603,62.7,-57597,-22425,728,-2085,-1.73,1.149,3153,WINS
NIFTY,ALLDOWN_1,83,199274,2401,5586,60.2,-44740,-21805,742,-344,-0.28,0.892,2449,WINS
NIFTY,LADDER_UP_1,83,101875,1227,5457,60.2,-50327,-19629,736,-1518,-1.28,1.004,2755,WINS
NIFTY,LADDER_DN_1,83,86110,1037,4143,60.2,-49087,-20446,750,-1708,-1.58,0.979,2687,WINS
NIFTY,SYM_2,83,223701,2695,5254,69.9,-39987,-12625,755,-50,-0.06,0.797,2189,loses
NIFTY,ALLUP_2,83,46863,565,5957,61.4,-56700,-26320,758,-2181,-1.14,1.131,3104,WINS
NIFTY,ALLDOWN_2,83,47490,572,1982,56.6,-39732,-27956,786,-2173,-1.15,0.792,2175,WINS
NIFTY,LADDER_UP_2,83,69780,841,1482,54.2,-49402,-20603,787,-1905,-1.18,0.985,2704,WINS
NIFTY,LADDER_DN_2,83,-53171,-641,1024,53.0,-48256,-24826,813,-3386,-2.09,0.962,2642,WINS
NIFTY,SYM_3,83,196563,2368,5030,65.1,-35416,-12853,794,-377,-0.36,0.706,1939,loses
NIFTY,ALLUP_3,83,5059,61,3802,59.0,-59793,-28579,810,-2684,-1.12,1.192,3273,WINS
NIFTY,ALLDOWN_3,83,-68931,-830,-273,49.4,-40425,-29439,849,-3576,-1.47,0.806,2213,WINS
NIFTY,SYM_4,83,175710,2117,5093,66.3,-31747,-12985,844,-628,-0.51,0.633,1738,loses
NIFTY,ALLUP_4,83,-36897,-445,3429,54.2,-64129,-30879,880,-3190,-1.13,1.279,3511,WINS
NIFTY,ALLDOWN_4,83,-137537,-1657,-629,49.4,-41760,-32126,930,-4402,-1.58,0.833,2286,WINS
SENSEX,ALL_ATM,83,160959,1939,6495,62.7,-48122,-21690,2335,0,0.0,1.0,1939,WINS
SENSEX,SYM_1,83,145098,1748,6318,63.9,-46962,-20734,2345,-191,-1.06,0.976,1893,WINS
SENSEX,ALLUP_1,83,142614,1718,5183,66.3,-56306,-21143,2338,-221,-0.4,1.17,2269,WINS
SENSEX,ALLDOWN_1,83,110518,1332,4834,61.4,-44974,-19188,2364,-608,-0.71,0.935,1812,WINS
SENSEX,LADDER_UP_1,83,135561,1633,4935,66.3,-48962,-21565,2348,-306,-0.45,1.017,1973,WINS
SENSEX,LADDER_DN_1,83,92849,1119,4094,60.2,-47512,-20736,2374,-821,-0.87,0.987,1915,WINS
SENSEX,SYM_2,83,128421,1547,5948,65.1,-38747,-22101,2376,-392,-0.83,0.805,1561,WINS
SENSEX,ALLUP_2,83,169394,2041,4364,60.2,-53122,-20618,2371,102,0.08,1.104,2141,WINS
SENSEX,ALLDOWN_2,83,80746,973,4287,57.8,-40644,-20569,2423,-966,-0.73,0.845,1638,WINS
SENSEX,LADDER_UP_2,83,175217,2111,3646,57.8,-50662,-20471,2411,172,0.14,1.053,2042,loses
SENSEX,LADDER_DN_2,83,63331,763,2185,56.6,-48744,-18809,2461,-1176,-0.96,1.013,1964,WINS
SENSEX,SYM_3,83,111972,1349,5477,68.7,-36416,-20906,2428,-590,-0.93,0.757,1468,WINS
SENSEX,ALLUP_3,83,221052,2663,4747,56.6,-56469,-20850,2436,724,0.38,1.173,2276,loses
SENSEX,ALLDOWN_3,83,22629,273,3100,55.4,-36881,-25235,2513,-1667,-0.98,0.766,1486,WINS
SENSEX,SYM_4,83,104118,1254,4633,69.9,-31428,-19652,2496,-685,-0.9,0.653,1267,WINS
SENSEX,ALLUP_4,83,222009,2675,5042,57.8,-47642,-23629,2526,736,0.34,0.99,1920,loses
SENSEX,ALLDOWN_4,83,-64533,-778,1181,55.4,-38203,-28112,2626,-2717,-1.28,0.794,1540,WINS
