variant,n,total,mean,median,win,worst,p10,d_total,d_mean,d_median,d_worst,d_best,fires,fire_pct,needless,rescue,cost_needless,firing_cost,worst_day_delta
TRAILPCT_A5000_P30,62,669,11,-1974,37.1,-33512,-10349,-626297,-10102,-9277,-45451,18642,52,83.9,44,7,-689005,412866,-3562
TRAILPCT_A4000_P50,62,-3873,-62,-2796,33.9,-32979,-11621,-630839,-10175,-9355,-45451,7469,50,80.6,42,7,-663134,377333,-3028
TRAILPCT_A5000_P25,62,-14653,-236,-2038,35.5,-33512,-10323,-641619,-10349,-9576,-45042,18642,55,88.7,47,7,-705952,422806,-3562
TRAIL_A6000_G1000,62,-18689,-301,-1137,41.9,-29294,-8721,-645655,-10414,-8914,-40737,19332,56,90.3,47,8,-718333,427893,656
TRAILPCT_A5000_P20,62,-19905,-321,-2305,35.5,-32199,-10357,-646870,-10433,-9786,-45042,20661,56,90.3,47,8,-712751,429431,-2249
TRAIL_A4000_G3000,62,-22432,-362,-1683,37.1,-31174,-11602,-649398,-10474,-10194,-45451,20661,57,91.9,47,8,-713061,430322,-1224
TRAIL_A4000_G2500,62,-24642,-397,-1683,41.9,-33512,-11560,-651608,-10510,-10191,-45451,20661,57,91.9,47,8,-716455,436942,-3562
TRAILPCT_A4000_P40,62,-30051,-485,-2126,37.1,-33512,-11621,-657017,-10597,-9794,-45451,17271,53,85.5,45,7,-701913,405102,-3562
TRAIL_A5000_G2500_TIGHT1400,62,-34866,-562,-1683,41.9,-33512,-10603,-661831,-10675,-10437,-45451,20661,57,91.9,49,7,-726403,432356,-3562
TRAIL_A4000_G2000,62,-36009,-581,-1944,41.9,-33512,-11474,-662975,-10693,-10443,-40991,20661,57,91.9,48,7,-727942,448535,-3562
TRAIL_A5000_G1500,62,-36575,-590,-1456,43.5,-33512,-10114,-663540,-10702,-9986,-40737,20661,56,90.3,47,8,-734214,441019,-3562
TRAILPCT_A4000_P20,62,-45058,-727,-3026,37.1,-32199,-10513,-672023,-10839,-9786,-45042,19332,57,91.9,48,8,-719701,447777,-2249
TRAILPCT_A4000_P25,62,-45651,-736,-2548,33.9,-33512,-10527,-672616,-10849,-9819,-45042,18642,57,91.9,49,7,-718524,449817,-3562
TRAIL_A3000_G2500,62,-52119,-841,-1996,38.7,-33512,-12091,-679084,-10953,-10191,-45451,20661,57,91.9,47,8,-743931,431983,-3562
NULL_FIXEDTP_7500,62,-56881,-917,-475,45.2,-29294,-8699,-683847,-11030,-7986,-43898,20032,49,79.0,45,4,-728465,415414,656
TRAILPCT_A3000_P40,62,-57879,-934,-1683,35.5,-33512,-11990,-684845,-11046,-9917,-45451,19359,54,87.1,46,7,-745748,420014,-3562
TRAIL_A3000_G2000,62,-61688,-995,-2294,38.7,-33512,-11983,-688654,-11107,-10782,-40991,20661,57,91.9,48,7,-753621,443575,-3562
TRAILPCT_A4000_P30,62,-65620,-1058,-2630,33.9,-33512,-10676,-692586,-11171,-10084,-45451,18642,55,88.7,47,7,-743490,450585,-3562
TRAILPCT_A3000_P50,62,-69865,-1127,-3219,30.6,-32979,-12131,-696831,-11239,-10099,-45451,7469,52,83.9,44,7,-729127,398875,-3028
TRAIL_PERVENUE_A10000_G3000,62,-70759,-1141,-1107,43.5,-29294,-9458,-697725,-11254,-11149,-48104,44441,53,85.5,45,7,-815354,404161,656
TRAILPCT_A5000_P15,62,-75477,-1217,-2305,35.5,-31825,-10357,-702443,-11330,-10094,-45042,19332,57,91.9,48,8,-765179,440651,-1875
TRAILPCT_A4000_P15,62,-87666,-1414,-3026,37.1,-31825,-10378,-714632,-11526,-10330,-45042,19332,58,93.5,49,8,-763032,461030,-1875
TRAILPCT_A3000_P20,62,-88332,-1425,-3203,32.3,-32199,-11227,-715298,-11537,-10093,-45042,19359,58,93.5,49,8,-763003,447405,-2249
TRAILPCT_A3000_P25,62,-90831,-1465,-3113,30.6,-33512,-11596,-717797,-11577,-9989,-45042,19359,58,93.5,50,7,-764422,449443,-3562
TRAIL_A5000_G1000,62,-95614,-1542,-2305,32.3,-32199,-10357,-722580,-11655,-10094,-45042,19332,57,91.9,49,7,-786147,445620,-2249
TRAIL_A4000_G1500,62,-96082,-1550,-2228,40.3,-33512,-10594,-723047,-11662,-10782,-40737,19332,58,93.5,50,7,-776175,472113,-3562
NULL_FIXEDTP_5000,62,-103310,-1666,-1853,25.8,-30980,-8899,-730276,-11779,-11081,-47558,22890,57,91.9,49,8,-796625,459370,-1029
TRAILPCT_A3000_P30,62,-104457,-1685,-3028,32.3,-33512,-11602,-731423,-11797,-11098,-45451,19359,56,90.3,48,7,-783044,450210,-3562
TRAIL_A3000_G1500,62,-117199,-1890,-2228,37.1,-33512,-11693,-744165,-12003,-11241,-40737,19359,58,93.5,50,7,-797320,465114,-3562
TRAIL_A4000_G1000,62,-128451,-2072,-3238,32.3,-32199,-10669,-755416,-12184,-10452,-45042,19332,58,93.5,51,6,-795887,466009,-2249
TRAIL_PERVENUE_A8000_G3000,62,-135449,-2185,-1674,40.3,-33512,-10486,-762415,-12297,-12181,-48104,44441,55,88.7,47,7,-873443,438440,-3562
TRAIL_A3000_G1000,62,-154280,-2488,-3365,29.0,-32199,-11602,-781246,-12601,-10782,-45042,19359,58,93.5,51,6,-821743,459009,-2249
TRAILPCT_A3000_P15,62,-166312,-2682,-3365,27.4,-31825,-11227,-793278,-12795,-10782,-49886,19359,58,93.5,50,7,-841430,459011,-1875
TRAIL_PERVENUE_A5000_G2500,62,-239675,-3866,-3324,30.6,-33512,-11990,-866640,-13978,-13459,-58947,39347,58,93.5,49,8,-980200,482552,-3562
