trigger,dist,coverage,unwind,n,armed,total,mean,median,win,worst,p10,d_total,d_mean,t,worst_delta,wing_pnl,wing_paid_days
ABS_15000,250,BIGGEST,EOD,84,48,889604,10591,11954,82.1,-63092,-8346,60459,720,0.46,9259,60461,9
ABS_12000,150,ALL,EOD,84,59,886539,10554,8826,81.0,-38721,-8346,57394,683,0.21,33630,57392,14
ABS_15000,200,BIGGEST,EOD,84,48,886374,10552,11230,82.1,-63092,-8346,57229,681,0.36,9259,57235,9
ABS_15000,300,BIGGEST,EOD,84,48,880870,10487,11706,82.1,-63092,-8346,51725,616,0.48,9259,51725,11
ABS_12000,200,ALL,EOD,84,59,876197,10431,8826,81.0,-38721,-8346,47052,560,0.2,33630,47053,11
ABS_20000,500,BIGGEST,EOD,84,39,870250,10360,11230,79.8,-63092,-12496,41105,489,0.78,9259,41102,10
ABS_12000,400,ALL,EOD,84,59,868851,10343,9146,79.8,-38721,-7993,39706,473,0.32,33630,39708,11
ABS_20000,500,ALL,EOD,84,39,864224,10288,11230,79.8,-63092,-12496,35079,418,0.62,9259,35079,9
ABS_15000,500,ALL,EOD,84,48,860189,10240,11472,79.8,-63092,-9004,31044,370,0.4,9259,31044,8
ABS_15000,400,BIGGEST,EOD,84,48,851999,10143,11230,79.8,-63092,-9004,22854,272,0.33,9259,22855,11
T1300_5000,400,BIGGEST,EOD,84,68,850948,10130,10808,78.6,-40150,-12496,21803,260,0.31,32201,21799,15
T1300_10000,300,ALL,EOD,84,60,846590,10078,9946,79.8,-38721,-9004,17445,208,0.16,33630,17444,16
T1300_5000,300,ALL,EOD,84,68,846184,10074,10402,78.6,-37859,-8858,17039,203,0.16,34492,17036,16
T1300_5000,400,ALL,EOD,84,68,845634,10067,10808,77.4,-40150,-11900,16489,196,0.21,32201,16488,15
T1300_10000,300,BIGGEST,EOD,84,60,845409,10064,10206,78.6,-38721,-9808,16264,194,0.18,33630,16261,17
ABS_12000,150,BIGGEST,EOD,84,59,844478,10053,8826,82.1,-38721,-8184,15333,183,0.07,33630,15334,14
T1300_5000,300,BIGGEST,EOD,84,68,844069,10048,10601,77.4,-37859,-11587,14924,178,0.18,34492,14917,17
T1300_10000,400,BIGGEST,EOD,84,60,843545,10042,10146,78.6,-39590,-12478,14400,171,0.19,32761,14401,16
T1300_10000,250,ALL,EOD,84,60,842282,10027,8956,79.8,-38721,-9004,13137,156,0.11,33630,13142,17
T1300_5000,250,ALL,EOD,84,68,841914,10023,9614,79.8,-37859,-8890,12769,152,0.11,34492,12769,18
ABS_20000,100,BIGGEST,RECOVER,84,39,841809,10022,11706,79.8,-72502,-12496,12664,151,0.76,-151,12665,14
ABS_12000,300,BIGGEST,EOD,84,59,840648,10008,9822,82.1,-38721,-8282,11503,137,0.09,33630,11507,12
T1300_10000,250,BIGGEST,EOD,84,60,840416,10005,9132,77.4,-38721,-10038,11271,134,0.11,33630,11277,18
T1300_5000,500,BIGGEST,EOD,84,68,840134,10002,10669,79.8,-44724,-12496,10989,131,0.2,27627,10985,12
T1300_10000,400,ALL,EOD,84,60,839830,9998,9783,78.6,-39590,-9436,10685,127,0.13,32761,10691,16
ABS_12000,500,ALL,EOD,84,59,839678,9996,10084,78.6,-38721,-10889,10533,125,0.12,33630,10537,9
ABS_12000,250,BIGGEST,EOD,84,59,838267,9979,9504,82.1,-38721,-8346,9122,109,0.06,33630,9121,12
ABS_20000,100,ALL,RECOVER,84,39,838202,9979,11706,79.8,-72496,-12496,9057,108,0.53,-145,9056,14
ABS_20000,150,BIGGEST,RECOVER,84,39,836929,9963,11706,79.8,-72515,-12496,7784,93,0.55,-164,7781,10
T1300_5000,250,BIGGEST,EOD,84,68,836397,9957,9805,77.4,-37859,-9237,7252,86,0.08,34492,7252,18
ABS_20000,200,BIGGEST,RECOVER,84,39,835509,9947,11706,79.8,-72494,-12496,6364,76,0.52,-143,6369,9
ABS_10000,300,ALL,EOD,84,63,833541,9923,8266,81.0,-38721,-8346,4396,52,0.03,33630,4399,15
T1300_10000,200,BIGGEST,EOD,84,60,833212,9919,8416,78.6,-38721,-10453,4067,48,0.04,33630,4076,18
T1300_10000,500,BIGGEST,EOD,84,60,832999,9917,11140,78.6,-44347,-12496,3854,46,0.06,28004,3853,14
ABS_20000,250,BIGGEST,RECOVER,84,39,832884,9915,11478,79.8,-72651,-12496,3739,45,0.4,-300,3737,7
ABS_20000,150,ALL,RECOVER,84,39,831685,9901,11706,79.8,-72552,-12496,2540,30,0.19,-201,2540,9
ABS_20000,200,ALL,RECOVER,84,39,831263,9896,11706,79.8,-72556,-12496,2118,25,0.18,-205,2119,7
T1300_10000,200,ALL,EOD,84,60,830750,9890,8714,79.8,-38721,-9004,1605,19,0.01,33630,1610,16
ABS_10000,400,ALL,EOD,84,63,830228,9884,8434,79.8,-39590,-9004,1083,13,0.01,32761,1081,12
ABS_20000,300,BIGGEST,RECOVER,84,39,830020,9881,11230,79.8,-72539,-12496,875,10,0.12,-188,879,7
ABS_5000,300,ADVERSE,RECOVER,84,1,829402,9874,11230,79.8,-72351,-12496,257,3,1.01,0,257,1
ABS_20000,250,ALL,RECOVER,84,39,829369,9873,11478,79.8,-72738,-12496,224,3,0.03,-387,226,6
ABS_5000,400,ADVERSE,RECOVER,84,1,829349,9873,11230,79.8,-72351,-12496,204,2,1.01,0,205,1
ABS_5000,100,ADVERSE,RECOVER,84,1,829343,9873,11230,79.8,-72351,-12496,198,2,1.01,0,199,1
ABS_5000,150,ADVERSE,RECOVER,84,1,829305,9873,11230,79.8,-72351,-12496,160,2,1.01,0,161,1
ABS_5000,500,ADVERSE,RECOVER,84,1,829273,9872,11230,79.8,-72351,-12496,128,2,1.01,0,129,1
T1300_5000,500,ALL,EOD,84,68,829236,9872,10669,78.6,-44724,-12496,91,1,0.0,27627,94,11
PCT_20,100,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,100,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,150,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,150,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,200,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,200,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,250,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,250,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,300,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,300,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,400,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,400,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,500,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_20,500,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,100,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,100,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,150,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,150,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,200,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,200,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,250,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,250,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,300,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,300,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,400,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,400,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,500,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_30,500,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,100,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,100,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,150,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,150,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,200,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,200,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,250,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,250,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,300,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,300,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,400,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,400,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,500,ADVERSE,EOD,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
PCT_40,500,ADVERSE,RECOVER,84,0,829145,9871,11230,79.8,-72351,-12496,0,0,0.0,0,0,0
ABS_8000,150,ADVERSE,RECOVER,84,1,828978,9869,11230,79.8,-72351,-12496,-167,-2,-1.01,0,-166,0
ABS_5000,250,ADVERSE,RECOVER,84,1,828975,9869,11230,79.8,-72351,-12496,-170,-2,-1.01,0,-169,0
PCT_40,400,ALL,RECOVER,84,1,828946,9868,11230,79.8,-72351,-12496,-199,-2,-1.01,0,-200,0
PCT_40,400,BIGGEST,RECOVER,84,1,828946,9868,11230,79.8,-72351,-12496,-199,-2,-1.01,0,-200,0
PCT_40,500,ALL,RECOVER,84,1,828946,9868,11230,79.8,-72351,-12496,-199,-2,-1.01,0,-200,0
PCT_40,500,BIGGEST,RECOVER,84,1,828946,9868,11230,79.8,-72351,-12496,-199,-2,-1.01,0,-200,0
PCT_40,250,ALL,RECOVER,84,1,828945,9868,11230,79.8,-72351,-12496,-200,-2,-1.01,0,-200,0
PCT_40,250,BIGGEST,RECOVER,84,1,828945,9868,11230,79.8,-72351,-12496,-200,-2,-1.01,0,-200,0
PCT_40,200,ALL,RECOVER,84,1,828893,9868,11230,79.8,-72351,-12496,-252,-3,-1.01,0,-253,0
PCT_40,200,BIGGEST,RECOVER,84,1,828893,9868,11230,79.8,-72351,-12496,-252,-3,-1.01,0,-253,0
PCT_40,300,ALL,RECOVER,84,1,828893,9868,11230,79.8,-72351,-12496,-252,-3,-1.01,0,-252,0
PCT_40,300,BIGGEST,RECOVER,84,1,828893,9868,11230,79.8,-72351,-12496,-252,-3,-1.01,0,-252,0
ABS_8000,400,ADVERSE,RECOVER,84,1,828855,9867,11230,79.8,-72351,-12496,-290,-3,-1.01,0,-289,0
ABS_8000,500,ADVERSE,RECOVER,84,1,828834,9867,11230,79.8,-72351,-12496,-311,-4,-1.01,0,-311,0
ABS_5000,200,ADVERSE,RECOVER,84,1,828814,9867,11230,79.8,-72351,-12496,-331,-4,-1.01,0,-330,0
ABS_8000,300,ADVERSE,RECOVER,84,1,828798,9867,11230,79.8,-72351,-12496,-347,-4,-1.01,0,-347,0
ABS_8000,250,ADVERSE,RECOVER,84,1,828759,9866,11230,79.8,-72351,-12496,-386,-5,-1.01,0,-386,0
PCT_40,150,ALL,RECOVER,84,1,828736,9866,11230,79.8,-72351,-12496,-409,-5,-1.01,0,-409,0
PCT_40,150,BIGGEST,RECOVER,84,1,828736,9866,11230,79.8,-72351,-12496,-409,-5,-1.01,0,-409,0
PCT_40,100,ALL,RECOVER,84,1,828733,9866,11230,79.8,-72351,-12496,-412,-5,-1.01,0,-413,0
PCT_40,100,BIGGEST,RECOVER,84,1,828733,9866,11230,79.8,-72351,-12496,-412,-5,-1.01,0,-413,0
ABS_8000,200,ADVERSE,RECOVER,84,1,828708,9866,11230,79.8,-72351,-12496,-437,-5,-1.01,0,-436,0
ABS_15000,500,ADVERSE,RECOVER,84,2,828653,9865,11230,79.8,-72351,-12496,-492,-6,-1.43,0,-491,0
ABS_12000,400,BIGGEST,EOD,84,59,828609,9864,8826,78.6,-38721,-9004,-536,-6,-0.01,33630,-536,11
ABS_8000,100,ADVERSE,RECOVER,84,1,828574,9864,11230,79.8,-72351,-12496,-571,-7,-1.01,0,-570,0
PCT_30,500,ALL,RECOVER,84,4,828428,9862,11230,79.8,-72351,-12496,-717,-9,-1.96,0,-718,0
PCT_30,500,BIGGEST,RECOVER,84,4,828428,9862,11230,79.8,-72351,-12496,-717,-9,-1.96,0,-718,0
PCT_40,400,ALL,EOD,84,1,828427,9862,11230,79.8,-72351,-12496,-718,-9,-1.01,0,-719,0
PCT_40,400,BIGGEST,EOD,84,1,828427,9862,11230,79.8,-72351,-12496,-718,-9,-1.01,0,-719,0
PCT_40,500,ALL,EOD,84,1,828427,9862,11230,79.8,-72351,-12496,-718,-9,-1.01,0,-719,0
PCT_40,500,BIGGEST,EOD,84,1,828427,9862,11230,79.8,-72351,-12496,-718,-9,-1.01,0,-719,0
PCT_30,400,ALL,RECOVER,84,4,828394,9862,11230,79.8,-72351,-12496,-751,-9,-1.97,0,-751,0
PCT_30,400,BIGGEST,RECOVER,84,4,828394,9862,11230,79.8,-72351,-12496,-751,-9,-1.97,0,-751,0
PCT_30,300,ALL,RECOVER,84,4,828373,9862,11230,79.8,-72351,-12496,-772,-9,-1.95,0,-772,0
PCT_30,300,BIGGEST,RECOVER,84,4,828373,9862,11230,79.8,-72351,-12496,-772,-9,-1.95,0,-772,0
ABS_15000,400,ADVERSE,RECOVER,84,2,828343,9861,11230,79.8,-72351,-12496,-802,-10,-1.43,0,-802,0
PCT_30,150,ALL,RECOVER,84,4,828297,9861,11230,79.8,-72351,-12496,-848,-10,-1.74,0,-849,0
PCT_30,150,BIGGEST,RECOVER,84,4,828297,9861,11230,79.8,-72351,-12496,-848,-10,-1.74,0,-849,0
PCT_30,250,ALL,RECOVER,84,4,828268,9860,11230,79.8,-72351,-12496,-877,-10,-1.81,0,-877,0
PCT_30,250,BIGGEST,RECOVER,84,4,828268,9860,11230,79.8,-72351,-12496,-877,-10,-1.81,0,-877,0
PCT_30,200,ALL,RECOVER,84,4,828233,9860,11230,79.8,-72351,-12496,-912,-11,-1.74,0,-913,0
PCT_30,200,BIGGEST,RECOVER,84,4,828233,9860,11230,79.8,-72351,-12496,-912,-11,-1.74,0,-913,0
PCT_40,300,ALL,EOD,84,1,828218,9860,11230,79.8,-72351,-12496,-927,-11,-1.01,0,-927,0
PCT_40,300,BIGGEST,EOD,84,1,828218,9860,11230,79.8,-72351,-12496,-927,-11,-1.01,0,-927,0
PCT_40,250,ALL,EOD,84,1,828062,9858,11230,79.8,-72351,-12496,-1083,-13,-1.01,0,-1083,0
PCT_40,250,BIGGEST,EOD,84,1,828062,9858,11230,79.8,-72351,-12496,-1083,-13,-1.01,0,-1083,0
ABS_15000,300,ADVERSE,RECOVER,84,2,828012,9857,11230,79.8,-72351,-12496,-1133,-13,-1.43,0,-1132,0
PCT_40,200,ALL,EOD,84,1,827906,9856,11230,79.8,-72351,-12496,-1239,-15,-1.01,0,-1239,0
PCT_40,200,BIGGEST,EOD,84,1,827906,9856,11230,79.8,-72351,-12496,-1239,-15,-1.01,0,-1239,0
PCT_30,100,ALL,RECOVER,84,4,827904,9856,11230,79.8,-72351,-12496,-1241,-15,-1.86,0,-1241,0
PCT_30,100,BIGGEST,RECOVER,84,4,827904,9856,11230,79.8,-72351,-12496,-1241,-15,-1.86,0,-1241,0
ABS_20000,500,ADVERSE,RECOVER,84,2,827758,9854,11230,79.8,-72351,-12496,-1387,-17,-1.32,0,-1387,0
ABS_20000,250,ADVERSE,RECOVER,84,2,827735,9854,11230,79.8,-72351,-12496,-1410,-17,-1.26,0,-1410,0
ABS_20000,300,ADVERSE,RECOVER,84,2,827607,9852,11230,79.8,-72351,-12496,-1538,-18,-1.32,0,-1538,0
ABS_20000,400,ADVERSE,RECOVER,84,2,827596,9852,11230,79.8,-72351,-12496,-1549,-18,-1.32,0,-1549,0
ABS_15000,250,ADVERSE,RECOVER,84,2,827538,9852,11230,79.8,-72351,-12496,-1607,-19,-1.43,0,-1605,0
ABS_20000,200,ADVERSE,RECOVER,84,2,827430,9850,11230,79.8,-72351,-12496,-1715,-20,-1.18,0,-1714,0
PCT_30,500,ALL,EOD,84,4,827421,9850,11230,79.8,-72351,-12496,-1724,-21,-1.79,0,-1724,0
PCT_30,500,BIGGEST,EOD,84,4,827421,9850,11230,79.8,-72351,-12496,-1724,-21,-1.79,0,-1724,0
PCT_40,150,ALL,EOD,84,1,827386,9850,11230,79.8,-72351,-12496,-1759,-21,-1.01,0,-1759,0
PCT_40,150,BIGGEST,EOD,84,1,827386,9850,11230,79.8,-72351,-12496,-1759,-21,-1.01,0,-1759,0
ABS_15000,200,ADVERSE,RECOVER,84,2,827348,9849,11230,79.8,-72351,-12496,-1797,-21,-1.43,0,-1796,0
ABS_15000,150,ADVERSE,RECOVER,84,2,827333,9849,11230,79.8,-72351,-12496,-1812,-22,-1.43,0,-1812,0
ABS_15000,100,ADVERSE,RECOVER,84,2,827279,9849,11230,79.8,-72351,-12496,-1866,-22,-1.35,0,-1865,0
T1300_5000,100,ADVERSE,RECOVER,84,5,827265,9848,11230,79.8,-72351,-12496,-1880,-22,-0.43,0,-1879,2
ABS_20000,150,ADVERSE,RECOVER,84,2,827223,9848,11230,79.8,-72351,-12496,-1922,-23,-1.14,0,-1921,0
PCT_30,400,ALL,EOD,84,4,827212,9848,11230,79.8,-72351,-12496,-1933,-23,-1.74,0,-1932,0
PCT_30,400,BIGGEST,EOD,84,4,827212,9848,11230,79.8,-72351,-12496,-1933,-23,-1.74,0,-1932,0
T1300_5000,400,ADVERSE,RECOVER,84,5,826985,9845,11230,79.8,-72351,-12496,-2160,-26,-0.84,0,-2160,2
T1300_10000,150,BIGGEST,EOD,84,60,826974,9845,9004,78.6,-38721,-10552,-2171,-26,-0.02,33630,-2171,18
ABS_20000,100,ADVERSE,RECOVER,84,2,826803,9843,11230,79.8,-72351,-12496,-2342,-28,-1.11,0,-2341,0
ABS_10000,500,ADVERSE,RECOVER,84,3,826797,9843,11230,79.8,-72351,-12496,-2348,-28,-0.97,0,-2347,1
ABS_12000,200,BIGGEST,EOD,84,59,826752,9842,8690,82.1,-38721,-8346,-2393,-28,-0.01,33630,-2392,11
ABS_20000,300,ALL,RECOVER,84,39,826736,9842,11230,79.8,-72633,-12496,-2409,-29,-0.35,-282,-2405,7
ABS_8000,150,ALL,EOD,84,67,826735,9842,5662,70.2,-38721,-11132,-2410,-29,-0.01,33630,-2402,14
T1300_5000,500,ADVERSE,RECOVER,84,5,826566,9840,11230,79.8,-72351,-12496,-2579,-31,-1.07,0,-2578,1
PCT_30,300,ALL,EOD,84,4,826471,9839,11230,79.8,-72351,-12496,-2674,-32,-1.73,0,-2673,0
PCT_30,300,BIGGEST,EOD,84,4,826471,9839,11230,79.8,-72351,-12496,-2674,-32,-1.73,0,-2673,0
T1300_10000,500,ADVERSE,RECOVER,84,5,826441,9839,11230,79.8,-72351,-12496,-2704,-32,-1.12,0,-2703,1
ABS_10000,400,ADVERSE,RECOVER,84,3,826413,9838,11230,79.8,-72351,-12496,-2732,-33,-1.09,0,-2731,0
T1300_5000,300,ADVERSE,RECOVER,84,5,826366,9838,11230,79.8,-72351,-12496,-2779,-33,-0.76,0,-2779,2
T1300_5000,200,ADVERSE,RECOVER,84,5,826253,9836,11230,79.8,-72351,-12496,-2892,-34,-0.84,0,-2890,2
ABS_15000,500,BIGGEST,EOD,84,48,826117,9835,11706,79.8,-63092,-12496,-3028,-36,-0.07,9259,-3027,10
ABS_10000,200,ADVERSE,RECOVER,84,3,825950,9833,11230,79.8,-72351,-12496,-3195,-38,-0.98,0,-3195,1
ABS_8000,500,ADVERSE,EOD,84,1,825910,9832,11230,79.8,-72351,-12496,-3235,-39,-1.01,0,-3235,0
ABS_10000,300,ADVERSE,RECOVER,84,3,825879,9832,11230,79.8,-72351,-12496,-3266,-39,-0.91,0,-3266,2
T1300_10000,300,ADVERSE,RECOVER,84,5,825789,9831,11230,79.8,-72351,-12496,-3356,-40,-0.94,0,-3356,3
PCT_30,250,ALL,EOD,84,4,825749,9830,11230,79.8,-72351,-12496,-3396,-40,-1.71,0,-3396,0
PCT_30,250,BIGGEST,EOD,84,4,825749,9830,11230,79.8,-72351,-12496,-3396,-40,-1.71,0,-3396,0
T1300_10000,400,ADVERSE,RECOVER,84,5,825675,9829,11230,79.8,-72351,-12496,-3470,-41,-1.34,0,-3469,0
ABS_10000,250,ADVERSE,RECOVER,84,3,825607,9829,11230,79.8,-72351,-12496,-3538,-42,-0.96,0,-3538,1
PCT_20,500,BIGGEST,RECOVER,84,15,825555,9828,11230,79.8,-72351,-12496,-3590,-43,-3.26,0,-3590,0
PCT_40,100,ALL,EOD,84,1,825461,9827,11230,79.8,-72351,-12496,-3684,-44,-1.01,0,-3684,0
PCT_40,100,BIGGEST,EOD,84,1,825461,9827,11230,79.8,-72351,-12496,-3684,-44,-1.01,0,-3684,0
PCT_20,500,ALL,RECOVER,84,15,825428,9827,11230,79.8,-72351,-12496,-3717,-44,-3.21,0,-3717,0
ABS_12000,500,ADVERSE,RECOVER,84,4,825373,9826,11230,79.8,-72351,-12496,-3772,-45,-1.47,0,-3772,0
ABS_15000,500,ADVERSE,EOD,84,2,825330,9825,11230,79.8,-72351,-12496,-3815,-45,-1.21,0,-3815,0
PCT_20,400,BIGGEST,RECOVER,84,15,825244,9824,11230,79.8,-72351,-12496,-3901,-46,-3.18,0,-3899,0
ABS_12000,400,ADVERSE,RECOVER,84,4,825238,9824,11230,79.8,-72351,-12496,-3907,-47,-1.43,0,-3907,0
T1300_10000,200,ADVERSE,RECOVER,84,5,825212,9824,11230,79.8,-72351,-12496,-3933,-47,-1.19,0,-3932,1
T1300_5000,250,ADVERSE,RECOVER,84,5,825153,9823,11230,79.8,-72351,-12496,-3992,-48,-1.09,0,-3991,1
PCT_20,400,ALL,RECOVER,84,15,825134,9823,11230,79.8,-72351,-12496,-4011,-48,-3.15,0,-4009,0
ABS_20000,500,ADVERSE,EOD,84,2,825067,9822,11230,79.8,-72351,-12496,-4078,-49,-1.26,0,-4078,0
ABS_5000,500,ADVERSE,EOD,84,1,824970,9821,11230,79.8,-72351,-12496,-4175,-50,-1.01,0,-4175,0
ABS_10000,100,ADVERSE,RECOVER,84,3,824943,9821,11230,79.8,-72351,-12496,-4202,-50,-1.08,0,-4202,1
T1300_5000,150,ADVERSE,RECOVER,84,5,824925,9821,11230,79.8,-72351,-12496,-4220,-50,-1.04,0,-4219,1
ABS_10000,150,ADVERSE,RECOVER,84,3,824802,9819,11230,79.8,-72351,-12496,-4343,-52,-1.07,0,-4343,1
T1300_10000,100,ADVERSE,RECOVER,84,5,824796,9819,11230,79.8,-72351,-12496,-4349,-52,-1.11,0,-4348,2
PCT_30,200,ALL,EOD,84,4,824696,9818,11230,79.8,-72351,-12496,-4449,-53,-1.66,0,-4449,0
