trigger,dist,coverage,unwind,n,armed,total,mean,median,win,worst,p10,d_total,d_mean,t,worst_delta,wing_pnl,wing_paid_days
ABS_15000,100,ALL,EOD,84,48,985207,11729,10950,79.8,-63092,-7620,156062,1858,0.53,9259,156059,14
ABS_20000,100,ALL,EOD,84,39,983062,11703,11920,81.0,-63092,-8346,153917,1832,0.9,9259,153921,14
ABS_20000,100,BIGGEST,EOD,84,39,970890,11558,11920,82.1,-63092,-8346,141745,1687,0.98,9259,141745,15
ABS_20000,150,ALL,EOD,84,39,964905,11487,12270,82.1,-63092,-8346,135760,1616,0.94,9259,135759,15
ABS_20000,200,ALL,EOD,84,39,950323,11313,12299,82.1,-63092,-8346,121178,1443,0.93,9259,121182,15
ABS_15000,100,BIGGEST,EOD,84,48,949870,11308,11230,81.0,-63092,-8346,120725,1437,0.54,9259,120725,14
ABS_20000,250,ALL,EOD,84,39,948175,11288,12016,82.1,-63092,-8346,119030,1417,1.02,9259,119034,15
ABS_20000,150,BIGGEST,EOD,84,39,946348,11266,12076,81.0,-63092,-8346,117203,1395,0.96,9259,117199,15
ABS_15000,250,ALL,EOD,84,48,940601,11198,11954,82.1,-63092,-8346,111456,1327,0.58,9259,111461,9
ABS_15000,150,ALL,EOD,84,48,937759,11164,11310,81.0,-63092,-8346,108614,1293,0.43,9259,108614,12
ABS_15000,200,ALL,EOD,84,48,934625,11126,11230,82.1,-63092,-8346,105480,1256,0.47,9259,105481,10
ABS_20000,250,BIGGEST,EOD,84,39,933781,11116,11706,81.0,-63092,-8847,104636,1246,1.02,9259,104637,14
ABS_20000,300,ALL,EOD,84,39,933338,11111,11706,82.1,-63092,-8346,104193,1240,1.01,9259,104197,14
ABS_15000,300,ALL,EOD,84,48,932110,11097,12016,82.1,-63092,-8346,102965,1226,0.63,9259,102967,11
ABS_20000,200,BIGGEST,EOD,84,39,931533,11090,12016,81.0,-63092,-8346,102388,1219,0.91,9259,102394,14
ABS_12000,100,ALL,EOD,84,59,928183,11050,8333,79.8,-38721,-8680,99038,1179,0.32,33630,99033,14
ABS_20000,300,BIGGEST,EOD,84,39,924673,11008,11706,81.0,-63092,-9004,95528,1137,1.03,9259,95531,14
ABS_12000,100,BIGGEST,EOD,84,59,902880,10749,8333,79.8,-38721,-8346,73735,878,0.3,33630,73734,15
ABS_15000,150,BIGGEST,EOD,84,48,899046,10703,11706,82.1,-63092,-8346,69901,832,0.37,9259,69901,12
ABS_20000,400,BIGGEST,EOD,84,39,897680,10687,11230,79.8,-63092,-9004,68535,816,0.97,9259,68532,12
ABS_20000,400,ALL,EOD,84,39,895773,10664,11028,79.8,-63092,-9004,66628,793,0.86,9259,66623,12
ABS_15000,400,ALL,EOD,84,48,895366,10659,11706,81.0,-63092,-8346,66221,788,0.58,9259,66222,11
ABS_12000,300,ALL,EOD,84,59,890705,10604,10510,83.3,-38721,-8346,61560,733,0.35,33630,61565,12
ABS_12000,250,ALL,EOD,84,59,890013,10595,10019,83.3,-38721,-8346,60868,725,0.3,33630,60866,12
