label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1011,22.22,-32.13,0.692,1.223,772,35.6,45.3,37.57,-10.02,11.555,15,73.15,21.51,-32.13,22.82,-31.74,1880,466,36,916,2070,772,139,2888,6.41,0,0.0,0.0,0,1.0803414e+07,8.825992e+06,1.977423e+06,2.853,739860.0,0.538,6.791,40.0,85062174.0,42.4,42.4,4.303184489992919e+22,3.394421230802043e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1012,21.58,-32.13,0.672,1.211,783,36.1,46.0,36.19,-10.12,11.168,16,73.04,21.52,-32.13,21.49,-32.05,1880,489,36,978,2002,783,144,2883,6.64,0,0.0,0.0,0,9.553116e+06,8.215734e+06,1.337382e+06,2.906,743150.0,0.548,6.209,40.1,75466994.0,35.6,35.6,2.081594822608072e+22,1.919480842325852e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1013,21.98,-32.13,0.684,1.21,774,35.7,45.0,37.79,-10.15,11.405,15,73.11,21.51,-32.13,22.34,-31.7,1880,434,36,845,2140,774,140,2878,6.46,0,0.0,0.0,0,1.0253474e+07,8.682632e+06,1.570842e+06,2.864,742588.0,0.549,6.665,39.9,81339829.0,42.9,42.9,1.462935341796187e+22,1.1539861582800486e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1014,22.05,-32.13,0.686,1.214,769,35.5,45.6,37.37,-10.18,11.523,15,73.17,21.52,-32.13,22.46,-31.73,1880,460,36,904,2080,769,134,2884,6.18,0,0.0,0.0,0,1.0362843e+07,8.730911e+06,1.631932e+06,2.836,737134.0,0.536,6.564,39.9,82313358.0,42.9,42.9,2.411677825636882e+22,1.902369692618588e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1015,21.51,-32.13,0.669,1.205,781,36.0,45.8,36.35,-10.13,11.175,16,73.12,21.52,-32.13,21.35,-31.7,1880,482,36,948,2033,781,143,2881,6.59,0,0.0,0.0,0,9.795326e+06,8.500531e+06,1.294795e+06,2.887,743150.0,0.566,6.566,40.3,74868406.0,36.2,36.2,1.646087506262109e+22,1.51789092042965e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1016,21.67,-32.13,0.674,1.185,789,36.4,44.6,37.4,-10.06,11.112,16,73.13,21.52,-32.13,21.68,-31.73,1880,456,36,902,2077,789,149,2862,6.87,0,0.0,0.0,0,1.0101218e+07,8.596701e+06,1.504518e+06,2.988,754638.0,0.543,6.388,39.8,77143021.0,42.9,42.9,8.667530452495315e+21,6.837089719025664e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1017,22.2,-32.13,0.691,1.224,774,35.7,45.5,37.87,-10.24,11.638,15,73.18,21.51,-32.13,22.78,-31.7,1880,463,36,912,2074,774,141,2868,6.5,0,0.0,0.0,0,1.0169647e+07,7.818309e+06,2.351338e+06,2.864,742588.0,0.541,6.466,40.1,84238024.0,42.5,42.5,3.1094772612606978e+22,1.8165979931266253e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1018,21.26,-32.13,0.662,1.182,794,36.6,45.5,36.14,-10.1,10.924,16,72.98,21.52,-32.13,20.85,-32.05,1880,501,36,1035,1940,794,150,2862,6.92,0,0.0,0.0,0,9.046399e+06,7.744621e+06,1.301778e+06,2.967,758579.0,0.586,6.167,41.1,71146202.0,35.8,35.8,9.540647252903307e+21,8.797621171571917e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1019,21.55,-32.13,0.671,1.21,770,35.5,46.1,36.36,-10.09,11.326,15,73.08,21.52,-32.13,21.43,-31.72,1880,483,36,956,2029,770,136,2901,6.27,0,0.0,0.0,0,9.377759e+06,8.044319e+06,1.333441e+06,2.793,735665.0,0.539,6.197,40.1,74910094.0,36.2,36.2,1.9945483482903297e+22,1.8392163216995123e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1020,22.04,-32.13,0.686,1.219,777,35.8,45.3,37.29,-10.04,11.405,16,73.09,21.51,-32.13,22.46,-31.7,1880,461,36,904,2077,777,139,2881,6.41,0,0.0,0.0,0,1.0404841e+07,8.448001e+06,1.956841e+06,2.878,742712.0,0.542,6.573,40.0,82291033.0,42.4,42.4,2.617392348695986e+22,2.06464025721045e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1021,22.4,-32.13,0.697,1.229,782,36.1,45.5,37.47,-10.2,11.505,16,73.23,21.52,-32.13,23.17,-31.73,1880,461,36,907,2071,782,141,2874,6.5,0,0.0,0.0,0,1.0617674e+07,8.747495e+06,1.87018e+06,2.925,744151.0,0.567,6.814,40.7,87442072.0,42.5,42.5,5.242605198144901e+22,4.135451179834409e+17
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1022,21.79,-32.13,0.678,1.198,783,36.1,45.0,37.76,-10.27,11.323,16,73.19,21.52,-32.13,21.94,-31.69,1880,464,36,913,2067,783,144,2862,6.64,0,0.0,0.0,0,9.967296e+06,7.987398e+06,1.979898e+06,2.942,745152.0,0.543,6.448,39.8,78623000.0,44.6,44.6,7.320807796923647e+21,4.276912112481075e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1023,22.03,-32.13,0.686,1.21,775,35.7,44.9,38.14,-10.19,11.511,16,73.19,21.52,-32.13,22.42,-32.05,1880,464,36,913,2077,775,146,2873,6.73,0,0.0,0.0,0,1.0255399e+07,8.057723e+06,2.197676e+06,2.887,741850.0,0.541,6.332,39.9,82023356.0,43.4,43.4,1.396038084801291e+22,8.155829362491392e+16
X_entrs_unre_m075,SEL_PLAT,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,1024,22.04,-32.13,0.686,1.22,771,35.6,45.3,37.55,-10.06,11.493,15,73.24,21.52,-32.13,22.43,-31.73,1880,461,36,914,2071,771,137,2883,6.32,0,0.0,0.0,0,1.0230085e+07,8.453616e+06,1.776469e+06,2.835,741850.0,0.553,6.582,40.2,82069477.0,42.4,42.4,2.3512314121582407e+22,1.8546862785036288e+17
